Grapheme	Frequency	Codepoint	UnicodeName
 	197951	U+0020	SPACE
,	17776	U+002C	COMMA
;	44	U+003B	SEMICOLON
:	85	U+003A	COLON
!	210	U+0021	EXCLAMATION MARK
?	741	U+003F	QUESTION MARK
.	8438	U+002E	FULL STOP
'	73056	U+0027	APOSTROPHE
‘	343	U+2018	LEFT SINGLE QUOTATION MARK
’	339	U+2019	RIGHT SINGLE QUOTATION MARK
“	2457	U+201C	LEFT DOUBLE QUOTATION MARK
”	1997	U+201D	RIGHT DOUBLE QUOTATION MARK
(	24	U+0028	LEFT PARENTHESIS
)	24	U+0029	RIGHT PARENTHESIS
*	7	U+002A	ASTERISK
6	3	U+0036	DIGIT SIX
a	227860	U+0061	LATIN SMALL LETTER A
A	955	U+0041	LATIN CAPITAL LETTER A
b	31753	U+0062	LATIN SMALL LETTER B
B	497	U+0042	LATIN CAPITAL LETTER B
c	2	U+0063	LATIN SMALL LETTER C
d	31241	U+0064	LATIN SMALL LETTER D
D	153	U+0044	LATIN CAPITAL LETTER D
e	95970	U+0065	LATIN SMALL LETTER E
E	2565	U+0045	LATIN CAPITAL LETTER E
g	37807	U+0067	LATIN SMALL LETTER G
G	1287	U+0047	LATIN CAPITAL LETTER G
i	106644	U+0069	LATIN SMALL LETTER I
I	1178	U+0049	LATIN CAPITAL LETTER I
k	3489	U+006B	LATIN SMALL LETTER K
K	878	U+004B	LATIN CAPITAL LETTER K
l	30395	U+006C	LATIN SMALL LETTER L
L	320	U+004C	LATIN CAPITAL LETTER L
m	35236	U+006D	LATIN SMALL LETTER M
M	1107	U+004D	LATIN CAPITAL LETTER M
n	78368	U+006E	LATIN SMALL LETTER N
N	840	U+004E	LATIN CAPITAL LETTER N
o	50795	U+006F	LATIN SMALL LETTER O
O	622	U+004F	LATIN CAPITAL LETTER O
p	6809	U+0070	LATIN SMALL LETTER P
P	917	U+0050	LATIN CAPITAL LETTER P
r	1	U+0072	LATIN SMALL LETTER R
R	1	U+0052	LATIN CAPITAL LETTER R
s	33972	U+0073	LATIN SMALL LETTER S
S	760	U+0053	LATIN CAPITAL LETTER S
t	44813	U+0074	LATIN SMALL LETTER T
T	5220	U+0054	LATIN CAPITAL LETTER T
u	52294	U+0075	LATIN SMALL LETTER U
U	100	U+0055	LATIN CAPITAL LETTER U
w	38993	U+0077	LATIN SMALL LETTER W
W	246	U+0057	LATIN CAPITAL LETTER W
y	29087	U+0079	LATIN SMALL LETTER Y
Y	6223	U+0059	LATIN CAPITAL LETTER Y
