Grapheme	Frequency	Codepoint	UnicodeName
 	205388	U+0020	SPACE
-	221	U+002D	HYPHEN-MINUS
,	14265	U+002C	COMMA
;	1020	U+003B	SEMICOLON
:	2226	U+003A	COLON
!	925	U+0021	EXCLAMATION MARK
.	8164	U+002E	FULL STOP
·	38	U+00B7	MIDDLE DOT
'	1879	U+0027	APOSTROPHE
«	1898	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	2006	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	13	U+0028	LEFT PARENTHESIS
)	13	U+0029	RIGHT PARENTHESIS
΄	34	U+0384	GREEK TONOS
α	90807	U+03B1	GREEK SMALL LETTER ALPHA
Α	1753	U+0391	GREEK CAPITAL LETTER ALPHA
ά	18189	U+03AC	GREEK SMALL LETTER ALPHA WITH TONOS
Ά	304	U+0386	GREEK CAPITAL LETTER ALPHA WITH TONOS
β	4850	U+03B2	GREEK SMALL LETTER BETA
Β	267	U+0392	GREEK CAPITAL LETTER BETA
γ	13174	U+03B3	GREEK SMALL LETTER GAMMA
Γ	1255	U+0393	GREEK CAPITAL LETTER GAMMA
δ	12138	U+03B4	GREEK SMALL LETTER DELTA
Δ	561	U+0394	GREEK CAPITAL LETTER DELTA
ε	60770	U+03B5	GREEK SMALL LETTER EPSILON
Ε	1232	U+0395	GREEK CAPITAL LETTER EPSILON
έ	16782	U+03AD	GREEK SMALL LETTER EPSILON WITH TONOS
Έ	564	U+0388	GREEK CAPITAL LETTER EPSILON WITH TONOS
ζ	3110	U+03B6	GREEK SMALL LETTER ZETA
Ζ	80	U+0396	GREEK CAPITAL LETTER ZETA
η	22526	U+03B7	GREEK SMALL LETTER ETA
Η	262	U+0397	GREEK CAPITAL LETTER ETA
ή	8899	U+03AE	GREEK SMALL LETTER ETA WITH TONOS
Ή	122	U+0389	GREEK CAPITAL LETTER ETA WITH TONOS
θ	10481	U+03B8	GREEK SMALL LETTER THETA
Θ	1654	U+0398	GREEK CAPITAL LETTER THETA
ι	54660	U+03B9	GREEK SMALL LETTER IOTA
Ι	2011	U+0399	GREEK CAPITAL LETTER IOTA
ί	23007	U+03AF	GREEK SMALL LETTER IOTA WITH TONOS
Ί	5	U+038A	GREEK CAPITAL LETTER IOTA WITH TONOS
ϊ	92	U+03CA	GREEK SMALL LETTER IOTA WITH DIALYTIKA
ΐ	38	U+0390	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
κ	28739	U+03BA	GREEK SMALL LETTER KAPPA
Κ	3279	U+039A	GREEK CAPITAL LETTER KAPPA
λ	20765	U+03BB	GREEK SMALL LETTER LAMDA
Λ	206	U+039B	GREEK CAPITAL LETTER LAMDA
μ	25174	U+03BC	GREEK SMALL LETTER MU
Μ	975	U+039C	GREEK CAPITAL LETTER MU
ν	52446	U+03BD	GREEK SMALL LETTER NU
Ν	383	U+039D	GREEK CAPITAL LETTER NU
ξ	3140	U+03BE	GREEK SMALL LETTER XI
Ξ	62	U+039E	GREEK CAPITAL LETTER XI
ο	71999	U+03BF	GREEK SMALL LETTER OMICRON
Ο	511	U+039F	GREEK CAPITAL LETTER OMICRON
ό	20774	U+03CC	GREEK SMALL LETTER OMICRON WITH TONOS
Ό	464	U+038C	GREEK CAPITAL LETTER OMICRON WITH TONOS
π	31978	U+03C0	GREEK SMALL LETTER PI
Π	1600	U+03A0	GREEK CAPITAL LETTER PI
ρ	29683	U+03C1	GREEK SMALL LETTER RHO
Ρ	56	U+03A1	GREEK CAPITAL LETTER RHO
σ	37469	U+03C3	GREEK SMALL LETTER SIGMA
Σ	1086	U+03A3	GREEK CAPITAL LETTER SIGMA
ς	30266	U+03C2	GREEK SMALL LETTER FINAL SIGMA
τ	67041	U+03C4	GREEK SMALL LETTER TAU
Τ	1238	U+03A4	GREEK CAPITAL LETTER TAU
υ	31989	U+03C5	GREEK SMALL LETTER UPSILON
Υ	64	U+03A5	GREEK CAPITAL LETTER UPSILON
ύ	11439	U+03CD	GREEK SMALL LETTER UPSILON WITH TONOS
Ύ	66	U+038E	GREEK CAPITAL LETTER UPSILON WITH TONOS
ϋ	13	U+03CB	GREEK SMALL LETTER UPSILON WITH DIALYTIKA
ΰ	1	U+03B0	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
φ	6209	U+03C6	GREEK SMALL LETTER PHI
Φ	262	U+03A6	GREEK CAPITAL LETTER PHI
χ	8074	U+03C7	GREEK SMALL LETTER CHI
Χ	655	U+03A7	GREEK CAPITAL LETTER CHI
ψ	1301	U+03C8	GREEK SMALL LETTER PSI
Ψ	22	U+03A8	GREEK CAPITAL LETTER PSI
ω	10539	U+03C9	GREEK SMALL LETTER OMEGA
Ω	38	U+03A9	GREEK CAPITAL LETTER OMEGA
ώ	6413	U+03CE	GREEK SMALL LETTER OMEGA WITH TONOS
Ώ	8	U+038F	GREEK CAPITAL LETTER OMEGA WITH TONOS
