Grapheme	Frequency	Codepoint	UnicodeName
 	215328	U+0020	SPACE
-	125	U+002D	HYPHEN-MINUS
—	308	U+2014	EM DASH
,	12401	U+002C	COMMA
;	1399	U+003B	SEMICOLON
:	472	U+003A	COLON
!	1254	U+0021	EXCLAMATION MARK
?	941	U+003F	QUESTION MARK
.	8681	U+002E	FULL STOP
…	2	U+2026	HORIZONTAL ELLIPSIS
'	1273	U+0027	APOSTROPHE
‘	395	U+2018	LEFT SINGLE QUOTATION MARK
’	395	U+2019	RIGHT SINGLE QUOTATION MARK
“	2366	U+201C	LEFT DOUBLE QUOTATION MARK
”	2104	U+201D	RIGHT DOUBLE QUOTATION MARK
(	110	U+0028	LEFT PARENTHESIS
)	110	U+0029	RIGHT PARENTHESIS
[	2	U+005B	LEFT SQUARE BRACKET
]	3	U+005D	RIGHT SQUARE BRACKET
0	12	U+0030	DIGIT ZERO
1	6	U+0031	DIGIT ONE
2	4	U+0032	DIGIT TWO
4	7	U+0034	DIGIT FOUR
5	1	U+0035	DIGIT FIVE
6	7	U+0036	DIGIT SIX
7	1	U+0037	DIGIT SEVEN
a	56875	U+0061	LATIN SMALL LETTER A
A	1595	U+0041	LATIN CAPITAL LETTER A
b	10548	U+0062	LATIN SMALL LETTER B
B	952	U+0042	LATIN CAPITAL LETTER B
c	13679	U+0063	LATIN SMALL LETTER C
C	907	U+0043	LATIN CAPITAL LETTER C
d	33564	U+0064	LATIN SMALL LETTER D
D	499	U+0044	LATIN CAPITAL LETTER D
e	100314	U+0065	LATIN SMALL LETTER E
E	336	U+0045	LATIN CAPITAL LETTER E
f	14868	U+0066	LATIN SMALL LETTER F
F	819	U+0046	LATIN CAPITAL LETTER F
g	13087	U+0067	LATIN SMALL LETTER G
G	2604	U+0047	LATIN CAPITAL LETTER G
h	54076	U+0068	LATIN SMALL LETTER H
H	1131	U+0048	LATIN CAPITAL LETTER H
i	44904	U+0069	LATIN SMALL LETTER I
I	3423	U+0049	LATIN CAPITAL LETTER I
j	600	U+006A	LATIN SMALL LETTER J
J	2568	U+004A	LATIN CAPITAL LETTER J
k	5383	U+006B	LATIN SMALL LETTER K
K	214	U+004B	LATIN CAPITAL LETTER K
l	29154	U+006C	LATIN SMALL LETTER L
L	1230	U+004C	LATIN CAPITAL LETTER L
m	18428	U+006D	LATIN SMALL LETTER M
M	722	U+004D	LATIN CAPITAL LETTER M
n	46559	U+006E	LATIN SMALL LETTER N
N	417	U+004E	LATIN CAPITAL LETTER N
o	65069	U+006F	LATIN SMALL LETTER O
O	274	U+004F	LATIN CAPITAL LETTER O
p	12596	U+0070	LATIN SMALL LETTER P
P	948	U+0050	LATIN CAPITAL LETTER P
q	186	U+0071	LATIN SMALL LETTER Q
Q	5	U+0051	LATIN CAPITAL LETTER Q
r	40673	U+0072	LATIN SMALL LETTER R
R	145	U+0052	LATIN CAPITAL LETTER R
s	48945	U+0073	LATIN SMALL LETTER S
S	1793	U+0053	LATIN CAPITAL LETTER S
t	66699	U+0074	LATIN SMALL LETTER T
T	2699	U+0054	LATIN CAPITAL LETTER T
u	23711	U+0075	LATIN SMALL LETTER U
U	30	U+0055	LATIN CAPITAL LETTER U
v	8660	U+0076	LATIN SMALL LETTER V
V	3	U+0056	LATIN CAPITAL LETTER V
w	21252	U+0077	LATIN SMALL LETTER W
W	1219	U+0057	LATIN CAPITAL LETTER W
x	420	U+0078	LATIN SMALL LETTER X
y	17463	U+0079	LATIN SMALL LETTER Y
Y	549	U+0059	LATIN CAPITAL LETTER Y
z	370	U+007A	LATIN SMALL LETTER Z
Z	51	U+005A	LATIN CAPITAL LETTER Z
