Grapheme	Frequency	Codepoint	UnicodeName
 	199816	U+0020	SPACE
-	159	U+002D	HYPHEN-MINUS
—	414	U+2014	EM DASH
,	13114	U+002C	COMMA
;	316	U+003B	SEMICOLON
:	330	U+003A	COLON
!	871	U+0021	EXCLAMATION MARK
?	988	U+003F	QUESTION MARK
.	7519	U+002E	FULL STOP
…	1	U+2026	HORIZONTAL ELLIPSIS
‘	406	U+2018	LEFT SINGLE QUOTATION MARK
’	1077	U+2019	RIGHT SINGLE QUOTATION MARK
“	2026	U+201C	LEFT DOUBLE QUOTATION MARK
”	1837	U+201D	RIGHT DOUBLE QUOTATION MARK
(	269	U+0028	LEFT PARENTHESIS
)	269	U+0029	RIGHT PARENTHESIS
[	8	U+005B	LEFT SQUARE BRACKET
]	8	U+005D	RIGHT SQUARE BRACKET
0	2	U+0030	DIGIT ZERO
1	2	U+0031	DIGIT ONE
2	2	U+0032	DIGIT TWO
6	5	U+0036	DIGIT SIX
a	53551	U+0061	LATIN SMALL LETTER A
A	1481	U+0041	LATIN CAPITAL LETTER A
b	10374	U+0062	LATIN SMALL LETTER B
B	1205	U+0042	LATIN CAPITAL LETTER B
c	13460	U+0063	LATIN SMALL LETTER C
C	838	U+0043	LATIN CAPITAL LETTER C
d	32433	U+0064	LATIN SMALL LETTER D
D	346	U+0044	LATIN CAPITAL LETTER D
e	95208	U+0065	LATIN SMALL LETTER E
E	245	U+0045	LATIN CAPITAL LETTER E
f	14932	U+0066	LATIN SMALL LETTER F
F	1200	U+0046	LATIN CAPITAL LETTER F
g	12979	U+0067	LATIN SMALL LETTER G
G	1802	U+0047	LATIN CAPITAL LETTER G
h	50777	U+0068	LATIN SMALL LETTER H
H	875	U+0048	LATIN CAPITAL LETTER H
i	44222	U+0069	LATIN SMALL LETTER I
I	2972	U+0049	LATIN CAPITAL LETTER I
j	763	U+006A	LATIN SMALL LETTER J
J	2056	U+004A	LATIN CAPITAL LETTER J
k	4560	U+006B	LATIN SMALL LETTER K
K	24	U+004B	LATIN CAPITAL LETTER K
l	25978	U+006C	LATIN SMALL LETTER L
L	961	U+004C	LATIN CAPITAL LETTER L
m	17671	U+006D	LATIN SMALL LETTER M
M	517	U+004D	LATIN CAPITAL LETTER M
n	47217	U+006E	LATIN SMALL LETTER N
N	631	U+004E	LATIN CAPITAL LETTER N
o	62195	U+006F	LATIN SMALL LETTER O
O	200	U+004F	LATIN CAPITAL LETTER O
p	10743	U+0070	LATIN SMALL LETTER P
P	766	U+0050	LATIN CAPITAL LETTER P
q	237	U+0071	LATIN SMALL LETTER Q
Q	2	U+0051	LATIN CAPITAL LETTER Q
r	40062	U+0072	LATIN SMALL LETTER R
R	136	U+0052	LATIN CAPITAL LETTER R
s	46269	U+0073	LATIN SMALL LETTER S
S	1657	U+0053	LATIN CAPITAL LETTER S
t	64016	U+0074	LATIN SMALL LETTER T
T	2268	U+0054	LATIN CAPITAL LETTER T
u	22110	U+0075	LATIN SMALL LETTER U
U	26	U+0055	LATIN CAPITAL LETTER U
v	7602	U+0076	LATIN SMALL LETTER V
V	3	U+0056	LATIN CAPITAL LETTER V
w	18595	U+0077	LATIN SMALL LETTER W
W	997	U+0057	LATIN CAPITAL LETTER W
x	628	U+0078	LATIN SMALL LETTER X
y	15976	U+0079	LATIN SMALL LETTER Y
Y	413	U+0059	LATIN CAPITAL LETTER Y
z	382	U+007A	LATIN SMALL LETTER Z
Z	53	U+005A	LATIN CAPITAL LETTER Z
