Grapheme	Frequency	Codepoint	UnicodeName
 	197672	U+0020	SPACE
 	10	U+2006	SIX-PER-EM SPACE
-	222	U+002D	HYPHEN-MINUS
–	16	U+2013	EN DASH
—	411	U+2014	EM DASH
,	11969	U+002C	COMMA
;	755	U+003B	SEMICOLON
:	571	U+003A	COLON
!	507	U+0021	EXCLAMATION MARK
?	1002	U+003F	QUESTION MARK
.	8567	U+002E	FULL STOP
…	1	U+2026	HORIZONTAL ELLIPSIS
‘	2515	U+2018	LEFT SINGLE QUOTATION MARK
’	2914	U+2019	RIGHT SINGLE QUOTATION MARK
“	447	U+201C	LEFT DOUBLE QUOTATION MARK
”	446	U+201D	RIGHT DOUBLE QUOTATION MARK
(	92	U+0028	LEFT PARENTHESIS
)	92	U+0029	RIGHT PARENTHESIS
[	16	U+005B	LEFT SQUARE BRACKET
0	54	U+0030	DIGIT ZERO
1	21	U+0031	DIGIT ONE
2	17	U+0032	DIGIT TWO
3	2	U+0033	DIGIT THREE
4	11	U+0034	DIGIT FOUR
5	2	U+0035	DIGIT FIVE
6	7	U+0036	DIGIT SIX
7	1	U+0037	DIGIT SEVEN
a	52359	U+0061	LATIN SMALL LETTER A
A	1608	U+0041	LATIN CAPITAL LETTER A
b	9831	U+0062	LATIN SMALL LETTER B
B	1002	U+0042	LATIN CAPITAL LETTER B
c	12705	U+0063	LATIN SMALL LETTER C
C	799	U+0043	LATIN CAPITAL LETTER C
d	31794	U+0064	LATIN SMALL LETTER D
D	385	U+0044	LATIN CAPITAL LETTER D
e	93594	U+0065	LATIN SMALL LETTER E
E	276	U+0045	LATIN CAPITAL LETTER E
f	14590	U+0066	LATIN SMALL LETTER F
F	907	U+0046	LATIN CAPITAL LETTER F
g	12531	U+0067	LATIN SMALL LETTER G
G	1873	U+0047	LATIN CAPITAL LETTER G
h	50344	U+0068	LATIN SMALL LETTER H
H	941	U+0048	LATIN CAPITAL LETTER H
i	43044	U+0069	LATIN SMALL LETTER I
I	3124	U+0049	LATIN CAPITAL LETTER I
ï	1	U+00EF	LATIN SMALL LETTER I WITH DIAERESIS
j	700	U+006A	LATIN SMALL LETTER J
J	2149	U+004A	LATIN CAPITAL LETTER J
k	4689	U+006B	LATIN SMALL LETTER K
K	40	U+004B	LATIN CAPITAL LETTER K
l	26417	U+006C	LATIN SMALL LETTER L
L	1002	U+004C	LATIN CAPITAL LETTER L
m	17055	U+006D	LATIN SMALL LETTER M
M	625	U+004D	LATIN CAPITAL LETTER M
n	45236	U+006E	LATIN SMALL LETTER N
N	428	U+004E	LATIN CAPITAL LETTER N
o	60070	U+006F	LATIN SMALL LETTER O
O	271	U+004F	LATIN CAPITAL LETTER O
p	10757	U+0070	LATIN SMALL LETTER P
P	824	U+0050	LATIN CAPITAL LETTER P
q	226	U+0071	LATIN SMALL LETTER Q
Q	8	U+0051	LATIN CAPITAL LETTER Q
r	39290	U+0072	LATIN SMALL LETTER R
R	147	U+0052	LATIN CAPITAL LETTER R
s	44969	U+0073	LATIN SMALL LETTER S
S	1635	U+0053	LATIN CAPITAL LETTER S
t	62033	U+0074	LATIN SMALL LETTER T
T	2496	U+0054	LATIN CAPITAL LETTER T
u	21474	U+0075	LATIN SMALL LETTER U
U	33	U+0055	LATIN CAPITAL LETTER U
v	7915	U+0076	LATIN SMALL LETTER V
V	30	U+0056	LATIN CAPITAL LETTER V
w	18460	U+0077	LATIN SMALL LETTER W
W	1224	U+0057	LATIN CAPITAL LETTER W
x	464	U+0078	LATIN SMALL LETTER X
y	16165	U+0079	LATIN SMALL LETTER Y
Y	440	U+0059	LATIN CAPITAL LETTER Y
z	244	U+007A	LATIN SMALL LETTER Z
Z	52	U+005A	LATIN CAPITAL LETTER Z
