Grapheme	Frequency	Codepoint	UnicodeName
 	140394	U+0020	SPACE
-	36	U+002D	HYPHEN-MINUS
፡	3	U+1361	ETHIOPIC WORDSPACE
፤	2092	U+1364	ETHIOPIC SEMICOLON
፥	1302	U+1365	ETHIOPIC COLON
!	1021	U+0021	EXCLAMATION MARK
?	1102	U+003F	QUESTION MARK
።	9801	U+1362	ETHIOPIC FULL STOP
‘	413	U+2018	LEFT SINGLE QUOTATION MARK
’	407	U+2019	RIGHT SINGLE QUOTATION MARK
“	2301	U+201C	LEFT DOUBLE QUOTATION MARK
”	1954	U+201D	RIGHT DOUBLE QUOTATION MARK
(	1	U+0028	LEFT PARENTHESIS
)	1	U+0029	RIGHT PARENTHESIS
[	2	U+005B	LEFT SQUARE BRACKET
]	2	U+005D	RIGHT SQUARE BRACKET
1	1	U+0031	DIGIT ONE
2	3	U+0032	DIGIT TWO
7	2	U+0037	DIGIT SEVEN
ሁ	558	U+1201	ETHIOPIC SYLLABLE HU
ሂ	771	U+1202	ETHIOPIC SYLLABLE HI
ሃ	5448	U+1203	ETHIOPIC SYLLABLE HAA
ሄ	3582	U+1204	ETHIOPIC SYLLABLE HEE
ሆ	292	U+1206	ETHIOPIC SYLLABLE HO
ሉ	32	U+1209	ETHIOPIC SYLLABLE LU
ሊ	1434	U+120A	ETHIOPIC SYLLABLE LI
ላ	8132	U+120B	ETHIOPIC SYLLABLE LAA
ሌ	1401	U+120C	ETHIOPIC SYLLABLE LEE
ል	646	U+120D	ETHIOPIC SYLLABLE LE
ሎ	1814	U+120E	ETHIOPIC SYLLABLE LO
ሙ	638	U+1219	ETHIOPIC SYLLABLE MU
ሚ	2820	U+121A	ETHIOPIC SYLLABLE MI
ማ	8267	U+121B	ETHIOPIC SYLLABLE MAA
ሜ	1977	U+121C	ETHIOPIC SYLLABLE MEE
ም	882	U+121D	ETHIOPIC SYLLABLE ME
ሞ	950	U+121E	ETHIOPIC SYLLABLE MO
ሩ	170	U+1229	ETHIOPIC SYLLABLE RU
ሪ	1884	U+122A	ETHIOPIC SYLLABLE RI
ራ	4996	U+122B	ETHIOPIC SYLLABLE RAA
ሬ	1769	U+122C	ETHIOPIC SYLLABLE REE
ር	3767	U+122D	ETHIOPIC SYLLABLE RE
ሮ	1967	U+122E	ETHIOPIC SYLLABLE RO
ሱ	2037	U+1231	ETHIOPIC SYLLABLE SU
ሲ	8172	U+1232	ETHIOPIC SYLLABLE SI
ሳ	13333	U+1233	ETHIOPIC SYLLABLE SAA
ሴ	2534	U+1234	ETHIOPIC SYLLABLE SEE
ስ	16869	U+1235	ETHIOPIC SYLLABLE SE
ሶ	2036	U+1236	ETHIOPIC SYLLABLE SO
ꬁ	4	U+AB01	ETHIOPIC SYLLABLE TTHU
ꬂ	2214	U+AB02	ETHIOPIC SYLLABLE TTHI
ꬃ	3473	U+AB03	ETHIOPIC SYLLABLE TTHAA
ꬄ	375	U+AB04	ETHIOPIC SYLLABLE TTHEE
ꬅ	796	U+AB05	ETHIOPIC SYLLABLE TTHE
ꬆ	677	U+AB06	ETHIOPIC SYLLABLE TTHO
ሹ	237	U+1239	ETHIOPIC SYLLABLE SHU
ሺ	2311	U+123A	ETHIOPIC SYLLABLE SHI
ሻ	1646	U+123B	ETHIOPIC SYLLABLE SHAA
ሼ	1524	U+123C	ETHIOPIC SYLLABLE SHEE
ሽ	1953	U+123D	ETHIOPIC SYLLABLE SHE
ሾ	490	U+123E	ETHIOPIC SYLLABLE SHO
ቁ	177	U+1241	ETHIOPIC SYLLABLE QU
ቂ	1042	U+1242	ETHIOPIC SYLLABLE QI
ቃ	3435	U+1243	ETHIOPIC SYLLABLE QAA
ቄ	724	U+1244	ETHIOPIC SYLLABLE QEE
ቅ	9	U+1245	ETHIOPIC SYLLABLE QE
ቆ	1874	U+1246	ETHIOPIC SYLLABLE QO
ቡ	320	U+1261	ETHIOPIC SYLLABLE BU
ቢ	1374	U+1262	ETHIOPIC SYLLABLE BI
ባ	4554	U+1263	ETHIOPIC SYLLABLE BAA
ቤ	2320	U+1264	ETHIOPIC SYLLABLE BEE
ብ	162	U+1265	ETHIOPIC SYLLABLE BE
ቦ	2031	U+1266	ETHIOPIC SYLLABLE BO
ቱ	586	U+1271	ETHIOPIC SYLLABLE TU
ቲ	8908	U+1272	ETHIOPIC SYLLABLE TI
ታ	14921	U+1273	ETHIOPIC SYLLABLE TAA
ቴ	8162	U+1274	ETHIOPIC SYLLABLE TEE
ት	16	U+1275	ETHIOPIC SYLLABLE TE
ቶ	2209	U+1276	ETHIOPIC SYLLABLE TO
ቹ	2	U+1279	ETHIOPIC SYLLABLE CU
ቺ	466	U+127A	ETHIOPIC SYLLABLE CI
ቻ	1041	U+127B	ETHIOPIC SYLLABLE CAA
ቼ	132	U+127C	ETHIOPIC SYLLABLE CEE
ች	88	U+127D	ETHIOPIC SYLLABLE CE
ቾ	454	U+127E	ETHIOPIC SYLLABLE CO
ኑ	1830	U+1291	ETHIOPIC SYLLABLE NU
ኒ	2552	U+1292	ETHIOPIC SYLLABLE NI
ና	12708	U+1293	ETHIOPIC SYLLABLE NAA
ኔ	5951	U+1294	ETHIOPIC SYLLABLE NEE
ን	17994	U+1295	ETHIOPIC SYLLABLE NE
ኖ	897	U+1296	ETHIOPIC SYLLABLE NO
ኛ	3	U+129B	ETHIOPIC SYLLABLE NYAA
ኡ	1406	U+12A1	ETHIOPIC SYLLABLE GLOTTAL U
ኢ	13232	U+12A2	ETHIOPIC SYLLABLE GLOTTAL I
ኣ	11545	U+12A3	ETHIOPIC SYLLABLE GLOTTAL AA
ኤ	2625	U+12A4	ETHIOPIC SYLLABLE GLOTTAL EE
ኦ	3213	U+12A6	ETHIOPIC SYLLABLE GLOTTAL O
ኩ	691	U+12A9	ETHIOPIC SYLLABLE KU
ኪ	2772	U+12AA	ETHIOPIC SYLLABLE KI
ካ	9000	U+12AB	ETHIOPIC SYLLABLE KAA
ኬ	2221	U+12AC	ETHIOPIC SYLLABLE KEE
ክ	21	U+12AD	ETHIOPIC SYLLABLE KE
