Grapheme	Frequency	Codepoint	UnicodeName
 	198392	U+0020	SPACE
-	795	U+002D	HYPHEN-MINUS
–	44	U+2013	EN DASH
—	1205	U+2014	EM DASH
,	12799	U+002C	COMMA
;	1551	U+003B	SEMICOLON
:	2279	U+003A	COLON
!	477	U+0021	EXCLAMATION MARK
¡	476	U+00A1	INVERTED EXCLAMATION MARK
?	846	U+003F	QUESTION MARK
¿	846	U+00BF	INVERTED QUESTION MARK
.	8248	U+002E	FULL STOP
'	32525	U+0027	APOSTROPHE
‘	333	U+2018	LEFT SINGLE QUOTATION MARK
’	333	U+2019	RIGHT SINGLE QUOTATION MARK
“	773	U+201C	LEFT DOUBLE QUOTATION MARK
”	771	U+201D	RIGHT DOUBLE QUOTATION MARK
(	33	U+0028	LEFT PARENTHESIS
)	33	U+0029	RIGHT PARENTHESIS
[	2	U+005B	LEFT SQUARE BRACKET
]	1	U+005D	RIGHT SQUARE BRACKET
a	116036	U+0061	LATIN SMALL LETTER A
A	2429	U+0041	LATIN CAPITAL LETTER A
á	179	U+00E1	LATIN SMALL LETTER A WITH ACUTE
Á	9	U+00C1	LATIN CAPITAL LETTER A WITH ACUTE
ä	12354	U+00E4	LATIN SMALL LETTER A WITH DIAERESIS
Ä	2	U+00C4	LATIN CAPITAL LETTER A WITH DIAERESIS
b	14807	U+0062	LATIN SMALL LETTER B
B	138	U+0042	LATIN CAPITAL LETTER B
c	8419	U+0063	LATIN SMALL LETTER C
C	1301	U+0043	LATIN CAPITAL LETTER C
d	14465	U+0064	LATIN SMALL LETTER D
D	114	U+0044	LATIN CAPITAL LETTER D
e	131168	U+0065	LATIN SMALL LETTER E
E	2134	U+0045	LATIN CAPITAL LETTER E
é	607	U+00E9	LATIN SMALL LETTER E WITH ACUTE
É	23	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
ë	7354	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS
f	209	U+0066	LATIN SMALL LETTER F
F	110	U+0046	LATIN CAPITAL LETTER F
g	9991	U+0067	LATIN SMALL LETTER G
G	162	U+0047	LATIN CAPITAL LETTER G
h	8345	U+0068	LATIN SMALL LETTER H
H	86	U+0048	LATIN CAPITAL LETTER H
i	63352	U+0069	LATIN SMALL LETTER I
I	1533	U+0049	LATIN CAPITAL LETTER I
í	1038	U+00ED	LATIN SMALL LETTER I WITH ACUTE
ï	1156	U+00EF	LATIN SMALL LETTER I WITH DIAERESIS
ɨ	35294	U+0268	LATIN SMALL LETTER I WITH STROKE
Ɨ	39	U+0197	LATIN CAPITAL LETTER I WITH STROKE
ɨ̇	2019	U+0268, U+0307	LATIN SMALL LETTER I WITH STROKE, COMBINING DOT ABOVE
j	423	U+006A	LATIN SMALL LETTER J
J	2625	U+004A	LATIN CAPITAL LETTER J
k	31408	U+006B	LATIN SMALL LETTER K
K	728	U+004B	LATIN CAPITAL LETTER K
l	1344	U+006C	LATIN SMALL LETTER L
L	82	U+004C	LATIN CAPITAL LETTER L
m	27346	U+006D	LATIN SMALL LETTER M
M	930	U+004D	LATIN CAPITAL LETTER M
n	21752	U+006E	LATIN SMALL LETTER N
N	684	U+004E	LATIN CAPITAL LETTER N
ñ	8162	U+00F1	LATIN SMALL LETTER N WITH TILDE
Ñ	137	U+00D1	LATIN CAPITAL LETTER N WITH TILDE
o	75707	U+006F	LATIN SMALL LETTER O
O	1015	U+004F	LATIN CAPITAL LETTER O
ó	226	U+00F3	LATIN SMALL LETTER O WITH ACUTE
ö	1348	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
Ö	2	U+00D6	LATIN CAPITAL LETTER O WITH DIAERESIS
p	52239	U+0070	LATIN SMALL LETTER P
P	1604	U+0050	LATIN CAPITAL LETTER P
q	81	U+0071	LATIN SMALL LETTER Q
Q	5	U+0051	LATIN CAPITAL LETTER Q
r	64303	U+0072	LATIN SMALL LETTER R
R	544	U+0052	LATIN CAPITAL LETTER R
s	39986	U+0073	LATIN SMALL LETTER S
S	1100	U+0053	LATIN CAPITAL LETTER S
t	26576	U+0074	LATIN SMALL LETTER T
T	2926	U+0054	LATIN CAPITAL LETTER T
u	39076	U+0075	LATIN SMALL LETTER U
U	60	U+0055	LATIN CAPITAL LETTER U
ú	1768	U+00FA	LATIN SMALL LETTER U WITH ACUTE
ü	4311	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS
v	38931	U+0076	LATIN SMALL LETTER V
V	72	U+0056	LATIN CAPITAL LETTER V
w	14384	U+0077	LATIN SMALL LETTER W
x	18	U+0078	LATIN SMALL LETTER X
y	25095	U+0079	LATIN SMALL LETTER Y
Y	1062	U+0059	LATIN CAPITAL LETTER Y
z	99	U+007A	LATIN SMALL LETTER Z
Z	43	U+005A	LATIN CAPITAL LETTER Z
