Grapheme	Frequency	Codepoint	UnicodeName
 	179655	U+0020	SPACE
‐	1678	U+2010	HYPHEN
,	12305	U+002C	COMMA
;	2869	U+003B	SEMICOLON
:	2425	U+003A	COLON
!	139	U+0021	EXCLAMATION MARK
?	1003	U+003F	QUESTION MARK
.	10742	U+002E	FULL STOP
’	11743	U+2019	RIGHT SINGLE QUOTATION MARK
(	67	U+0028	LEFT PARENTHESIS
)	67	U+0029	RIGHT PARENTHESIS
0	11	U+0030	DIGIT ZERO
1	4	U+0031	DIGIT ONE
2	5	U+0032	DIGIT TWO
3	1	U+0033	DIGIT THREE
4	1	U+0034	DIGIT FOUR
5	2	U+0035	DIGIT FIVE
6	7	U+0036	DIGIT SIX
7	1	U+0037	DIGIT SEVEN
a	148445	U+0061	LATIN SMALL LETTER A
A	585	U+0041	LATIN CAPITAL LETTER A
á	2304	U+00E1	LATIN SMALL LETTER A WITH ACUTE
ā	6264	U+0101	LATIN SMALL LETTER A WITH MACRON
b	322	U+0062	LATIN SMALL LETTER B
B	128	U+0042	LATIN CAPITAL LETTER B
c	361	U+0063	LATIN SMALL LETTER C
C	855	U+0043	LATIN CAPITAL LETTER C
d	2831	U+0064	LATIN SMALL LETTER D
D	108	U+0044	LATIN CAPITAL LETTER D
e	21849	U+0065	LATIN SMALL LETTER E
E	178	U+0045	LATIN CAPITAL LETTER E
é	117	U+00E9	LATIN SMALL LETTER E WITH ACUTE
ē	753	U+0113	LATIN SMALL LETTER E WITH MACRON
f	3	U+0066	LATIN SMALL LETTER F
F	23	U+0046	LATIN CAPITAL LETTER F
g	107	U+0067	LATIN SMALL LETTER G
G	2489	U+0047	LATIN CAPITAL LETTER G
h	38254	U+0068	LATIN SMALL LETTER H
H	694	U+0048	LATIN CAPITAL LETTER H
i	68790	U+0069	LATIN SMALL LETTER I
I	1192	U+0049	LATIN CAPITAL LETTER I
í	1358	U+00ED	LATIN SMALL LETTER I WITH ACUTE
ī	1789	U+012B	LATIN SMALL LETTER I WITH MACRON
j	10	U+006A	LATIN SMALL LETTER J
J	2193	U+004A	LATIN CAPITAL LETTER J
k	18055	U+006B	LATIN SMALL LETTER K
K	224	U+004B	LATIN CAPITAL LETTER K
k̇	4975	U+006B, U+0307	LATIN SMALL LETTER K, COMBINING DOT ABOVE
K̇	6	U+004B, U+0307	LATIN CAPITAL LETTER K, COMBINING DOT ABOVE
l	9518	U+006C	LATIN SMALL LETTER L
L	96	U+004C	LATIN CAPITAL LETTER L
m	42930	U+006D	LATIN SMALL LETTER M
M	555	U+004D	LATIN CAPITAL LETTER M
n	51201	U+006E	LATIN SMALL LETTER N
N	6410	U+004E	LATIN CAPITAL LETTER N
ñ	292	U+00F1	LATIN SMALL LETTER N WITH TILDE
ṅ	20365	U+1E45	LATIN SMALL LETTER N WITH DOT ABOVE
Ṅ	14	U+1E44	LATIN CAPITAL LETTER N WITH DOT ABOVE
o	30461	U+006F	LATIN SMALL LETTER O
O	214	U+004F	LATIN CAPITAL LETTER O
ó	918	U+00F3	LATIN SMALL LETTER O WITH ACUTE
Ó	1	U+00D3	LATIN CAPITAL LETTER O WITH ACUTE
ö	4023	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
Ö	10	U+00D6	LATIN CAPITAL LETTER O WITH DIAERESIS
ö́	232	U+00F6, U+0301	LATIN SMALL LETTER O WITH DIAERESIS, COMBINING ACUTE ACCENT
ȫ	673	U+022B	LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
ō	3063	U+014D	LATIN SMALL LETTER O WITH MACRON
p	43345	U+0070	LATIN SMALL LETTER P
P	4395	U+0050	LATIN CAPITAL LETTER P
q	46113	U+0071	LATIN SMALL LETTER Q
Q	300	U+0051	LATIN CAPITAL LETTER Q
r	4795	U+0072	LATIN SMALL LETTER R
R	49	U+0052	LATIN CAPITAL LETTER R
s	34379	U+0073	LATIN SMALL LETTER S
S	685	U+0053	LATIN CAPITAL LETTER S
t	72712	U+0074	LATIN SMALL LETTER T
T	1328	U+0054	LATIN CAPITAL LETTER T
u	66326	U+0075	LATIN SMALL LETTER U
U	1299	U+0055	LATIN CAPITAL LETTER U
ú	1443	U+00FA	LATIN SMALL LETTER U WITH ACUTE
ū	3133	U+016B	LATIN SMALL LETTER U WITH MACRON
v	11629	U+0076	LATIN SMALL LETTER V
V	1	U+0056	LATIN CAPITAL LETTER V
w	51471	U+0077	LATIN SMALL LETTER W
W	55	U+0057	LATIN CAPITAL LETTER W
x	23	U+0078	LATIN SMALL LETTER X
y	45572	U+0079	LATIN SMALL LETTER Y
Y	721	U+0059	LATIN CAPITAL LETTER Y
z	77	U+007A	LATIN SMALL LETTER Z
Z	43	U+005A	LATIN CAPITAL LETTER Z
