Grapheme	Frequency	Codepoint	UnicodeName
 	835849	U+0020	SPACE
-	8997	U+002D	HYPHEN-MINUS
—	764	U+2014	EM DASH
,	41146	U+002C	COMMA
;	3525	U+003B	SEMICOLON
:	2173	U+003A	COLON
!	2677	U+0021	EXCLAMATION MARK
?	3024	U+003F	QUESTION MARK
.	51909	U+002E	FULL STOP
…	5	U+2026	HORIZONTAL ELLIPSIS
'	359	U+0027	APOSTROPHE
‘	878	U+2018	LEFT SINGLE QUOTATION MARK
’	861	U+2019	RIGHT SINGLE QUOTATION MARK
“	8278	U+201C	LEFT DOUBLE QUOTATION MARK
”	6930	U+201D	RIGHT DOUBLE QUOTATION MARK
(	348	U+0028	LEFT PARENTHESIS
)	396	U+0029	RIGHT PARENTHESIS
[	2	U+005B	LEFT SQUARE BRACKET
]	2	U+005D	RIGHT SQUARE BRACKET
/	22	U+002F	SOLIDUS
=	6	U+003D	EQUALS SIGN
0	1940	U+0030	DIGIT ZERO
1	737	U+0031	DIGIT ONE
2	595	U+0032	DIGIT TWO
3	323	U+0033	DIGIT THREE
4	289	U+0034	DIGIT FOUR
5	336	U+0035	DIGIT FIVE
6	188	U+0036	DIGIT SIX
7	225	U+0037	DIGIT SEVEN
8	142	U+0038	DIGIT EIGHT
9	73	U+0039	DIGIT NINE
a	900835	U+0061	LATIN SMALL LETTER A
A	19466	U+0041	LATIN CAPITAL LETTER A
b	72657	U+0062	LATIN SMALL LETTER B
B	3503	U+0042	LATIN CAPITAL LETTER B
c	2374	U+0063	LATIN SMALL LETTER C
C	1257	U+0043	LATIN CAPITAL LETTER C
d	178502	U+0064	LATIN SMALL LETTER D
D	12197	U+0044	LATIN CAPITAL LETTER D
e	139328	U+0065	LATIN SMALL LETTER E
E	3024	U+0045	LATIN CAPITAL LETTER E
f	3399	U+0066	LATIN SMALL LETTER F
F	699	U+0046	LATIN CAPITAL LETTER F
g	213401	U+0067	LATIN SMALL LETTER G
G	1815	U+0047	LATIN CAPITAL LETTER G
h	8283	U+0068	LATIN SMALL LETTER H
H	1706	U+0048	LATIN CAPITAL LETTER H
i	460813	U+0069	LATIN SMALL LETTER I
I	14730	U+0049	LATIN CAPITAL LETTER I
j	293	U+006A	LATIN SMALL LETTER J
J	8408	U+004A	LATIN CAPITAL LETTER J
k	188777	U+006B	LATIN SMALL LETTER K
K	7818	U+004B	LATIN CAPITAL LETTER K
l	92318	U+006C	LATIN SMALL LETTER L
L	2141	U+004C	LATIN CAPITAL LETTER L
m	131510	U+006D	LATIN SMALL LETTER M
M	7098	U+004D	LATIN CAPITAL LETTER M
n	393925	U+006E	LATIN SMALL LETTER N
N	14149	U+004E	LATIN CAPITAL LETTER N
o	158453	U+006F	LATIN SMALL LETTER O
O	1018	U+004F	LATIN CAPITAL LETTER O
p	97259	U+0070	LATIN SMALL LETTER P
P	4553	U+0050	LATIN CAPITAL LETTER P
q	69	U+0071	LATIN SMALL LETTER Q
Q	1	U+0051	LATIN CAPITAL LETTER Q
r	80775	U+0072	LATIN SMALL LETTER R
R	1337	U+0052	LATIN CAPITAL LETTER R
s	122271	U+0073	LATIN SMALL LETTER S
S	8329	U+0053	LATIN CAPITAL LETTER S
t	302780	U+0074	LATIN SMALL LETTER T
T	4992	U+0054	LATIN CAPITAL LETTER T
u	113840	U+0075	LATIN SMALL LETTER U
U	1167	U+0055	LATIN CAPITAL LETTER U
v	1653	U+0076	LATIN SMALL LETTER V
V	33	U+0056	LATIN CAPITAL LETTER V
w	29758	U+0077	LATIN SMALL LETTER W
W	404	U+0057	LATIN CAPITAL LETTER W
x	85	U+0078	LATIN SMALL LETTER X
X	37	U+0058	LATIN CAPITAL LETTER X
y	79697	U+0079	LATIN SMALL LETTER Y
Y	2450	U+0059	LATIN CAPITAL LETTER Y
z	1644	U+007A	LATIN SMALL LETTER Z
Z	593	U+005A	LATIN CAPITAL LETTER Z
