Grapheme	Frequency	Codepoint	UnicodeName
 	681152	U+0020	SPACE
-	7330	U+002D	HYPHEN-MINUS
—	9686	U+2014	EM DASH
,	51666	U+002C	COMMA
;	376	U+003B	SEMICOLON
:	9124	U+003A	COLON
!	8640	U+0021	EXCLAMATION MARK
?	3051	U+003F	QUESTION MARK
.	39526	U+002E	FULL STOP
«	5041	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	5041	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	1545	U+0028	LEFT PARENTHESIS
)	1545	U+0029	RIGHT PARENTHESIS
/	122	U+002F	SOLIDUS
а	460299	U+0430	CYRILLIC SMALL LETTER A
А	7585	U+0410	CYRILLIC CAPITAL LETTER A
ә	25569	U+04D9	CYRILLIC SMALL LETTER SCHWA
Ә	2638	U+04D8	CYRILLIC CAPITAL LETTER SCHWA
б	81044	U+0431	CYRILLIC SMALL LETTER BE
Б	7839	U+0411	CYRILLIC CAPITAL LETTER BE
в	227	U+0432	CYRILLIC SMALL LETTER VE
г	32373	U+0433	CYRILLIC SMALL LETTER GHE
Г	476	U+0413	CYRILLIC CAPITAL LETTER GHE
ғ	56995	U+0493	CYRILLIC SMALL LETTER GHE WITH STROKE
Ғ	614	U+0492	CYRILLIC CAPITAL LETTER GHE WITH STROKE
д	181600	U+0434	CYRILLIC SMALL LETTER DE
Д	2337	U+0414	CYRILLIC CAPITAL LETTER DE
е	272044	U+0435	CYRILLIC SMALL LETTER IE
Е	5136	U+0415	CYRILLIC CAPITAL LETTER IE
ж	48404	U+0436	CYRILLIC SMALL LETTER ZHE
Ж	10752	U+0416	CYRILLIC CAPITAL LETTER ZHE
з	46581	U+0437	CYRILLIC SMALL LETTER ZE
З	713	U+0417	CYRILLIC CAPITAL LETTER ZE
и	28056	U+0438	CYRILLIC SMALL LETTER I
И	13675	U+0418	CYRILLIC CAPITAL LETTER I
і	212720	U+0456	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
І	587	U+0406	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
й	67516	U+0439	CYRILLIC SMALL LETTER SHORT I
к	68157	U+043A	CYRILLIC SMALL LETTER KA
К	3096	U+041A	CYRILLIC CAPITAL LETTER KA
қ	108760	U+049B	CYRILLIC SMALL LETTER KA WITH DESCENDER
Қ	8368	U+049A	CYRILLIC CAPITAL LETTER KA WITH DESCENDER
л	171022	U+043B	CYRILLIC SMALL LETTER EL
Л	642	U+041B	CYRILLIC CAPITAL LETTER EL
м	92807	U+043C	CYRILLIC SMALL LETTER EM
М	10982	U+041C	CYRILLIC CAPITAL LETTER EM
н	260362	U+043D	CYRILLIC SMALL LETTER EN
Н	1287	U+041D	CYRILLIC CAPITAL LETTER EN
ң	71371	U+04A3	CYRILLIC SMALL LETTER EN WITH DESCENDER
о	75845	U+043E	CYRILLIC SMALL LETTER O
О	10512	U+041E	CYRILLIC CAPITAL LETTER O
ө	29177	U+04E9	CYRILLIC SMALL LETTER BARRED O
Ө	3189	U+04E8	CYRILLIC CAPITAL LETTER BARRED O
п	71043	U+043F	CYRILLIC SMALL LETTER PE
П	1890	U+041F	CYRILLIC CAPITAL LETTER PE
р	205659	U+0440	CYRILLIC SMALL LETTER ER
Р	1177	U+0420	CYRILLIC CAPITAL LETTER ER
с	124601	U+0441	CYRILLIC SMALL LETTER ES
С	14376	U+0421	CYRILLIC CAPITAL LETTER ES
т	175613	U+0442	CYRILLIC SMALL LETTER TE
Т	3160	U+0422	CYRILLIC CAPITAL LETTER TE
у	39821	U+0443	CYRILLIC SMALL LETTER U
У	814	U+0423	CYRILLIC CAPITAL LETTER U
ү	32148	U+04AF	CYRILLIC SMALL LETTER STRAIGHT U
Ү	294	U+04AE	CYRILLIC CAPITAL LETTER STRAIGHT U
ұ	40061	U+04B1	CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
Ұ	689	U+04B0	CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
ф	1126	U+0444	CYRILLIC SMALL LETTER EF
Ф	143	U+0424	CYRILLIC CAPITAL LETTER EF
х	11676	U+0445	CYRILLIC SMALL LETTER HA
Х	1588	U+0425	CYRILLIC CAPITAL LETTER HA
һ	2009	U+04BB	CYRILLIC SMALL LETTER SHHA
Һ	492	U+04BA	CYRILLIC CAPITAL LETTER SHHA
ц	1	U+0446	CYRILLIC SMALL LETTER TSE
ш	46576	U+0448	CYRILLIC SMALL LETTER SHA
Ш	1381	U+0428	CYRILLIC CAPITAL LETTER SHA
щ	49	U+0449	CYRILLIC SMALL LETTER SHCHA
ы	260573	U+044B	CYRILLIC SMALL LETTER YERU
Ы	620	U+042B	CYRILLIC CAPITAL LETTER YERU
ь	9	U+044C	CYRILLIC SMALL LETTER SOFT SIGN
э	6	U+044D	CYRILLIC SMALL LETTER E
Э	1	U+042D	CYRILLIC CAPITAL LETTER E
ю	239	U+044E	CYRILLIC SMALL LETTER YU
Ю	8	U+042E	CYRILLIC CAPITAL LETTER YU
я	7401	U+044F	CYRILLIC SMALL LETTER YA
Я	1299	U+042F	CYRILLIC CAPITAL LETTER YA
