Grapheme	Frequency	Codepoint	UnicodeName
 	206286	U+0020	SPACE
-	5125	U+002D	HYPHEN-MINUS
—	8	U+2014	EM DASH
,	17303	U+002C	COMMA
;	315	U+003B	SEMICOLON
:	247	U+003A	COLON
!	882	U+0021	EXCLAMATION MARK
?	956	U+003F	QUESTION MARK
.	11147	U+002E	FULL STOP
…	2	U+2026	HORIZONTAL ELLIPSIS
‘	401	U+2018	LEFT SINGLE QUOTATION MARK
’	399	U+2019	RIGHT SINGLE QUOTATION MARK
“	2139	U+201C	LEFT DOUBLE QUOTATION MARK
”	1866	U+201D	RIGHT DOUBLE QUOTATION MARK
(	72	U+0028	LEFT PARENTHESIS
)	70	U+0029	RIGHT PARENTHESIS
0	245	U+0030	DIGIT ZERO
1	113	U+0031	DIGIT ONE
2	84	U+0032	DIGIT TWO
3	15	U+0033	DIGIT THREE
4	56	U+0034	DIGIT FOUR
5	17	U+0035	DIGIT FIVE
6	12	U+0036	DIGIT SIX
7	7	U+0037	DIGIT SEVEN
8	7	U+0038	DIGIT EIGHT
9	9	U+0039	DIGIT NINE
a	140693	U+0061	LATIN SMALL LETTER A
A	3898	U+0041	LATIN CAPITAL LETTER A
b	12034	U+0062	LATIN SMALL LETTER B
B	1616	U+0042	LATIN CAPITAL LETTER B
b̃	10906	U+0062, U+0303	LATIN SMALL LETTER B, COMBINING TILDE
B̃	70	U+0042, U+0303	LATIN CAPITAL LETTER B, COMBINING TILDE
d	12916	U+0064	LATIN SMALL LETTER D
D	353	U+0044	LATIN CAPITAL LETTER D
e	52643	U+0065	LATIN SMALL LETTER E
E	551	U+0045	LATIN CAPITAL LETTER E
ǝ	48217	U+01DD	LATIN SMALL LETTER TURNED E
f	180	U+0066	LATIN SMALL LETTER F
F	205	U+0046	LATIN CAPITAL LETTER F
g	24045	U+0067	LATIN SMALL LETTER G
G	4886	U+0047	LATIN CAPITAL LETTER G
h	29061	U+0068	LATIN SMALL LETTER H
H	866	U+0048	LATIN CAPITAL LETTER H
i	81411	U+0069	LATIN SMALL LETTER I
I	1435	U+0049	LATIN CAPITAL LETTER I
j	82	U+006A	LATIN SMALL LETTER J
J	1065	U+004A	LATIN CAPITAL LETTER J
k	17332	U+006B	LATIN SMALL LETTER K
K	1097	U+004B	LATIN CAPITAL LETTER K
l	55571	U+006C	LATIN SMALL LETTER L
L	1289	U+004C	LATIN CAPITAL LETTER L
m	30658	U+006D	LATIN SMALL LETTER M
M	1202	U+004D	LATIN CAPITAL LETTER M
m̃	3299	U+006D, U+0303	LATIN SMALL LETTER M, COMBINING TILDE
M̃	2	U+004D, U+0303	LATIN CAPITAL LETTER M, COMBINING TILDE
n	91822	U+006E	LATIN SMALL LETTER N
N	4445	U+004E	LATIN CAPITAL LETTER N
ŋ	8863	U+014B	LATIN SMALL LETTER ENG
Ŋ	164	U+014A	LATIN CAPITAL LETTER ENG
o	55259	U+006F	LATIN SMALL LETTER O
O	35	U+004F	LATIN CAPITAL LETTER O
p	5940	U+0070	LATIN SMALL LETTER P
P	828	U+0050	LATIN CAPITAL LETTER P
p̃	2801	U+0070, U+0303	LATIN SMALL LETTER P, COMBINING TILDE
P̃	5	U+0050, U+0303	LATIN CAPITAL LETTER P, COMBINING TILDE
r	21556	U+0072	LATIN SMALL LETTER R
R	128	U+0052	LATIN CAPITAL LETTER R
s	44567	U+0073	LATIN SMALL LETTER S
S	1043	U+0053	LATIN CAPITAL LETTER S
t	65307	U+0074	LATIN SMALL LETTER T
T	654	U+0054	LATIN CAPITAL LETTER T
u	43474	U+0075	LATIN SMALL LETTER U
U	15	U+0055	LATIN CAPITAL LETTER U
v	20190	U+0076	LATIN SMALL LETTER V
V	83	U+0056	LATIN CAPITAL LETTER V
ṽ	3154	U+0076, U+0303	LATIN SMALL LETTER V, COMBINING TILDE
Ṽ	8	U+0056, U+0303	LATIN CAPITAL LETTER V, COMBINING TILDE
w	2257	U+0077	LATIN SMALL LETTER W
W	41	U+0057	LATIN CAPITAL LETTER W
y	1158	U+0079	LATIN SMALL LETTER Y
Y	1970	U+0059	LATIN CAPITAL LETTER Y
