Grapheme	Frequency	Codepoint	UnicodeName
 	197516	U+0020	SPACE
-	33	U+002D	HYPHEN-MINUS
—	115	U+2014	EM DASH
,	11140	U+002C	COMMA
;	480	U+003B	SEMICOLON
:	2412	U+003A	COLON
!	599	U+0021	EXCLAMATION MARK
?	1013	U+003F	QUESTION MARK
.	8998	U+002E	FULL STOP
…	5	U+2026	HORIZONTAL ELLIPSIS
‹	472	U+2039	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
›	472	U+203A	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
«	2080	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	1886	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
*	12	U+002A	ASTERISK
1	1	U+0031	DIGIT ONE
a	51873	U+0061	LATIN SMALL LETTER A
A	343	U+0041	LATIN CAPITAL LETTER A
b	25727	U+0062	LATIN SMALL LETTER B
B	1281	U+0042	LATIN CAPITAL LETTER B
c	2859	U+0063	LATIN SMALL LETTER C
C	520	U+0043	LATIN CAPITAL LETTER C
ç	3404	U+00E7	LATIN SMALL LETTER C WITH CEDILLA
Ç	999	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA
d	26148	U+0064	LATIN SMALL LETTER D
D	732	U+0044	LATIN CAPITAL LETTER D
e	71648	U+0065	LATIN SMALL LETTER E
E	1910	U+0045	LATIN CAPITAL LETTER E
ê	35149	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX
Ê	121	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
f	1342	U+0066	LATIN SMALL LETTER F
F	203	U+0046	LATIN CAPITAL LETTER F
g	8354	U+0067	LATIN SMALL LETTER G
G	529	U+0047	LATIN CAPITAL LETTER G
h	15763	U+0068	LATIN SMALL LETTER H
H	1252	U+0048	LATIN CAPITAL LETTER H
i	71733	U+0069	LATIN SMALL LETTER I
I	16	U+0049	LATIN CAPITAL LETTER I
î	24227	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX
Î	2214	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
j	11800	U+006A	LATIN SMALL LETTER J
J	593	U+004A	LATIN CAPITAL LETTER J
k	25792	U+006B	LATIN SMALL LETTER K
K	505	U+004B	LATIN CAPITAL LETTER K
l	12659	U+006C	LATIN SMALL LETTER L
L	1318	U+004C	LATIN CAPITAL LETTER L
m	16574	U+006D	LATIN SMALL LETTER M
M	1803	U+004D	LATIN CAPITAL LETTER M
n	49781	U+006E	LATIN SMALL LETTER N
N	452	U+004E	LATIN CAPITAL LETTER N
o	8514	U+006F	LATIN SMALL LETTER O
O	158	U+004F	LATIN CAPITAL LETTER O
p	4178	U+0070	LATIN SMALL LETTER P
P	1225	U+0050	LATIN CAPITAL LETTER P
q	1741	U+0071	LATIN SMALL LETTER Q
Q	105	U+0051	LATIN CAPITAL LETTER Q
r	35877	U+0072	LATIN SMALL LETTER R
R	501	U+0052	LATIN CAPITAL LETTER R
s	13431	U+0073	LATIN SMALL LETTER S
S	371	U+0053	LATIN CAPITAL LETTER S
ş	6807	U+015F	LATIN SMALL LETTER S WITH CEDILLA
Ş	664	U+015E	LATIN CAPITAL LETTER S WITH CEDILLA
t	20801	U+0074	LATIN SMALL LETTER T
T	382	U+0054	LATIN CAPITAL LETTER T
u	12435	U+0075	LATIN SMALL LETTER U
U	19	U+0055	LATIN CAPITAL LETTER U
û	15701	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX
Û	847	U+00DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
v	10940	U+0076	LATIN SMALL LETTER V
V	135	U+0056	LATIN CAPITAL LETTER V
w	21899	U+0077	LATIN SMALL LETTER W
W	837	U+0057	LATIN CAPITAL LETTER W
x	7857	U+0078	LATIN SMALL LETTER X
X	2257	U+0058	LATIN CAPITAL LETTER X
y	16631	U+0079	LATIN SMALL LETTER Y
Y	704	U+0059	LATIN CAPITAL LETTER Y
z	7926	U+007A	LATIN SMALL LETTER Z
Z	121	U+005A	LATIN CAPITAL LETTER Z
