	6321
(	13
)	13
,	22045
.	18274
12	12
666	1
?	839
Ā	6
Āa̍se̍	4
Ābīa̍ta̍	2
Āīsa̍yā	2
Āku̍i̍lā	3
Ālīmāti̍a̍ā	4
A̍	195
A̍a̍a̍	1
A̍a̍nāŋ	2
A̍ba̍dɔ̄ŋ	1
A̍chi᷄m	1
A̍chīm	1
A̍da᷅mnde̍	1
A̍di̍mīŋ	2
A̍dām	13
A̍dīī	2
A̍fa̍a̍sī	4
A̍fa̍sa̍dī	2
A̍fīāā	1
A̍i̍sa̍kī	1
A̍ka̍bɔ̄ɔ̄	3
A̍ki̍pɔ̄ɔ̄	2
A̍ku̍i̍lā	1
A̍na̍sī	5
A̍ndūlū	12
A̍nā	2
A̍pīɔ̄ɔ̄	1
A̍pɔ̍lɔ̄ɔ̄	13
A̍pɛ̍lɛ̄ɛ̄	1
A̍so̍tɔ̄ɔ̄	1
A̍sā	2
A̍sīɛ̄ɛ̄	1
A̍sīɛ̄ɛ̄le̍ŋ	1
A̍sɔ̄ɔ̄	5
A̍tɛ̄ŋ	6
A̍ŋti̍pa̍a̍sī	2
A̍ŋti̍ɔ̍ɔ̄	28
Ba̍a̍	1
Ba̍a̍mba᷄ŋ	1
Ba̍a̍na̍bāā	37
Ba̍bi̍lɔ̄ŋ	13
Ba̍bi̍lɔ̄ŋnde̍ŋ	1
Ba̍lu̍a̍bāā	14
Ba̍na̍bāā	5
Ba̍ā	1
Ba̍ŋ	8
Be̍la̍kī	1
Be̍lām	6
Be̍lāmnda̍ŋ	1
Bi̍i̍	1
Bi̍ti̍nīāā	1
Bi̍ti̍nīāāve̍	1
Bi̍yɔ̄ɔ̄	1
Bōōndi̍i̍	6
Bo̍lōlā	1
Bo̍wa̍a̍	1
Bo̍wāā	3
Bu̍ndɔ᷄ŋ	2
Bu̍ɛ̍i̍	4
Bu̍ɛ̍i̍yāa̍	1
Bu̍ɛ̍i̍yāā	6
Bu̍ɛ̍ī	8
Bu̍ɛ̍īya̍	5
Bu̍ɛ̍īyo̍	1
Bu̍ɛ̍īyāā	1
Bā	7
Bāa̍	1
Bāfɛ̄i̍yo̍	1
Bāla̍ŋ	1
Bālu̍a̍kī	1
Bālā	1
Bātīma̍yɔ̄ɔ̄	1
Bātɔ̄lɔ̍mīū	3
Bāā	89
Bāāsa̍ba̍sī	1
Bāŋa᷄ŋnda̍	1
Bēe̍dīi̍	3
Bēe̍dīi̍yo̍	2
Bīl	1
