	1
!	152
(	9
)	9
,	8465
-	25
:	64
;	702
?	1001
।	10550
অংশ	35
অংশই	3
অংশও	2
অংশকে	2
অংশগুলো	5
অংশগুলোকে	6
অংশগুলোর	1
অংশগ্রহণ	1
অংশটা	1
অংশটিতে	2
অংশটির	1
অংশটুকু	1
অংশীদার	1
অংশে	2
অংশের	1
অকারণে	1
অকৃতজ্ঞ	2
অকেজো	6
অক্ষরে	3
অখাঁটি	1
অগুরু	1
অগ্নি	1
অগ্রাহ্য	30
অঘোরে	1
অচল	2
অচেনা	2
অচেনাও	1
অজানা	9
অজুহাত	6
অজুহাতটা	1
অজুহাতে	2
অজ্ঞান	3
অটল	1
অটলভাবে	1
অতল	8
অতিথি	10
অতিথি-ঘরটা	2
অতিথিতে	1
অতিথিদের	4
অতিরিক্ত	5
অতিরিক্তও	1
অত্তালিয়া	2
অত্যাচার	46
অত্যাচারও	1
অত্যাচারিত	4
অত্যাচারী	1
অত্যাচারে	1
অত্যাচারের	3
অথচ	35
অথবা	2
অদমান	1
অদমানের	1
অদৃশ্য	2
অদেখা	1
অদ্দী	1
অদ্দীর	1
অদ্বিতীয়	1
অদ্ভুত	2
অধার্মিক	1
অধিকার	73
অধিকার-ভরা	1
অধিকারী	23
অধিকারীদের	4
অধিকারীরা	1
অধিকারে	1
অধিকারের	7
অধীন	33
অধীনতা	10
অধীনতার	1
অধীনে	45
অধীনেই	3
অননিয়	13
অননিয়কে	2
অননিয়ের	1
অনন্ত	55
অনন্তকাল	2
অনবরত	4
অনর্থক	2
অনাথ	1
অনাথদের	1
অনিষ্ট	1
অনিষ্টকর	1
অনীষিফরের	2
অনুচিত	5
অনুপস্থিত	3
অনুপস্থিতিতে	1
অনুপস্থিতির	1
অনুমতি	22
অনুযোগ	2
অনুরোধ	90
অনুসারে	57
অনুসারেই	7
অনেক	366
অনেককে	12
অনেককেই	4
অনেকক্ষণ	3
অনেকখানি	5
অনেকগুলো	9
অনেকজনকে	1
অনেকটা	2
অনেকবারই	1
অনেকে	31
অনেকেই	26
অনেকের	11
অনেকেরই	1
অন্ততঃ	7
অন্তর	81
অন্তর-আত্মা	1
অন্তর-ভরা	4
অন্তরই	1
অন্তরকে	6
অন্তরে	109
অন্তরেই	1
অন্তরেও	4
অন্তরের	25
অন্ধ	42
অন্ধকার	31
অন্ধকারই	1
অন্ধকারকে	1
অন্ধকারে	22
অন্ধকারেই	2
অন্ধকারের	8
অন্ধকে	3
অন্ধদের	4
অন্ধের	4
অন্ধেরা	2
অন্য	202
অন্যকে	60
অন্যজন	6
অন্যজনকে	14
অন্যজনের	3
অন্যদিক	1
অন্যদিকে	1
অন্যদের	55
অন্যদেরও	2
অন্যন্য	1
অন্যান্য	28
অন্যায়	67
অন্যায়ই	1
অন্যায়কারী	3
অন্যায়কারীদের	3
অন্যায়কে	2
অন্যায়ভাবে	2
অন্যায়ের	8
অন্যায়	1
অন্যের	59
অন্যেরা	24
অপদার্থ	3
অপবিত্র	9
অপবিত্রতা	1
অপবিত্রতার	1
অপমান	29
অপমানিত	3
অপমানে	1
অপমানের	12
অপরাধীর	1
অপেক্ষা	40
অপেক্ষাও	1
অপেক্ষায়	5
অবশ	3
অবশ-রোগীকে	9
অবশ-রোগে	2
অবশ্য	57
অবশ্যই	6
অবস্থা	34
অবস্থাই	1
অবস্থাও	2
অবস্থাটা	1
অবস্থাতেই	3
অবস্থায়	65
অবস্থায়ই	1
অবস্থায়ও	1
অবস্থার	2
অবহেলা	2
অবাক	14
অবাধ্য	20
অবাধ্যতা	2
অবাধ্যতার	10
অবিবাহিত	2
অবিবাহিতা	3
অবিয়	1
অবিয়াথর	1
অবিয়ের	2
অবিলীনীর	1
অবিশ্বস্ত	9
অবিশ্বাস	4
অবিশ্বাসী	14
অবিশ্বাসীদের	7
অবিশ্বাসীর	2
অবিশ্বাসীরা	1
অবিশ্বাসের	4
অবীহূদ	1
অবীহূদের	1
অবুঝ	5
অব্রাহাম	41
অব্রাহামই	1
অব্রাহামও	1
অব্রাহামকে	12
অব্রাহামকেই	1
অব্রাহামের	50
অব্রাহামেরই	1
অভাব	30
অভাবী	2
অভাবে	4
অভাবের	7
অভিভাবক	1
অভিশপ্ত	3
অভিশাপ	19
অভিষেক	4
অভ্যাস	4
অভ্যাসের	1
অমংগল	2
অমান্য	22
অমাবস্যা	1
অমিল	7
অমুক	1
অমূল্য	2
অম্মীনাদব	2
অম্মীনাদবের	2
অযিহূদী	20
অযিহূদীদের	71
অযিহূদীদেরও	5
অযিহূদীর	3
অযিহূদীরা	23
অযিহূদীরাই	1
অযিহূদীরাও	3
অযোগ্য	4
অরামীয়	1
অরিমাথিয়া	4
অর্ণি	1
অর্ণির	1
অর্থ	20
অর্থহীন	3
অর্থাৎ	138
অর্থে	2
অর্ধেক	2
অর্ফক্‌ষদ	1
অর্ফক্‌ষদের	1
অলস	9
অল্প	41
অল্প-বিশ্বাসীরা	2
অল্পই	2
অল্পকাল	1
অল্পকালের	1
অশিক্ষিত	2
অশুচি	30
অশুচিতা	5
অশুচিভাবে	1
অশেষ	11
অশ্রদ্ধা	2
অষ্টম	2
অসংখ্য	3
অসত্য	1
অসন্তুষ্ট	2
অসন্তুষ্টির	1
অসময়	1
অসময়ে	3
অসমান	1
অসম্পূর্ণ	2
অসম্ভব	8
অসম্মান	12
অসম্মানিত	1
অসম্মানিতও	1
অসম্মানের	2
অসস্মান	1
অসহায়	1
অসাড়	7
অসাধারণ	5
অসার	2
অসীম	4
অসুংক্রিত	1
অসুখ	9
অসুখে	2
অসুখের	1
অসুবিধা-ভোগে	1
অসুস্থ	16
অসুস্থতা	1
অসুস্থতার	1
অসুস্থদের	6
অসুস্থরা	1
অস্ত্রশস্ত্র	6
অস্ত্রশস্ত্রের	1
অস্থায়ী	4
অস্থি-মজ্জার	1
অস্থির	19
অস্থিরমনা	1
অস্পষ্ট	1
অস্বস্তি	1
অস্বাভাবিক	3
অস্বীকার	35
অস্বীকারও	2
অস্‌দোদ	1
অসৎ	5
অহংকার	5
অহংকার-এর	1
অহংকারী	5
অহংকারীদের	2
