Grapheme	Frequency	Codepoint	UnicodeName
 	248690	U+0020	SPACE
-	3882	U+002D	HYPHEN-MINUS
—	4599	U+2014	EM DASH
,	18028	U+002C	COMMA
;	1225	U+003B	SEMICOLON
:	2591	U+003A	COLON
!	675	U+0021	EXCLAMATION MARK
?	514	U+003F	QUESTION MARK
.	22769	U+002E	FULL STOP
'	54	U+0027	APOSTROPHE
‘	172	U+2018	LEFT SINGLE QUOTATION MARK
’	168	U+2019	RIGHT SINGLE QUOTATION MARK
“	2045	U+201C	LEFT DOUBLE QUOTATION MARK
”	2000	U+201D	RIGHT DOUBLE QUOTATION MARK
(	97	U+0028	LEFT PARENTHESIS
)	97	U+0029	RIGHT PARENTHESIS
[	21	U+005B	LEFT SQUARE BRACKET
]	21	U+005D	RIGHT SQUARE BRACKET
{	25	U+007B	LEFT CURLY BRACKET
}	25	U+007D	RIGHT CURLY BRACKET
a	112962	U+0061	LATIN SMALL LETTER A
A	5441	U+0041	LATIN CAPITAL LETTER A
á	394	U+00E1	LATIN SMALL LETTER A WITH ACUTE
Á	36	U+00C1	LATIN CAPITAL LETTER A WITH ACUTE
â	109967	U+00E2	LATIN SMALL LETTER A WITH CIRCUMFLEX
Â	2572	U+00C2	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
ã	864	U+00E3	LATIN SMALL LETTER A WITH TILDE
b	15389	U+0062	LATIN SMALL LETTER B
B	309	U+0042	LATIN CAPITAL LETTER B
c	569	U+0063	LATIN SMALL LETTER C
C	1312	U+0043	LATIN CAPITAL LETTER C
ç	22	U+00E7	LATIN SMALL LETTER C WITH CEDILLA
d	52019	U+0064	LATIN SMALL LETTER D
D	6880	U+0044	LATIN CAPITAL LETTER D
e	119859	U+0065	LATIN SMALL LETTER E
E	1055	U+0045	LATIN CAPITAL LETTER E
é	1093	U+00E9	LATIN SMALL LETTER E WITH ACUTE
É	16	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
ê	50	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX
Ê	2	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
f	295	U+0066	LATIN SMALL LETTER F
F	172	U+0046	LATIN CAPITAL LETTER F
g	35110	U+0067	LATIN SMALL LETTER G
G	151	U+0047	LATIN CAPITAL LETTER G
h	18005	U+0068	LATIN SMALL LETTER H
H	139	U+0048	LATIN CAPITAL LETTER H
i	62577	U+0069	LATIN SMALL LETTER I
I	3534	U+0049	LATIN CAPITAL LETTER I
í	137	U+00ED	LATIN SMALL LETTER I WITH ACUTE
j	3262	U+006A	LATIN SMALL LETTER J
J	5810	U+004A	LATIN CAPITAL LETTER J
k	36616	U+006B	LATIN SMALL LETTER K
K	2616	U+004B	LATIN CAPITAL LETTER K
l	49204	U+006C	LATIN SMALL LETTER L
L	132	U+004C	LATIN CAPITAL LETTER L
m	74679	U+006D	LATIN SMALL LETTER M
M	1958	U+004D	LATIN CAPITAL LETTER M
n	82886	U+006E	LATIN SMALL LETTER N
N	393	U+004E	LATIN CAPITAL LETTER N
o	97202	U+006F	LATIN SMALL LETTER O
O	311	U+004F	LATIN CAPITAL LETTER O
ó	142	U+00F3	LATIN SMALL LETTER O WITH ACUTE
ô	88	U+00F4	LATIN SMALL LETTER O WITH CIRCUMFLEX
õ	1	U+00F5	LATIN SMALL LETTER O WITH TILDE
p	15560	U+0070	LATIN SMALL LETTER P
P	1959	U+0050	LATIN CAPITAL LETTER P
q	260	U+0071	LATIN SMALL LETTER Q
Q	34	U+0051	LATIN CAPITAL LETTER Q
r	49426	U+0072	LATIN SMALL LETTER R
R	169	U+0052	LATIN CAPITAL LETTER R
s	32434	U+0073	LATIN SMALL LETTER S
S	1049	U+0053	LATIN CAPITAL LETTER S
t	39661	U+0074	LATIN SMALL LETTER T
T	3792	U+0054	LATIN CAPITAL LETTER T
u	73930	U+0075	LATIN SMALL LETTER U
U	649	U+0055	LATIN CAPITAL LETTER U
ú	35	U+00FA	LATIN SMALL LETTER U WITH ACUTE
Ú	4	U+00DA	LATIN CAPITAL LETTER U WITH ACUTE
ü	278	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS
v	488	U+0076	LATIN SMALL LETTER V
V	17	U+0056	LATIN CAPITAL LETTER V
w	36058	U+0077	LATIN SMALL LETTER W
W	436	U+0057	LATIN CAPITAL LETTER W
x	6016	U+0078	LATIN SMALL LETTER X
X	1012	U+0058	LATIN CAPITAL LETTER X
y	100021	U+0079	LATIN SMALL LETTER Y
Y	718	U+0059	LATIN CAPITAL LETTER Y
z	14004	U+007A	LATIN SMALL LETTER Z
Z	56	U+005A	LATIN CAPITAL LETTER Z
