Grapheme	Frequency	Codepoint	UnicodeName
 	286142	U+0020	SPACE
-	124	U+002D	HYPHEN-MINUS
,	30203	U+002C	COMMA
;	10	U+003B	SEMICOLON
:	43	U+003A	COLON
!	298	U+0021	EXCLAMATION MARK
?	936	U+003F	QUESTION MARK
.	15948	U+002E	FULL STOP
‘	796	U+2018	LEFT SINGLE QUOTATION MARK
’	797	U+2019	RIGHT SINGLE QUOTATION MARK
“	2064	U+201C	LEFT DOUBLE QUOTATION MARK
”	2063	U+201D	RIGHT DOUBLE QUOTATION MARK
(	128	U+0028	LEFT PARENTHESIS
)	128	U+0029	RIGHT PARENTHESIS
[	38	U+005B	LEFT SQUARE BRACKET
]	39	U+005D	RIGHT SQUARE BRACKET
*	124	U+002A	ASTERISK
0	130	U+0030	DIGIT ZERO
1	39	U+0031	DIGIT ONE
2	26	U+0032	DIGIT TWO
3	15	U+0033	DIGIT THREE
4	46	U+0034	DIGIT FOUR
5	14	U+0035	DIGIT FIVE
6	16	U+0036	DIGIT SIX
7	8	U+0037	DIGIT SEVEN
8	9	U+0038	DIGIT EIGHT
9	11	U+0039	DIGIT NINE
a	187851	U+0061	LATIN SMALL LETTER A
A	3353	U+0041	LATIN CAPITAL LETTER A
b	37248	U+0062	LATIN SMALL LETTER B
B	2018	U+0042	LATIN CAPITAL LETTER B
c	3834	U+0063	LATIN SMALL LETTER C
d	23649	U+0064	LATIN SMALL LETTER D
D	2534	U+0044	LATIN CAPITAL LETTER D
e	93833	U+0065	LATIN SMALL LETTER E
E	923	U+0045	LATIN CAPITAL LETTER E
F	2	U+0046	LATIN CAPITAL LETTER F
g	87662	U+0067	LATIN SMALL LETTER G
G	5282	U+0047	LATIN CAPITAL LETTER G
h	2987	U+0068	LATIN SMALL LETTER H
H	133	U+0048	LATIN CAPITAL LETTER H
i	103771	U+0069	LATIN SMALL LETTER I
I	2943	U+0049	LATIN CAPITAL LETTER I
k	9901	U+006B	LATIN SMALL LETTER K
K	1163	U+004B	LATIN CAPITAL LETTER K
l	46006	U+006C	LATIN SMALL LETTER L
L	101	U+004C	LATIN CAPITAL LETTER L
m	59423	U+006D	LATIN SMALL LETTER M
M	884	U+004D	LATIN CAPITAL LETTER M
n	88280	U+006E	LATIN SMALL LETTER N
N	1465	U+004E	LATIN CAPITAL LETTER N
o	47155	U+006F	LATIN SMALL LETTER O
O	250	U+004F	LATIN CAPITAL LETTER O
p	11231	U+0070	LATIN SMALL LETTER P
P	1113	U+0050	LATIN CAPITAL LETTER P
r	22514	U+0072	LATIN SMALL LETTER R
R	89	U+0052	LATIN CAPITAL LETTER R
s	31051	U+0073	LATIN SMALL LETTER S
S	772	U+0053	LATIN CAPITAL LETTER S
t	27877	U+0074	LATIN SMALL LETTER T
T	393	U+0054	LATIN CAPITAL LETTER T
u	124811	U+0075	LATIN SMALL LETTER U
U	5358	U+0055	LATIN CAPITAL LETTER U
v	153	U+0076	LATIN SMALL LETTER V
w	15919	U+0077	LATIN SMALL LETTER W
W	407	U+0057	LATIN CAPITAL LETTER W
Y	2587	U+0059	LATIN CAPITAL LETTER Y
z	22962	U+007A	LATIN SMALL LETTER Z
Z	2312	U+005A	LATIN CAPITAL LETTER Z
