	6
!	1241
(	105
)	105
,	12632
--	1
.	8984
1,260	1
144,000	3
2,400	1
276	1
450	1
666	1
7000	1
:	450
;	1500
?	916
Aaron	4
Abaddon	1
Abah	6
Abel	6
Abiathar	1
Abijah	2
Abilene	1
Abiud	1
Abraham	102
Achaia	12
Achaicus	1
Achim	1
Adam	13
Adat	2
Addi	1
Adi	40
Admin	1
Adramyttium	1
Adu	3
Adŭ-i	2
Adŭn-I	1
Adŭp	66
Adŭp-I	2
Adŭp-i	2
Aeneas	3
Aenon	1
Agabus	2
Agah	160
Agi	163
Agrippa	14
Ahaz	1
Ajar	7
Akeldama	1
Aki	8
Aku	1652
Alexander	6
Alexandria	4
Alphaeus	5
Amai	349
Amen	26
Amminadab	2
Amon	1
Amos	1
Amphipolis	1
Ampliatus	1
An	14
Anak	282
Anak-I	30
Anak-anya	1
Anak-i	1
Ananias	11
Andam-i	1
Andrew	12
Andronicus	1
Andu	92
Andu-I	1
Andu-i	1
Angān	353
Ani	113
Anna	1
Annas	4
Antioch	23
Antipas	1
Antipatris	1
Anŭ	88
Apag	1
Apelles	1
Apollonia	1
Apollos	11
Apollyon	1
Apphia	1
Appius	1
Apui	1
Apun	3
Aquila	7
Arabia	3
Aran	13
Arang	1
Arap	6
Archelaus	1
Archippus	2
Areopagus	1
Aretas	1
Ari	1
Arimathea	4
Aristarchus	5
Aristobulus	1
Armageddon	1
Arni	1
Arong	1
Arphaxad	1
Artemas	1
Artemis	5
Arud	3
Asa	1
Asher	2
Asi	143
Asia	19
Assos	2
Asuh	3
Asyncritus	1
Asŭng	4
Asŭng-i	1
Ata	83
Atan	7
Athens	6
Ati	85
Atin	6
Attalia	1
Atur	2
Augustus	1
Awah	3
Awah-Solomon	1
Awang	1
Awar	9
Ayo	1
Ayō	2
Ayŭh	2280
Azor	1
Azotus	1
B	2
Baal	1
Babang	1
Babuk	1
Babylon	13
Babŭ	6
Bada	32
Bada-i	1
Badŭh	1
Bagan	2
Bagŭ	40
Bah	8
Bait	1
Baji	2
Balaam	3
Balak	1
Banang	1
Bandar	1
Bang	1
Bangsa	4
Banŭh	1
Baptisa	6
Bar-Jesus	1
Bara	259
Bara-bara	1
Barabbas	12
Barak	1
Barang	55
Bari	12
Bari-Dawŭn	1
Barnabas	36
Barsabbas	2
Bartholomew	4
Bartimaeus	1
Batang	2
Batuh	9
Batur	6
Batŭh	6
Batŭh-I	1
Batŭn	1
Bauh	12
Bayar	3
Bayar-I	1
Beelzebul	8
Benjamin	4
Beor	1
Berea	4
Berechiah	1
Berkat	1
Bernice	3
Bethany	14
Bethlehem	9
Bethphage	3
Bethsaida	7
Bethzatha	1
Biberkat	2
Bidigŭng	3
Bidua	3
Bijaga	11
Bijanji	1
Bijijŭ	1
Bikaduh	1
Bikuasa	2
Bine	8
Bipayu	1
Birajar	1
Birani	1
Birawan	1
Birayar	1
Bireh	3
Biri	41
Biruman	3
Birumba	1
Bisa	22
Bisa-pŭrŭg	16
Bisara	15
Bisig	3
Bisirŭh	2
Bitang	4
Bithynia	2
Bituah	3
Biyŭn	1
Blastus	1
Boanerges	1
Boaz	2
Bragah	12
Bu	8
Buang	2
Buang-i	1
Budo	2
Burah	1
Buran	1
Buwa	2
Bās	57
Bŭkŭn	1
