Grapheme	Frequency	Codepoint	UnicodeName
 	262056	U+0020	SPACE
-	1723	U+002D	HYPHEN-MINUS
—	44	U+2014	EM DASH
,	13192	U+002C	COMMA
;	494	U+003B	SEMICOLON
:	184	U+003A	COLON
!	744	U+0021	EXCLAMATION MARK
?	965	U+003F	QUESTION MARK
.	11548	U+002E	FULL STOP
'	10	U+0027	APOSTROPHE
‘	400	U+2018	LEFT SINGLE QUOTATION MARK
’	399	U+2019	RIGHT SINGLE QUOTATION MARK
“	2306	U+201C	LEFT DOUBLE QUOTATION MARK
”	1914	U+201D	RIGHT DOUBLE QUOTATION MARK
(	47	U+0028	LEFT PARENTHESIS
)	47	U+0029	RIGHT PARENTHESIS
[	24	U+005B	LEFT SQUARE BRACKET
]	24	U+005D	RIGHT SQUARE BRACKET
a	119120	U+0061	LATIN SMALL LETTER A
A	4811	U+0041	LATIN CAPITAL LETTER A
b	10393	U+0062	LATIN SMALL LETTER B
B	1212	U+0042	LATIN CAPITAL LETTER B
c	4610	U+0063	LATIN SMALL LETTER C
C	46	U+0043	LATIN CAPITAL LETTER C
d	56709	U+0064	LATIN SMALL LETTER D
D	3631	U+0044	LATIN CAPITAL LETTER D
e	79713	U+0065	LATIN SMALL LETTER E
E	474	U+0045	LATIN CAPITAL LETTER E
f	15879	U+0066	LATIN SMALL LETTER F
F	615	U+0046	LATIN CAPITAL LETTER F
g	12333	U+0067	LATIN SMALL LETTER G
G	3360	U+0047	LATIN CAPITAL LETTER G
h	76604	U+0068	LATIN SMALL LETTER H
H	612	U+0048	LATIN CAPITAL LETTER H
i	73570	U+0069	LATIN SMALL LETTER I
I	1285	U+0049	LATIN CAPITAL LETTER I
j	2747	U+006A	LATIN SMALL LETTER J
J	3421	U+004A	LATIN CAPITAL LETTER J
k	17768	U+006B	LATIN SMALL LETTER K
K	1233	U+004B	LATIN CAPITAL LETTER K
l	23572	U+006C	LATIN SMALL LETTER L
L	1299	U+004C	LATIN CAPITAL LETTER L
m	17350	U+006D	LATIN SMALL LETTER M
M	825	U+004D	LATIN CAPITAL LETTER M
n	80011	U+006E	LATIN SMALL LETTER N
N	827	U+004E	LATIN CAPITAL LETTER N
o	40441	U+006F	LATIN SMALL LETTER O
O	56	U+004F	LATIN CAPITAL LETTER O
p	15575	U+0070	LATIN SMALL LETTER P
P	848	U+0050	LATIN CAPITAL LETTER P
r	18720	U+0072	LATIN SMALL LETTER R
R	166	U+0052	LATIN CAPITAL LETTER R
s	30517	U+0073	LATIN SMALL LETTER S
S	2646	U+0053	LATIN CAPITAL LETTER S
t	30801	U+0074	LATIN SMALL LETTER T
T	296	U+0054	LATIN CAPITAL LETTER T
u	20698	U+0075	LATIN SMALL LETTER U
U	636	U+0055	LATIN CAPITAL LETTER U
v	6681	U+0076	LATIN SMALL LETTER V
V	3	U+0056	LATIN CAPITAL LETTER V
w	30055	U+0077	LATIN SMALL LETTER W
W	1588	U+0057	LATIN CAPITAL LETTER W
y	14072	U+0079	LATIN SMALL LETTER Y
Y	494	U+0059	LATIN CAPITAL LETTER Y
z	6951	U+007A	LATIN SMALL LETTER Z
Z	57	U+005A	LATIN CAPITAL LETTER Z
