Grapheme	Frequency	Codepoint	UnicodeName
 	144167	U+0020	SPACE
,	15461	U+002C	COMMA
:	5853	U+003A	COLON
!	3	U+0021	EXCLAMATION MARK
?	982	U+003F	QUESTION MARK
.	5389	U+002E	FULL STOP
‹	6	U+2039	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
(	431	U+0028	LEFT PARENTHESIS
)	431	U+0029	RIGHT PARENTHESIS
¦	3	U+00A6	BROKEN BAR
~	1	U+007E	TILDE
H	2	U+0048	LATIN CAPITAL LETTER H
а	40362	U+0430	CYRILLIC SMALL LETTER A
А	366	U+0410	CYRILLIC CAPITAL LETTER A
б	10734	U+0431	CYRILLIC SMALL LETTER BE
Б	1586	U+0411	CYRILLIC CAPITAL LETTER BE
в	27706	U+0432	CYRILLIC SMALL LETTER VE
В	408	U+0412	CYRILLIC CAPITAL LETTER VE
г	12480	U+0433	CYRILLIC SMALL LETTER GHE
Г	808	U+0413	CYRILLIC CAPITAL LETTER GHE
д	19133	U+0434	CYRILLIC SMALL LETTER DE
Д	231	U+0414	CYRILLIC CAPITAL LETTER DE
е	65130	U+0435	CYRILLIC SMALL LETTER IE
Е	169	U+0415	CYRILLIC CAPITAL LETTER IE
ж	10721	U+0436	CYRILLIC SMALL LETTER ZHE
Ж	20	U+0416	CYRILLIC CAPITAL LETTER ZHE
з	7418	U+0437	CYRILLIC SMALL LETTER ZE
З	48	U+0417	CYRILLIC CAPITAL LETTER ZE
и	52708	U+0438	CYRILLIC SMALL LETTER I
И	2807	U+0418	CYRILLIC CAPITAL LETTER I
й	3950	U+0439	CYRILLIC SMALL LETTER SHORT I
к	11407	U+043A	CYRILLIC SMALL LETTER KA
К	75	U+041A	CYRILLIC CAPITAL LETTER KA
л	18763	U+043B	CYRILLIC SMALL LETTER EL
Л	16	U+041B	CYRILLIC CAPITAL LETTER EL
м	19375	U+043C	CYRILLIC SMALL LETTER EM
М	180	U+041C	CYRILLIC CAPITAL LETTER EM
н	26863	U+043D	CYRILLIC SMALL LETTER EN
Н	348	U+041D	CYRILLIC CAPITAL LETTER EN
о	51916	U+043E	CYRILLIC SMALL LETTER O
О	767	U+041E	CYRILLIC CAPITAL LETTER O
п	12947	U+043F	CYRILLIC SMALL LETTER PE
П	398	U+041F	CYRILLIC CAPITAL LETTER PE
р	21290	U+0440	CYRILLIC SMALL LETTER ER
Р	194	U+0420	CYRILLIC CAPITAL LETTER ER
с	32823	U+0441	CYRILLIC SMALL LETTER ES
С	670	U+0421	CYRILLIC CAPITAL LETTER ES
т	30474	U+0442	CYRILLIC SMALL LETTER TE
Т	281	U+0422	CYRILLIC CAPITAL LETTER TE
у	16992	U+0443	CYRILLIC SMALL LETTER U
У	46	U+0423	CYRILLIC CAPITAL LETTER U
ф	532	U+0444	CYRILLIC SMALL LETTER EF
Ф	17	U+0424	CYRILLIC CAPITAL LETTER EF
х	6429	U+0445	CYRILLIC SMALL LETTER HA
Х	594	U+0425	CYRILLIC CAPITAL LETTER HA
ц	2588	U+0446	CYRILLIC SMALL LETTER TSE
Ц	334	U+0426	CYRILLIC CAPITAL LETTER TSE
ч	5280	U+0447	CYRILLIC SMALL LETTER CHE
Ч	170	U+0427	CYRILLIC CAPITAL LETTER CHE
ш	6648	U+0448	CYRILLIC SMALL LETTER SHA
Ш	5	U+0428	CYRILLIC CAPITAL LETTER SHA
щ	4999	U+0449	CYRILLIC SMALL LETTER SHCHA
ъ	4	U+044A	CYRILLIC SMALL LETTER HARD SIGN
ы	8838	U+044B	CYRILLIC SMALL LETTER YERU
ь	5110	U+044C	CYRILLIC SMALL LETTER SOFT SIGN
ю	5089	U+044E	CYRILLIC SMALL LETTER YU
Ю	3	U+042E	CYRILLIC CAPITAL LETTER YU
я	15281	U+044F	CYRILLIC SMALL LETTER YA
Я	75	U+042F	CYRILLIC CAPITAL LETTER YA
