Grapheme	Frequency	Codepoint	UnicodeName
 	193092	U+0020	SPACE
-	73	U+002D	HYPHEN-MINUS
—	4	U+2014	EM DASH
,	18133	U+002C	COMMA
;	1749	U+003B	SEMICOLON
:	2294	U+003A	COLON
!	3734	U+0021	EXCLAMATION MARK
?	973	U+003F	QUESTION MARK
.	3468	U+002E	FULL STOP
'	59	U+0027	APOSTROPHE
“	1	U+201C	LEFT DOUBLE QUOTATION MARK
„	1	U+201E	DOUBLE LOW-9 QUOTATION MARK
«	20	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	19	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	154	U+0028	LEFT PARENTHESIS
)	159	U+0029	RIGHT PARENTHESIS
[	2	U+005B	LEFT SQUARE BRACKET
]	2	U+005D	RIGHT SQUARE BRACKET
§	1	U+00A7	SECTION SIGN
*	50	U+002A	ASTERISK
®	5	U+00AE	REGISTERED SIGN
0	3	U+0030	DIGIT ZERO
4	1	U+0034	DIGIT FOUR
5	2	U+0035	DIGIT FIVE
6	3	U+0036	DIGIT SIX
a	41467	U+0061	LATIN SMALL LETTER A
A	1667	U+0041	LATIN CAPITAL LETTER A
ä	2808	U+00E4	LATIN SMALL LETTER A WITH DIAERESIS
Ä	135	U+00C4	LATIN CAPITAL LETTER A WITH DIAERESIS
b	14529	U+0062	LATIN SMALL LETTER B
B	1725	U+0042	LATIN CAPITAL LETTER B
c	22491	U+0063	LATIN SMALL LETTER C
C	597	U+0043	LATIN CAPITAL LETTER C
d	46895	U+0064	LATIN SMALL LETTER D
D	3612	U+0044	LATIN CAPITAL LETTER D
e	137342	U+0065	LATIN SMALL LETTER E
E	4009	U+0045	LATIN CAPITAL LETTER E
f	7987	U+0066	LATIN SMALL LETTER F
F	1240	U+0046	LATIN CAPITAL LETTER F
g	19893	U+0067	LATIN SMALL LETTER G
G	4596	U+0047	LATIN CAPITAL LETTER G
h	41329	U+0068	LATIN SMALL LETTER H
H	3060	U+0048	LATIN CAPITAL LETTER H
i	60225	U+0069	LATIN SMALL LETTER I
I	2694	U+0049	LATIN CAPITAL LETTER I
j	904	U+006A	LATIN SMALL LETTER J
J	2228	U+004A	LATIN CAPITAL LETTER J
k	5362	U+006B	LATIN SMALL LETTER K
K	1341	U+004B	LATIN CAPITAL LETTER K
l	20814	U+006C	LATIN SMALL LETTER L
L	1280	U+004C	LATIN CAPITAL LETTER L
m	16937	U+006D	LATIN SMALL LETTER M
M	2748	U+004D	LATIN CAPITAL LETTER M
n	83317	U+006E	LATIN SMALL LETTER N
N	712	U+004E	LATIN CAPITAL LETTER N
o	14838	U+006F	LATIN SMALL LETTER O
O	355	U+004F	LATIN CAPITAL LETTER O
ö	2128	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
Ö	31	U+00D6	LATIN CAPITAL LETTER O WITH DIAERESIS
p	3100	U+0070	LATIN SMALL LETTER P
P	981	U+0050	LATIN CAPITAL LETTER P
q	37	U+0071	LATIN SMALL LETTER Q
Q	24	U+0051	LATIN CAPITAL LETTER Q
r	57208	U+0072	LATIN SMALL LETTER R
R	565	U+0052	LATIN CAPITAL LETTER R
s	50167	U+0073	LATIN SMALL LETTER S
S	4777	U+0053	LATIN CAPITAL LETTER S
ß	1242	U+00DF	LATIN SMALL LETTER SHARP S
t	43728	U+0074	LATIN SMALL LETTER T
T	1529	U+0054	LATIN CAPITAL LETTER T
u	32415	U+0075	LATIN SMALL LETTER U
U	2276	U+0055	LATIN CAPITAL LETTER U
ü	4363	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS
Ü	126	U+00DC	LATIN CAPITAL LETTER U WITH DIAERESIS
v	4846	U+0076	LATIN SMALL LETTER V
V	1482	U+0056	LATIN CAPITAL LETTER V
w	13053	U+0077	LATIN SMALL LETTER W
W	3320	U+0057	LATIN CAPITAL LETTER W
x	21	U+0078	LATIN SMALL LETTER X
X	3	U+0058	LATIN CAPITAL LETTER X
y	249	U+0079	LATIN SMALL LETTER Y
Y	3	U+0059	LATIN CAPITAL LETTER Y
z	7047	U+007A	LATIN SMALL LETTER Z
Z	804	U+005A	LATIN CAPITAL LETTER Z
