Grapheme	Frequency	Codepoint	UnicodeName
 	183664	U+0020	SPACE
-	107	U+002D	HYPHEN-MINUS
—	202	U+2014	EM DASH
,	13438	U+002C	COMMA
;	513	U+003B	SEMICOLON
:	210	U+003A	COLON
!	288	U+0021	EXCLAMATION MARK
?	974	U+003F	QUESTION MARK
.	7022	U+002E	FULL STOP
‘	379	U+2018	LEFT SINGLE QUOTATION MARK
’	681	U+2019	RIGHT SINGLE QUOTATION MARK
“	1915	U+201C	LEFT DOUBLE QUOTATION MARK
”	1714	U+201D	RIGHT DOUBLE QUOTATION MARK
(	86	U+0028	LEFT PARENTHESIS
)	49	U+0029	RIGHT PARENTHESIS
[	4	U+005B	LEFT SQUARE BRACKET
]	4	U+005D	RIGHT SQUARE BRACKET
0	3	U+0030	DIGIT ZERO
1	2	U+0031	DIGIT ONE
2	2	U+0032	DIGIT TWO
3	2	U+0033	DIGIT THREE
4	2	U+0034	DIGIT FOUR
5	2	U+0035	DIGIT FIVE
6	1	U+0036	DIGIT SIX
7	1	U+0037	DIGIT SEVEN
a	48665	U+0061	LATIN SMALL LETTER A
A	2634	U+0041	LATIN CAPITAL LETTER A
b	9428	U+0062	LATIN SMALL LETTER B
B	1081	U+0042	LATIN CAPITAL LETTER B
c	11322	U+0063	LATIN SMALL LETTER C
C	802	U+0043	LATIN CAPITAL LETTER C
d	30769	U+0064	LATIN SMALL LETTER D
D	315	U+0044	LATIN CAPITAL LETTER D
e	83326	U+0065	LATIN SMALL LETTER E
E	194	U+0045	LATIN CAPITAL LETTER E
f	14152	U+0066	LATIN SMALL LETTER F
F	1162	U+0046	LATIN CAPITAL LETTER F
g	11602	U+0067	LATIN SMALL LETTER G
G	1609	U+0047	LATIN CAPITAL LETTER G
h	47431	U+0068	LATIN SMALL LETTER H
H	665	U+0048	LATIN CAPITAL LETTER H
i	40497	U+0069	LATIN SMALL LETTER I
I	2608	U+0049	LATIN CAPITAL LETTER I
j	614	U+006A	LATIN SMALL LETTER J
J	1721	U+004A	LATIN CAPITAL LETTER J
k	4071	U+006B	LATIN SMALL LETTER K
K	48	U+004B	LATIN CAPITAL LETTER K
l	22783	U+006C	LATIN SMALL LETTER L
L	890	U+004C	LATIN CAPITAL LETTER L
m	16480	U+006D	LATIN SMALL LETTER M
M	465	U+004D	LATIN CAPITAL LETTER M
n	43477	U+006E	LATIN SMALL LETTER N
N	437	U+004E	LATIN CAPITAL LETTER N
o	55889	U+006F	LATIN SMALL LETTER O
O	228	U+004F	LATIN CAPITAL LETTER O
p	8817	U+0070	LATIN SMALL LETTER P
P	703	U+0050	LATIN CAPITAL LETTER P
q	173	U+0071	LATIN SMALL LETTER Q
Q	2	U+0051	LATIN CAPITAL LETTER Q
r	35620	U+0072	LATIN SMALL LETTER R
R	126	U+0052	LATIN CAPITAL LETTER R
s	40743	U+0073	LATIN SMALL LETTER S
S	1417	U+0053	LATIN CAPITAL LETTER S
t	57552	U+0074	LATIN SMALL LETTER T
T	1500	U+0054	LATIN CAPITAL LETTER T
u	19007	U+0075	LATIN SMALL LETTER U
U	22	U+0055	LATIN CAPITAL LETTER U
v	6813	U+0076	LATIN SMALL LETTER V
V	3	U+0056	LATIN CAPITAL LETTER V
w	17050	U+0077	LATIN SMALL LETTER W
W	800	U+0057	LATIN CAPITAL LETTER W
x	455	U+0078	LATIN SMALL LETTER X
y	14935	U+0079	LATIN SMALL LETTER Y
Y	346	U+0059	LATIN CAPITAL LETTER Y
z	309	U+007A	LATIN SMALL LETTER Z
Z	47	U+005A	LATIN CAPITAL LETTER Z
