Grapheme	Frequency	Codepoint	UnicodeName
 	187688	U+0020	SPACE
:	4004	U+003A	COLON
?	939	U+003F	QUESTION MARK
.	8396	U+002E	FULL STOP
(	180	U+0028	LEFT PARENTHESIS
)	182	U+0029	RIGHT PARENTHESIS
a	53990	U+0061	LATIN SMALL LETTER A
A	3502	U+0041	LATIN CAPITAL LETTER A
b	9697	U+0062	LATIN SMALL LETTER B
B	886	U+0042	LATIN CAPITAL LETTER B
c	14265	U+0063	LATIN SMALL LETTER C
C	800	U+0043	LATIN CAPITAL LETTER C
d	35060	U+0064	LATIN SMALL LETTER D
D	164	U+0044	LATIN CAPITAL LETTER D
e	120741	U+0065	LATIN SMALL LETTER E
E	228	U+0045	LATIN CAPITAL LETTER E
f	16258	U+0066	LATIN SMALL LETTER F
F	998	U+0046	LATIN CAPITAL LETTER F
g	11474	U+0067	LATIN SMALL LETTER G
G	1245	U+0047	LATIN CAPITAL LETTER G
h	58495	U+0068	LATIN SMALL LETTER H
H	499	U+0048	LATIN CAPITAL LETTER H
i	29448	U+0069	LATIN SMALL LETTER I
I	4312	U+0049	LATIN CAPITAL LETTER I
j	1	U+006A	LATIN SMALL LETTER J
k	4258	U+006B	LATIN SMALL LETTER K
K	1	U+004B	LATIN CAPITAL LETTER K
l	25775	U+006C	LATIN SMALL LETTER L
L	612	U+004C	LATIN CAPITAL LETTER L
m	17894	U+006D	LATIN SMALL LETTER M
M	405	U+004D	LATIN CAPITAL LETTER M
n	49210	U+006E	LATIN SMALL LETTER N
N	274	U+004E	LATIN CAPITAL LETTER N
o	53869	U+006F	LATIN SMALL LETTER O
O	157	U+004F	LATIN CAPITAL LETTER O
p	9379	U+0070	LATIN SMALL LETTER P
P	706	U+0050	LATIN CAPITAL LETTER P
q	180	U+0071	LATIN SMALL LETTER Q
Q	2	U+0051	LATIN CAPITAL LETTER Q
r	36844	U+0072	LATIN SMALL LETTER R
R	82	U+0052	LATIN CAPITAL LETTER R
s	44166	U+0073	LATIN SMALL LETTER S
S	610	U+0053	LATIN CAPITAL LETTER S
t	67027	U+0074	LATIN SMALL LETTER T
T	1476	U+0054	LATIN CAPITAL LETTER T
u	16031	U+0075	LATIN SMALL LETTER U
U	1	U+0055	LATIN CAPITAL LETTER U
v	11252	U+0076	LATIN SMALL LETTER V
V	84	U+0056	LATIN CAPITAL LETTER V
w	17908	U+0077	LATIN SMALL LETTER W
W	740	U+0057	LATIN CAPITAL LETTER W
x	622	U+0078	LATIN SMALL LETTER X
y	28867	U+0079	LATIN SMALL LETTER Y
Y	304	U+0059	LATIN CAPITAL LETTER Y
z	108	U+007A	LATIN SMALL LETTER Z
Z	13	U+005A	LATIN CAPITAL LETTER Z
