Grapheme	Frequency	Codepoint	UnicodeName
 	203666	U+0020	SPACE
-	14	U+002D	HYPHEN-MINUS
,	21022	U+002C	COMMA
;	2754	U+003B	SEMICOLON
:	1	U+003A	COLON
!	263	U+0021	EXCLAMATION MARK
?	925	U+003F	QUESTION MARK
.	7088	U+002E	FULL STOP
`	538	U+0060	GRAVE ACCENT
a	43366	U+0061	LATIN SMALL LETTER A
A	4077	U+0041	LATIN CAPITAL LETTER A
b	10050	U+0062	LATIN SMALL LETTER B
B	1039	U+0042	LATIN CAPITAL LETTER B
c	13223	U+0063	LATIN SMALL LETTER C
C	770	U+0043	LATIN CAPITAL LETTER C
d	36823	U+0064	LATIN SMALL LETTER D
D	150	U+0044	LATIN CAPITAL LETTER D
e	103256	U+0065	LATIN SMALL LETTER E
E	266	U+0045	LATIN CAPITAL LETTER E
f	17619	U+0066	LATIN SMALL LETTER F
F	1090	U+0046	LATIN CAPITAL LETTER F
g	8501	U+0067	LATIN SMALL LETTER G
G	1751	U+0047	LATIN CAPITAL LETTER G
h	56206	U+0068	LATIN SMALL LETTER H
H	407	U+0048	LATIN CAPITAL LETTER H
i	51952	U+0069	LATIN SMALL LETTER I
I	436	U+0049	LATIN CAPITAL LETTER I
j	483	U+006A	LATIN SMALL LETTER J
J	1835	U+004A	LATIN CAPITAL LETTER J
k	4001	U+006B	LATIN SMALL LETTER K
K	16	U+004B	LATIN CAPITAL LETTER K
l	20719	U+006C	LATIN SMALL LETTER L
L	865	U+004C	LATIN CAPITAL LETTER L
m	17372	U+006D	LATIN SMALL LETTER M
M	386	U+004D	LATIN CAPITAL LETTER M
n	57930	U+006E	LATIN SMALL LETTER N
N	248	U+004E	LATIN CAPITAL LETTER N
o	52957	U+006F	LATIN SMALL LETTER O
O	94	U+004F	LATIN CAPITAL LETTER O
p	8006	U+0070	LATIN SMALL LETTER P
P	459	U+0050	LATIN CAPITAL LETTER P
q	89	U+0071	LATIN SMALL LETTER Q
Q	1	U+0051	LATIN CAPITAL LETTER Q
r	31718	U+0072	LATIN SMALL LETTER R
R	71	U+0052	LATIN CAPITAL LETTER R
s	42384	U+0073	LATIN SMALL LETTER S
S	558	U+0053	LATIN CAPITAL LETTER S
t	66965	U+0074	LATIN SMALL LETTER T
T	1419	U+0054	LATIN CAPITAL LETTER T
u	23187	U+0075	LATIN SMALL LETTER U
v	1727	U+0076	LATIN SMALL LETTER V
V	19	U+0056	LATIN CAPITAL LETTER V
w	15083	U+0077	LATIN SMALL LETTER W
W	669	U+0057	LATIN CAPITAL LETTER W
x	364	U+0078	LATIN SMALL LETTER X
y	19226	U+0079	LATIN SMALL LETTER Y
Y	2341	U+0059	LATIN CAPITAL LETTER Y
z	69	U+007A	LATIN SMALL LETTER Z
Z	32	U+005A	LATIN CAPITAL LETTER Z
