Grapheme	Frequency	Codepoint	UnicodeName
 	224498	U+0020	SPACE
-	327	U+002D	HYPHEN-MINUS
,	11644	U+002C	COMMA
;	2	U+003B	SEMICOLON
:	1751	U+003A	COLON
.	12491	U+002E	FULL STOP
(	4	U+0028	LEFT PARENTHESIS
)	4	U+0029	RIGHT PARENTHESIS
[	3	U+005B	LEFT SQUARE BRACKET
]	3	U+005D	RIGHT SQUARE BRACKET
0	148	U+0030	DIGIT ZERO
1	177	U+0031	DIGIT ONE
2	109	U+0032	DIGIT TWO
3	24	U+0033	DIGIT THREE
4	55	U+0034	DIGIT FOUR
5	45	U+0035	DIGIT FIVE
6	28	U+0036	DIGIT SIX
7	99	U+0037	DIGIT SEVEN
8	16	U+0038	DIGIT EIGHT
9	13	U+0039	DIGIT NINE
a	139031	U+0061	LATIN SMALL LETTER A
A	859	U+0041	LATIN CAPITAL LETTER A
á	28377	U+00E1	LATIN SMALL LETTER A WITH ACUTE
Á	479	U+00C1	LATIN CAPITAL LETTER A WITH ACUTE
e	115205	U+0065	LATIN SMALL LETTER E
E	320	U+0045	LATIN CAPITAL LETTER E
é	7817	U+00E9	LATIN SMALL LETTER E WITH ACUTE
É	9	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
g	54273	U+0067	LATIN SMALL LETTER G
G	1848	U+0047	LATIN CAPITAL LETTER G
h	17165	U+0068	LATIN SMALL LETTER H
H	363	U+0048	LATIN CAPITAL LETTER H
i	136545	U+0069	LATIN SMALL LETTER I
I	3926	U+0049	LATIN CAPITAL LETTER I
í	12921	U+00ED	LATIN SMALL LETTER I WITH ACUTE
Í	19	U+00CD	LATIN CAPITAL LETTER I WITH ACUTE
k	78741	U+006B	LATIN SMALL LETTER K
K	1025	U+004B	LATIN CAPITAL LETTER K
l	80668	U+006C	LATIN SMALL LETTER L
L	4661	U+004C	LATIN CAPITAL LETTER L
m	71492	U+006D	LATIN SMALL LETTER M
M	1032	U+004D	LATIN CAPITAL LETTER M
n	94455	U+006E	LATIN SMALL LETTER N
N	2091	U+004E	LATIN CAPITAL LETTER N
o	97177	U+006F	LATIN SMALL LETTER O
O	144	U+004F	LATIN CAPITAL LETTER O
ó	29132	U+00F3	LATIN SMALL LETTER O WITH ACUTE
Ó	2948	U+00D3	LATIN CAPITAL LETTER O WITH ACUTE
p	11043	U+0070	LATIN SMALL LETTER P
P	902	U+0050	LATIN CAPITAL LETTER P
s	19209	U+0073	LATIN SMALL LETTER S
S	825	U+0053	LATIN CAPITAL LETTER S
t	38985	U+0074	LATIN SMALL LETTER T
T	294	U+0054	LATIN CAPITAL LETTER T
u	35332	U+0075	LATIN SMALL LETTER U
U	26	U+0055	LATIN CAPITAL LETTER U
ú	9380	U+00FA	LATIN SMALL LETTER U WITH ACUTE
Ú	5	U+00DA	LATIN CAPITAL LETTER U WITH ACUTE
v	31221	U+0076	LATIN SMALL LETTER V
V	592	U+0056	LATIN CAPITAL LETTER V
w	4	U+0077	LATIN SMALL LETTER W
z	22665	U+007A	LATIN SMALL LETTER Z
Z	1144	U+005A	LATIN CAPITAL LETTER Z
