Grapheme	Frequency	Codepoint	UnicodeName
 	134465	U+0020	SPACE
-	195	U+002D	HYPHEN-MINUS
—	8	U+2014	EM DASH
,	16821	U+002C	COMMA
;	2389	U+003B	SEMICOLON
:	1674	U+003A	COLON
!	141	U+0021	EXCLAMATION MARK
?	1026	U+003F	QUESTION MARK
.	6237	U+002E	FULL STOP
'	14241	U+0027	APOSTROPHE
(	95	U+0028	LEFT PARENTHESIS
)	95	U+0029	RIGHT PARENTHESIS
a	132318	U+0061	LATIN SMALL LETTER A
A	2021	U+0041	LATIN CAPITAL LETTER A
b	39843	U+0062	LATIN SMALL LETTER B
B	767	U+0042	LATIN CAPITAL LETTER B
c	10248	U+0063	LATIN SMALL LETTER C
C	1	U+0043	LATIN CAPITAL LETTER C
d	7079	U+0064	LATIN SMALL LETTER D
D	100	U+0044	LATIN CAPITAL LETTER D
e	89712	U+0065	LATIN SMALL LETTER E
E	1170	U+0045	LATIN CAPITAL LETTER E
f	368	U+0066	LATIN SMALL LETTER F
F	87	U+0046	LATIN CAPITAL LETTER F
g	30700	U+0067	LATIN SMALL LETTER G
G	545	U+0047	LATIN CAPITAL LETTER G
h	11260	U+0068	LATIN SMALL LETTER H
H	89	U+0048	LATIN CAPITAL LETTER H
i	59887	U+0069	LATIN SMALL LETTER I
I	685	U+0049	LATIN CAPITAL LETTER I
j	53	U+006A	LATIN SMALL LETTER J
k	36716	U+006B	LATIN SMALL LETTER K
K	1476	U+004B	LATIN CAPITAL LETTER K
l	1675	U+006C	LATIN SMALL LETTER L
L	63	U+004C	LATIN CAPITAL LETTER L
m	27214	U+006D	LATIN SMALL LETTER M
M	457	U+004D	LATIN CAPITAL LETTER M
n	63586	U+006E	LATIN SMALL LETTER N
N	4185	U+004E	LATIN CAPITAL LETTER N
o	90558	U+006F	LATIN SMALL LETTER O
O	2321	U+004F	LATIN CAPITAL LETTER O
p	226	U+0070	LATIN SMALL LETTER P
P	425	U+0050	LATIN CAPITAL LETTER P
r	50476	U+0072	LATIN SMALL LETTER R
R	324	U+0052	LATIN CAPITAL LETTER R
s	21517	U+0073	LATIN SMALL LETTER S
S	301	U+0053	LATIN CAPITAL LETTER S
t	22889	U+0074	LATIN SMALL LETTER T
T	766	U+0054	LATIN CAPITAL LETTER T
u	10889	U+0075	LATIN SMALL LETTER U
U	5	U+0055	LATIN CAPITAL LETTER U
v	81	U+0076	LATIN SMALL LETTER V
w	17405	U+0077	LATIN SMALL LETTER W
y	19348	U+0079	LATIN SMALL LETTER Y
Y	1519	U+0059	LATIN CAPITAL LETTER Y
z	117	U+007A	LATIN SMALL LETTER Z
Z	52	U+005A	LATIN CAPITAL LETTER Z
