Grapheme	Frequency	Codepoint	UnicodeName
 	360678	U+0020	SPACE
 ַ	1	U+0020, U+05B7	SPACE, HEBREW POINT PATAH
[	2578	U+005B	LEFT SQUARE BRACKET
]	2578	U+005D	RIGHT SQUARE BRACKET
*	420	U+002A	ASTERISK
־	42593	U+05BE	HEBREW PUNCTUATION MAQAF
׃	23216	U+05C3	HEBREW PUNCTUATION SOF PASUQ
=	2578	U+003D	EQUALS SIGN
a	3	U+0061	LATIN SMALL LETTER A
q	2	U+0071	LATIN SMALL LETTER Q
א	24775	U+05D0	HEBREW LETTER ALEF
אְ	51	U+05D0, U+05B0	HEBREW LETTER ALEF, HEBREW POINT SHEVA
אֱ	3677	U+05D0, U+05B1	HEBREW LETTER ALEF, HEBREW POINT HATAF SEGOL
אֲ	12036	U+05D0, U+05B2	HEBREW LETTER ALEF, HEBREW POINT HATAF PATAH
אֳ	54	U+05D0, U+05B3	HEBREW LETTER ALEF, HEBREW POINT HATAF QAMATS
אִ	5370	U+05D0, U+05B4	HEBREW LETTER ALEF, HEBREW POINT HIRIQ
אֵ	9750	U+05D0, U+05B5	HEBREW LETTER ALEF, HEBREW POINT TSERE
אֶ	17256	U+05D0, U+05B6	HEBREW LETTER ALEF, HEBREW POINT SEGOL
אַ	8250	U+05D0, U+05B7	HEBREW LETTER ALEF, HEBREW POINT PATAH
אָ	8933	U+05D0, U+05B8	HEBREW LETTER ALEF, HEBREW POINT QAMATS
אֹ	5348	U+05D0, U+05B9	HEBREW LETTER ALEF, HEBREW POINT HOLAM
אֻ	548	U+05D0, U+05BB	HEBREW LETTER ALEF, HEBREW POINT QUBUTS
אּ	3	U+05D0, U+05BC	HEBREW LETTER ALEF, HEBREW POINT DAGESH OR MAPIQ
אֿ	1	U+05D0, U+05BF	HEBREW LETTER ALEF, HEBREW POINT RAFE
ב	8510	U+05D1	HEBREW LETTER BET
בְ	7451	U+05D1, U+05B0	HEBREW LETTER BET, HEBREW POINT SHEVA
בְּ	10647	U+05D1, U+05B0, U+05BC	HEBREW LETTER BET, HEBREW POINT SHEVA, HEBREW POINT DAGESH OR MAPIQ
בֱ	1	U+05D1, U+05B1	HEBREW LETTER BET, HEBREW POINT HATAF SEGOL
בֲ	1	U+05D1, U+05B2	HEBREW LETTER BET, HEBREW POINT HATAF PATAH
בֲּ	1	U+05D1, U+05B2, U+05BC	HEBREW LETTER BET, HEBREW POINT HATAF PATAH, HEBREW POINT DAGESH OR MAPIQ
בֳ	1	U+05D1, U+05B3	HEBREW LETTER BET, HEBREW POINT HATAF QAMATS
בֳּ	18	U+05D1, U+05B3, U+05BC	HEBREW LETTER BET, HEBREW POINT HATAF QAMATS, HEBREW POINT DAGESH OR MAPIQ
בִ	4117	U+05D1, U+05B4	HEBREW LETTER BET, HEBREW POINT HIRIQ
בִּ	2488	U+05D1, U+05B4, U+05BC	HEBREW LETTER BET, HEBREW POINT HIRIQ, HEBREW POINT DAGESH OR MAPIQ
בֵ	2263	U+05D1, U+05B5	HEBREW LETTER BET, HEBREW POINT TSERE
בֵּ	2848	U+05D1, U+05B5, U+05BC	HEBREW LETTER BET, HEBREW POINT TSERE, HEBREW POINT DAGESH OR MAPIQ
בֶ	2066	U+05D1, U+05B6	HEBREW LETTER BET, HEBREW POINT SEGOL
בֶּ	1967	U+05D1, U+05B6, U+05BC	HEBREW LETTER BET, HEBREW POINT SEGOL, HEBREW POINT DAGESH OR MAPIQ
בַ	2929	U+05D1, U+05B7	HEBREW LETTER BET, HEBREW POINT PATAH
בַּ	4722	U+05D1, U+05B7, U+05BC	HEBREW LETTER BET, HEBREW POINT PATAH, HEBREW POINT DAGESH OR MAPIQ
בָ	5348	U+05D1, U+05B8	HEBREW LETTER BET, HEBREW POINT QAMATS
בָּ	4672	U+05D1, U+05B8, U+05BC	HEBREW LETTER BET, HEBREW POINT QAMATS, HEBREW POINT DAGESH OR MAPIQ
בֹ	3559	U+05D1, U+05B9	HEBREW LETTER BET, HEBREW POINT HOLAM
בֹּ	1506	U+05D1, U+05B9, U+05BC	HEBREW LETTER BET, HEBREW POINT HOLAM, HEBREW POINT DAGESH OR MAPIQ
בֻ	205	U+05D1, U+05BB	HEBREW LETTER BET, HEBREW POINT QUBUTS
בֻּ	31	U+05D1, U+05BB, U+05BC	HEBREW LETTER BET, HEBREW POINT QUBUTS, HEBREW POINT DAGESH OR MAPIQ
בּ	152	U+05D1, U+05BC	HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ
בְּ	2	U+05D1, U+05BC, U+05B0	HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT SHEVA
בִּ	1	U+05D1, U+05BC, U+05B4	HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT HIRIQ
בֵּ	1	U+05D1, U+05BC, U+05B5	HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT TSERE
בֶּ	7	U+05D1, U+05BC, U+05B6	HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT SEGOL
בַּ	5	U+05D1, U+05BC, U+05B7	HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT PATAH
בָּ	5	U+05D1, U+05BC, U+05B8	HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT QAMATS
ג	619	U+05D2	HEBREW LETTER GIMEL
גְ	1528	U+05D2, U+05B0	HEBREW LETTER GIMEL, HEBREW POINT SHEVA
גְּ	898	U+05D2, U+05B0, U+05BC	HEBREW LETTER GIMEL, HEBREW POINT SHEVA, HEBREW POINT DAGESH OR MAPIQ
גֱּ	1	U+05D2, U+05B1, U+05BC	HEBREW LETTER GIMEL, HEBREW POINT HATAF SEGOL, HEBREW POINT DAGESH OR MAPIQ
גֲ	3	U+05D2, U+05B2	HEBREW LETTER GIMEL, HEBREW POINT HATAF PATAH
גֳּ	2	U+05D2, U+05B3, U+05BC	HEBREW LETTER GIMEL, HEBREW POINT HATAF QAMATS, HEBREW POINT DAGESH OR MAPIQ
גִ	425	U+05D2, U+05B4	HEBREW LETTER GIMEL, HEBREW POINT HIRIQ
גִּ	969	U+05D2, U+05B4, U+05BC	HEBREW LETTER GIMEL, HEBREW POINT HIRIQ, HEBREW POINT DAGESH OR MAPIQ
גֵ	268	U+05D2, U+05B5	HEBREW LETTER GIMEL, HEBREW POINT TSERE
גֵּ	328	U+05D2, U+05B5, U+05BC	HEBREW LETTER GIMEL, HEBREW POINT TSERE, HEBREW POINT DAGESH OR MAPIQ
גֶ	412	U+05D2, U+05B6	HEBREW LETTER GIMEL, HEBREW POINT SEGOL
גֶּ	195	U+05D2, U+05B6, U+05BC	HEBREW LETTER GIMEL, HEBREW POINT SEGOL, HEBREW POINT DAGESH OR MAPIQ
גַ	778	U+05D2, U+05B7	HEBREW LETTER GIMEL, HEBREW POINT PATAH
