Grapheme	Frequency	Codepoint	UnicodeName
 	1105574	U+0020	SPACE
 	3	U+202F	NARROW NO-BREAK SPACE
-	299	U+002D	HYPHEN-MINUS
—	112	U+2014	EM DASH
,	95364	U+002C	COMMA
:	1994	U+003A	COLON
!	1251	U+0021	EXCLAMATION MARK
?	3539	U+003F	QUESTION MARK
.	51497	U+002E	FULL STOP
‘	1374	U+2018	LEFT SINGLE QUOTATION MARK
’	1314	U+2019	RIGHT SINGLE QUOTATION MARK
“	8797	U+201C	LEFT DOUBLE QUOTATION MARK
”	6286	U+201D	RIGHT DOUBLE QUOTATION MARK
(	60	U+0028	LEFT PARENTHESIS
)	60	U+0029	RIGHT PARENTHESIS
{	4	U+007B	LEFT CURLY BRACKET
}	4	U+007D	RIGHT CURLY BRACKET
/	2	U+002F	SOLIDUS
0	2682	U+0030	DIGIT ZERO
1	1106	U+0031	DIGIT ONE
2	836	U+0032	DIGIT TWO
3	447	U+0033	DIGIT THREE
4	701	U+0034	DIGIT FOUR
5	593	U+0035	DIGIT FIVE
6	363	U+0036	DIGIT SIX
7	706	U+0037	DIGIT SEVEN
8	207	U+0038	DIGIT EIGHT
9	134	U+0039	DIGIT NINE
a	1100601	U+0061	LATIN SMALL LETTER A
A	6457	U+0041	LATIN CAPITAL LETTER A
b	145457	U+0062	LATIN SMALL LETTER B
B	9237	U+0042	LATIN CAPITAL LETTER B
d	261823	U+0064	LATIN SMALL LETTER D
D	12460	U+0044	LATIN CAPITAL LETTER D
e	381818	U+0065	LATIN SMALL LETTER E
E	4159	U+0045	LATIN CAPITAL LETTER E
f	250	U+0066	LATIN SMALL LETTER F
F	454	U+0046	LATIN CAPITAL LETTER F
g	79289	U+0067	LATIN SMALL LETTER G
G	2270	U+0047	LATIN CAPITAL LETTER G
h	115548	U+0068	LATIN SMALL LETTER H
H	5039	U+0048	LATIN CAPITAL LETTER H
i	599939	U+0069	LATIN SMALL LETTER I
I	22518	U+0049	LATIN CAPITAL LETTER I
k	103907	U+006B	LATIN SMALL LETTER K
K	3970	U+004B	LATIN CAPITAL LETTER K
l	95952	U+006C	LATIN SMALL LETTER L
L	14464	U+004C	LATIN CAPITAL LETTER L
m	128419	U+006D	LATIN SMALL LETTER M
M	5489	U+004D	LATIN CAPITAL LETTER M
n	341276	U+006E	LATIN SMALL LETTER N
N	2085	U+004E	LATIN CAPITAL LETTER N
o	293283	U+006F	LATIN SMALL LETTER O
O	3418	U+004F	LATIN CAPITAL LETTER O
p	8296	U+0070	LATIN SMALL LETTER P
P	2039	U+0050	LATIN CAPITAL LETTER P
r	132564	U+0072	LATIN SMALL LETTER R
R	1130	U+0052	LATIN CAPITAL LETTER R
s	89608	U+0073	LATIN SMALL LETTER S
S	5910	U+0053	LATIN CAPITAL LETTER S
t	104191	U+0074	LATIN SMALL LETTER T
T	7377	U+0054	LATIN CAPITAL LETTER T
u	252709	U+0075	LATIN SMALL LETTER U
U	7676	U+0055	LATIN CAPITAL LETTER U
v	42742	U+0076	LATIN SMALL LETTER V
V	4616	U+0056	LATIN CAPITAL LETTER V
w	13544	U+0077	LATIN SMALL LETTER W
W	1	U+0057	LATIN CAPITAL LETTER W
x	3	U+0078	LATIN SMALL LETTER X
