Grapheme	Frequency	Codepoint	UnicodeName
 	234165	U+0020	SPACE
-	8	U+002D	HYPHEN-MINUS
—	3	U+2014	EM DASH
,	17143	U+002C	COMMA
;	747	U+003B	SEMICOLON
:	2359	U+003A	COLON
!	2082	U+0021	EXCLAMATION MARK
?	1081	U+003F	QUESTION MARK
.	8845	U+002E	FULL STOP
…	35	U+2026	HORIZONTAL ELLIPSIS
'	3	U+0027	APOSTROPHE
‘	1	U+2018	LEFT SINGLE QUOTATION MARK
’	2513	U+2019	RIGHT SINGLE QUOTATION MARK
“	379	U+201C	LEFT DOUBLE QUOTATION MARK
”	376	U+201D	RIGHT DOUBLE QUOTATION MARK
«	2257	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	2240	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	205	U+0028	LEFT PARENTHESIS
)	209	U+0029	RIGHT PARENTHESIS
0	30	U+0030	DIGIT ZERO
1	9	U+0031	DIGIT ONE
2	7	U+0032	DIGIT TWO
3	2	U+0033	DIGIT THREE
4	5	U+0034	DIGIT FOUR
5	6	U+0035	DIGIT FIVE
6	7	U+0036	DIGIT SIX
7	1	U+0037	DIGIT SEVEN
8	2	U+0038	DIGIT EIGHT
9	1	U+0039	DIGIT NINE
a	94076	U+0061	LATIN SMALL LETTER A
A	1606	U+0041	LATIN CAPITAL LETTER A
à	2549	U+00E0	LATIN SMALL LETTER A WITH GRAVE
À	17	U+00C0	LATIN CAPITAL LETTER A WITH GRAVE
b	7174	U+0062	LATIN SMALL LETTER B
B	342	U+0042	LATIN CAPITAL LETTER B
c	41620	U+0063	LATIN SMALL LETTER C
C	2106	U+0043	LATIN CAPITAL LETTER C
d	34966	U+0064	LATIN SMALL LETTER D
D	2842	U+0044	LATIN CAPITAL LETTER D
e	111097	U+0065	LATIN SMALL LETTER E
E	1526	U+0045	LATIN CAPITAL LETTER E
é	2019	U+00E9	LATIN SMALL LETTER E WITH ACUTE
è	2369	U+00E8	LATIN SMALL LETTER E WITH GRAVE
È	190	U+00C8	LATIN CAPITAL LETTER E WITH GRAVE
f	9154	U+0066	LATIN SMALL LETTER F
F	581	U+0046	LATIN CAPITAL LETTER F
g	16155	U+0067	LATIN SMALL LETTER G
G	3090	U+0047	LATIN CAPITAL LETTER G
h	13558	U+0068	LATIN SMALL LETTER H
H	86	U+0048	LATIN CAPITAL LETTER H
i	100405	U+0069	LATIN SMALL LETTER I
I	1386	U+0049	LATIN CAPITAL LETTER I
ì	1141	U+00EC	LATIN SMALL LETTER I WITH GRAVE
J	1	U+004A	LATIN CAPITAL LETTER J
k	26	U+006B	LATIN SMALL LETTER K
K	3	U+004B	LATIN CAPITAL LETTER K
l	50421	U+006C	LATIN SMALL LETTER L
L	684	U+004C	LATIN CAPITAL LETTER L
m	22161	U+006D	LATIN SMALL LETTER M
M	1567	U+004D	LATIN CAPITAL LETTER M
n	61053	U+006E	LATIN SMALL LETTER N
N	891	U+004E	LATIN CAPITAL LETTER N
o	95321	U+006F	LATIN SMALL LETTER O
O	242	U+004F	LATIN CAPITAL LETTER O
ó	2	U+00F3	LATIN SMALL LETTER O WITH ACUTE
ò	3315	U+00F2	LATIN SMALL LETTER O WITH GRAVE
p	26105	U+0070	LATIN SMALL LETTER P
P	2373	U+0050	LATIN CAPITAL LETTER P
q	4901	U+0071	LATIN SMALL LETTER Q
Q	844	U+0051	LATIN CAPITAL LETTER Q
r	62979	U+0072	LATIN SMALL LETTER R
R	333	U+0052	LATIN CAPITAL LETTER R
s	47904	U+0073	LATIN SMALL LETTER S
S	3110	U+0053	LATIN CAPITAL LETTER S
t	56669	U+0074	LATIN SMALL LETTER T
T	483	U+0054	LATIN CAPITAL LETTER T
u	27416	U+0075	LATIN SMALL LETTER U
U	271	U+0055	LATIN CAPITAL LETTER U
ù	2636	U+00F9	LATIN SMALL LETTER U WITH GRAVE
v	19169	U+0076	LATIN SMALL LETTER V
V	576	U+0056	LATIN CAPITAL LETTER V
x	2	U+0078	LATIN SMALL LETTER X
z	4921	U+007A	LATIN SMALL LETTER Z
Z	59	U+005A	LATIN CAPITAL LETTER Z
ʼ	499	U+02BC	MODIFIER LETTER APOSTROPHE
