!	1111
'	2
(	112
)	112
+	43
,	11766
-	47
.	7217
:	2573
;	1290
?	1311
A	500
AA	5
AAkken	2
AAmek	1
AAnagar	1
AArgaz	1
AArgaz-nni	1
AAtan	2
AAtmaten-is	1
AAxaṭer	3
AAț-ținim	1
Ababat	1
Abadun	1
Abalis	1
Abba	1
Aberkan	1
Abihud	2
Abilan	1
Abiya	2
Abrid	2
Abulunis	1
Abulus	10
Abulyun	1
Abya	2
Abyaṭar	1
Abyus	1
Abṛaḥ	1
Acdud	1
Acimi	4
Acu	22
Acuɣer	16
Acuɣeṛ	45
Acḥal	31
Ad	87
Adam	2
Addi	1
Adem	12
Aderɣal	1
Aderɣal-nni	3
Admin	1
Adramit	1
Adrum-nni	1
Adɣaɣ	1
Adɣaɣ-nni	2
Afarizi	2
Afarizi-nni	2
Afellaḥ	1
Afellaḥ-nni	1
Afesyan-nni	2
Agabus	2
Agat	1
Agdud	2
Ageffur	1
Agellid	16
Agellid-nni	5
Agellid-nsen	1
Aggadet	1
Aggur	1
Agrakal	1
Ah	1
Ahat	12
Ajelkkiḍ-is	1
Ajerred-agi	1
Ajṛad-nni	1
Akal	2
Akaya	8
Akersi-nni	1
Akilas	8
Akk-d	1
Akka	43
Akkagi	1
Akken	125
Akkenni	1
Aklan	1
Akniw	3
Ala	4
Alexandrus	1
Ali-d	1
Alit-ed	1
Alixandru	4
Allen	1
Allen-is	1
Am	23
Ama	4
Amakar	1
Aman-agi	2
Amarezg	7
Amarezg-ik	1
Amarezg-nsen	1
Amarezg-nwen	6
Amasseɛd	1
Amawes	1
Ambliyatus	1
Amcum-agi	1
Amdakkel-is	1
Amdan	10
Amdan-agi	1
Amdebbar	3
Amdebbeṛ	1
Amek	53
Amekkas-nni	1
Ameksa	2
Amen	2
Amenzu	1
Ameqqran	5
Amesbaṭli	1
Amezwaru	4
Ameṛkanti-nni	3
Ameẓyan	1
Amin	24
Amitist	1
Amkan	1
Amkan-agi	2
Amnet	1
Amnet-iyi	1
Amsellek	2
Amsellek-nneɣ	1
Amur	3
Amusnaw	1
Amuḍin-nni	1
Amɛellem	2
Amɛellem-is	4
Amɛellem-nni	1
Amɛiwen	2
Anagar	8
Ananyas	13
Anaɣ	3
Anaṣari	7
Anda	15
Anda-t	5
Anda-ț	1
Andriyus	13
Andrunikus	1
Anef	1
Aneft-as	1
Anejmaɛ-nni	1
Anelmad-agi	3
Anelmad-nni	4
Aneɣlaf-nni	4
Anfet	1
Anfet-as	3
Anfet-asen	4
Anfibulis	1
Anida-t	1
Anisa	1
Annect-a	1
Annect-agi	2
Ansi	15
Anta	4
Antibas	2
Antibatris	1
Antifas	1
Antyuc	23
Anwa	68
Anwa-k	7
Anwa-t	6
Anwa-ten	3
Anwi	3
Anzet	2
Anɛam	3
Aqcic-nni	6
Aqeddac	3
Aqeddac-agi	1
