!	450
(	131
)	131
,	13732
.	12673
1,000	2
1,260	2
1,500	1
10,000	3
100	8
12,000	1
120	2
144,000	2
153	1
2,000	1
200	3
200,000,000	1
216	1
23,000	1
276	1
3,000	1
4,000	3
400	2
430	1
450	1
5,000	5
50,000	1
500	1
666	1
7,000	2
:	265
;	122
?	844
A	970
ASHEKU	1
AZA	4
Abadon	1
Abafara	3
Abafuradita	2
Abainita	1
Abali	1
Abaruma	1
Abebe	1
Abihuda	2
Abija	3
Abiki	50
Abiliya	1
Abiyata	1
Acimbi	1
Acirani	1
Adama	340
Adan	1
Adaramitiya	1
Ada̱ga̱ri	2
Ada̱mu	18
Adele	1
Adeshikpetsu	1
Adi	2
Adooki	1
Afaka̱sha	2
Afarishi	93
Afiniki	1
Afisu	20
Afodiya	2
Afoɓi	7
Agaba	2
Agadu	1
Agaripa	15
Aga̱ta̱	16
Agbagala	1
Agbashi	7
Agisani	1
Aguma̱	1
Agusta	1
Ahali	1
Ahazu	2
Aje	21
Aka	12
Akaiku	1
Akaladama	1
Akan	1
Akani	8
Akataya	10
Akawunki	2
Akaya	1
Aka̱ni	1
Akere	2
Akila	8
Akilayu	1
Akimu	2
Akina	6
Akiɗi	1
Akoni	1
Akpakpa	1
Akpati	5
Aku	808
Akushe	6
Alabari	2
Aladi	5
Alani	1
Ala̱pa̱nsi	1
Aletsu	2
Alfa	3
Alimasu	3
Aliniki	3
Alisabatu	10
Aliyuda	2
Alizanda	5
Alizandariya	4
Alobo	3
Alu	1
Alumadama	2
Alya	26
Ama	372
Amangarenkupa	3
Ameli	1
Ami	27
Amihipali	1
Aminadabu	4
Aminya	4
Amo	2
Amoci	3
Ampiliya	1
An	817
Ananiya	10
Ana̱na̱	1
Andaraniku	1
Andurawu	14
Antakiya	26
Antiba	8
Antipatari	1
Anuhu	5
Apara	1
Apashi	2
Apiyu	1
Apoliyo	1
Apolo	11
Apoloni	1
Ara	19
Arabi	3
Aram	4
Arasa	1
Aratsu	1
Ara̱magado	1
Ara̱ɗi	4
Arevi	1
Arikibu	2
Arimatiya	4
Aristaraku	5
Aristobulu	1
Arita	1
Aritima	5
Arumba̱	5
Asa	2
Asaun	1
Asa̱baniya	2
Ashamkpatsu	1
Ashekapige	5
Asheku	521
Asheshi	33
Ashibi	63
Ashiru	2
Asinikirita	1
Asiya	20
Asoi	2
Asoje	13
Asomini	1
Asu	49
Asuki	8
Asusu	2
Asuvayali	1
Asuvu	14
Atakasuvu	6
Ataku	2
Atala	4
Atali	1
Ataliya	1
Atani	1
Atigi	1
Atima	1
Atina	6
Atoku	18
Atokulalu	3
Atoni	312
Atsumate	7
Avana	1
Ava̱su	1
Avu	72
Awauwi	1
Awenishiki	9
Awubulu	1
Awufiya	1
Awulawa	127
Awunu	1
Awushi	3
Aya	92
Ayain	1
Ayen	5
Ayino	2
Ayuba	1
Ayuwi	1
Aza	249
Azakuwa	5
Azapige	15
Azariya	2
Azatu	1
Azuro	2
Azurufa	1
Aɓa̱ngi	2
Aɗa	33
Aɗara̱kpi	85
A̱sa̱ka̱	73
A̱sa̱ka̱i	20
A̱sa̱nka̱	1
A̱tsa	14
A̱tsu	31
A̱ɗa̱	1
Aꞌa	19
Aꞌaci	3
Aꞌali	6
Aꞌangu	1
Aꞌatsu	2
Aꞌayin	261
Aꞌaɗya	1
Aꞌa̱	15
Aꞌa̱ri	41
Aꞌeli	1
Aꞌene	2
Aꞌeshi	8
Aꞌulu	1
Aꞌunu	1
Aꞌuwa	4
Ba	1
Babila	19
Balaku	2
Balaꞌam	5
Bamafiliya	5
Bamu	3
Bana	2
Banai	3
Banka	2
Bara-Yesu	2
Baraba	12
Baraku	1
Baramina	1
Baranisi	3
Bara̱naba	39
Bara̱saba	2
Bara̱sisa	1
Barikiya	1
Batalamawu	4
Batalami	9
Batani	13
Batimawu	1
Baturoba	1
Bawu	1
Bayami	4
Ba̱ra̱kpa̱	2
Ba̱tsa̱i	1
Baꞌalu	1
Baꞌalzabu	7
Besaida	7
Betafaji	3
Beteshaba	1
Betesida	1
Beyu	1
Bidya	5
Bidyai	1
Bilasutu	1
Bilatu	59
Bilikisu	7
Birigama	2
Biriya	3
Bisidiya	3
Bitiniya	2
Bituru	190
Bontu	3
Boza	4
Budi	1
Bulus	217
Burukoro	1
Burundu	1
Buwanaji	1
Caupa	31
Ciga	17
Cigai	2
Cigamgbanai	1
Cikpai	2
Cikpala	1
Cikpalai	7
Cimbusuka̱	2
Cimbusuka̱i	1
Cina	4
Cinda	5
Cipa̱	2
Cira̱ngi	1
Ciɓa	3
Ciɓai	21
Ciɓuga	2
Ciɗa̱ngu	1
Cuku	1
Dalmanuta	1
Dalumatiya	1
Damamgbanai	2
Damamgbana̱sai	1
Damari	1
Damasuka	17
Dambulai	1
Dana	20
Dana̱sai	19
Dana̱sa̱ka	4
Daniyan	1
Dansa	2
Dansai	1
Daraba	5
Dara̱ka	1
Dawuda	71
Da̱n	1
Denge	1
Dengei	1
Dere	10
Derere	2
Dikafoli	3
Dima	3
Dimitiriyu	3
Diyonisiyu	1
Diyotarifa	1
Dokas	2
Doku	1
Durusila	1
Dusuki	2
Dusuku	4
EYI	1
Eba	2
Elam	1
Ele	27
Elisha	1
Eliyakim	4
Eliyaza	2
Eloyi	4
Emos	2
Enos	2
Epikuriya	1
Erasutu	3
Evu	4
Eye	13
Eyi	51
Eɗa	20
Eɗa̱	123
Fanuyila	1
Fara̱tunata	1
Farisa	4
Fele	2
Feli	10
Fesutu	15
Fibi	1
Fijala	1
Filadalifiya	2
Filibi	8
Filibu	32
Filiguna	1
Filimo	2
Filita	1
Filologus	1
Finikiya	2
Finisiya	3
Firijiya	3
Firiꞌauna	3
Folo	1
Foloi	1
Foɓusuko	2
Foɗo	1
Funi	1
Fuɗa	1
Gaawan	16
Gabako	1
Gabata	1
Gadu	1
Galatiya	8
Galili	81
Galiya	3
Gamaliya	2
Garasa	4
Gayu	5
Gaza	1
Gaɗi	1
Gbamai	2
Gbamatangi	1
Gbamatangu	1
Gbani	3
Gba̱	222
Gerizim	1
Getisimani	2
Gidiyo	1
Gindala̱kpai	1
Gita̱	3
Gita̱i	2
Gogo‑na	137
Gogo‑na-na	1
Gogu	2
Golugota	3
Gomora	4
Gomuna	8
Gono	1
Gonuko	4
Gonukoi	1
Gorimukoi	1
Habasha	2
Habila	5
Hajara	1
Hal	47
Halfa	5
Hama	1
Hamajana	1
Hamanaya	2
Hamisa	2
Hamo	1
Hanana	4
Hanatu	1
Haran	2
Haruna	5
Hasa̱li	2
Hawa	2
Hazikaya	2
Heli	2
Heline	10
Hesuruna	4
Hirafoli	1
Hiridiya	8
Hiridiyon	1
Hiridu	41
Hosana	6
Hosiya	2
I	319
ISHEKU	1
Ibirahi	116
Iburodi	5
Icikpali	1
Icun	39
Idani	1
Idumiya	1
Idyani	1
Ifata	1
Ifuramu	1
Ijan	1
Ikali	1
Ikani	1
Ikanikorongi	1
Ikaniya	6
Ikebe	3
Ikorongi	1
Ikuna	1
Ikunesavu	1
Ikyamba	14
Ili	230
Ilikulya	18
Ilimaci	1
Ilirikun	1
Iliya	28
Iliyazara	2
Ilya	1
Ilyuci	9
Ilyukoi	1
Imanuwe	1
Imawu	1
Iniyasu	2
Inusa	10
Ipeli	2
Ire	1
Iri	2
Irimiya	3
Iryanji	2
Iryoci	4
Isaka	1
Isaraꞌila	90
Isa̱	4
Isa̱taki	1
Ishaku	26
Ishaya	22
Isheku	8
Ishipa	5
Isikariyoti	12
Isitifanu	14
Ismaꞌilu	1
Isuhu	51
Isuwa	5
Itagara̱da	2
Italiya	6
Itsutsu	3
Ituriya	1
Ityoni	16
Iwauwi	3
Iwoto	1
Iwunja	1
Iwunukatsu	1
Iyamba	7
Iyan	1
Iyen	1
Iyolo	1
Iꞌa̱	17
Iꞌa̱ri	3
Iꞌya	12
Jafita	1
Jakoniya	2
Jambure	2
Janisara	2
Japa	10
Jare	2
Jayiru	4
Jeriko	6
Jezebe	1
Jiburaꞌilu	2
Johoshafa	2
Joram	2
Josaya	2
Joshuwa	3
Jotam	2
Juliya	1
Juliyo	3
Juniya	1
Juwelu	1
Ka	12
Kaara	15
Kabala	1
Kabelu	1
Kabirika	1
Kaboki	1
Kabu	1
Kaci	13
Kacimbi	3
Kacirani	1
Kadan	1
Kadele	2
Kadin	5
Kadyanshi	158
Kafalaka	3
Kafarishi	13
Kafarnahum	17
Kafofu	2
Kafuɗa	1
Kagali	1
Kagata	1
Kagbashi	13
Kagita̱	5
Kahu	11
Kain	121
Kaisa	28
Kaje	11
Kajene	1
Kakuma̱	22
Kakundatsu	2
Kakushe	1
Kala	11
Kaladiyu	3
Kalangu	1
Kalaudiya	1
Kala̱ga̱tsu	7
Kala̱pa̱nsi	51
Kaldiya	1
Kalen	5
Kaletsu	3
Kaliniki	5
Kalobo	8
Kalyai	2
Kalyuɓugi	19
Kamai	2
Kambulu	1
Kami	1
Kanan	4
Kananamgbani	6
Kanangasi	45
Kana̱ki	1
Kandakatu	1
Kaneki	2
Kankiriya	2
Kapa	1
Kapadosiya	2
Kapashi	5
Kapusa	1
Karara	1
Karasa̱ka	1
Karatsu	1
Kara̱ra̱	1
Karevi	1
Karotsongishi	2
Karumba̱	3
Kasaga	2
Kasana	1
Kasariya	20
Kasasu	1
Kasata	1
Kasaun	1
Kashei	1
Kashila̱	2924
Kashina	2
Kasoje	3
Kasomini	1
