Grapheme	Frequency	Codepoint	UnicodeName
း	166786	U+1038	MYANMAR SIGN VISARGA
 	254733	U+0020	SPACE
 ္	1	U+0020, U+1039	SPACE, MYANMAR SIGN VIRAMA
-	1179	U+002D	HYPHEN-MINUS
,	79622	U+002C	COMMA
.	43018	U+002E	FULL STOP
၊	5	U+104A	MYANMAR SIGN LITTLE SECTION
‘	1	U+2018	LEFT SINGLE QUOTATION MARK
’	1	U+2019	RIGHT SINGLE QUOTATION MARK
(	37	U+0028	LEFT PARENTHESIS
)	40	U+0029	RIGHT PARENTHESIS
*	105	U+002A	ASTERISK
၀	8	U+1040	MYANMAR DIGIT ZERO
၁	28	U+1041	MYANMAR DIGIT ONE
၂	21	U+1042	MYANMAR DIGIT TWO
၃	11	U+1043	MYANMAR DIGIT THREE
၄	15	U+1044	MYANMAR DIGIT FOUR
၅	5	U+1045	MYANMAR DIGIT FIVE
၆	8	U+1046	MYANMAR DIGIT SIX
၇	1	U+1047	MYANMAR DIGIT SEVEN
၈	11	U+1048	MYANMAR DIGIT EIGHT
၉	5	U+1049	MYANMAR DIGIT NINE
က	49905	U+1000	MYANMAR LETTER KA
ကံ	1756	U+1000, U+1036	MYANMAR LETTER KA, MYANMAR SIGN ANUSVARA
က့	12048	U+1000, U+1037	MYANMAR LETTER KA, MYANMAR SIGN DOT BELOW
ကျ	3163	U+1000, U+103B	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA
ကျံ	16	U+1000, U+103B, U+1036	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR SIGN ANUSVARA
ကျ့	82	U+1000, U+103B, U+1037	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR SIGN DOT BELOW
ကျိ	1020	U+1000, U+103B, U+102D	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I
ကျီ	446	U+1000, U+103B, U+102E	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN II
ကျု	3	U+1000, U+103B, U+102F	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN U
ကျူ	10	U+1000, U+103B, U+1030	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN UU
ကျဲ	1399	U+1000, U+103B, U+1032	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN AI
ကြ	109	U+1000, U+103C	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA
ကြံ	23	U+1000, U+103C, U+1036	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR SIGN ANUSVARA
ကြ့	6	U+1000, U+103C, U+1037	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR SIGN DOT BELOW
ကြိ	26	U+1000, U+103C, U+102D	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN I
ကြီ	25	U+1000, U+103C, U+102E	MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN II
