!	155
(	202
)	200
,	20661
-	69
.	6934
11Ka	1
3	1
:	192
;	3599
?	1029
A	360
Abaddona	1
Abba	3
Abela	4
Abia	1
Abian	1
Abiathara	1
Abija	1
Abilene	1
Abiuda	1
Abiudan	1
Abraham	3
Abrahama	66
Abrahaman	7
Adama	9
Adama-ah	1
Addia	1
Adramutteno	1
Adria	1
Agaba	2
Agripp	4
Agrippa	6
Agrippan	1
Ahaza	1
Ahazan	1
Aigupta	28
Aigupta-hovin	1
Ainia	3
Ainon-ah	1
Akaia	10
Akaika	1
Akeldama	1
Akima	1
Akiman	1
Akuila	6
Aleksandra	5
Aleksandria	4
Alexandra	1
Alpha	3
Alphaia	5
Ama	15
Amah	32
Amahah	10
Amaherawhchu	65
Aman	2
Amen	31
Aminadaba	2
Aminadaban	1
Amona	1
Amonan	1
Amosa	1
Amphipoli	1
Amplia	1
An	113
Ana	4
Anani	2
Anania	10
Andria	13
Andronika	1
Ani	128
Anin	4
Anmahni	8
Anmahniah	2
Anni	41
Anniho	1
Annin	3
Antiokei	19
Antipa	1
Antipatri	1
Anṭam	3
Apellia	1
Aphi	1
Apollonia	1
Apollova	8
Apollovan	2
Apolluona	1
Appia	1
Ar	1
Arab	1
Arabia	2
Arama	2
Araman	1
Areopagi	1
Areopagi-a	1
Areopagi-ah	1
Areta	1
Arimathai	3
Arimathai-a	1
Aristarka	5
Aristobula	1
Arkelausa	1
Arkippa	2
Arona	5
Arpaksada	1
Arpuiin	1
Arsi	1
Artema	1
Asa	1
Asan	1
Asera	2
Asia	21
Asso	2
Asunkrita	1
Atheni	6
Attalia	1
Augusta	1
Augustan	1
Aw	32
Awhna	1
Awm	5
Awt	1
Awze	1
Azora	1
Azoran	1
Azota	1
Baala	1
Babulon	12
Balaama	3
Balaka	1
Baptistu	14
Bar-jona	1
Barabba	11
Baraka	1
Barisua	2
Barli	1
Barnaba	27
Barnaban	3
Barsaba	1
Barsabba	1
Bartholomaia	4
Bartimaia	1
Bawhchhepa	3
Bawhchhiatna	2
Bawih	16
Bawiha	2
Bawihnu	1
Bawihte	3
Bawkkhupin	1
Bawlhhlawh	1
Beelzebula	7
Beiseina	2
Beiseinain	1
Beliara	1
Bellei	1
Beng	4
Benjamin	3
Benjamina	1
Ber	1
Berekia	1
Berniki	3
Beroia	3
Berâm	7
Berâmno	30
Bethani	9
Bethani-a	1
Bethani-ah	2
Bethesda	1
Bethlehem	8
Bethphage	3
Bethsaida	7
Biak	1
Biakbûk	1
Bial	1
Biang	1
Bithunia	2
Blasta	1
Boanergea	1
Boaza	2
Boazan	1
Boral	1
Boralte	1
Boruaka	1
Bosora	1
Bu	2
Bua	5
Buah	2
Buahte	1
Buatsaih	1
Buh	8
Bul	2
Bulpui	1
Bum	1
Bumin	3
Bumtu	1
Bâwih	1
Bâwm	1
Bâwngpate	1
Bêlvawtu	2
Bêrâmno	1
Chak	1
Chakna	1
Chanchin	126
Chang	1
Chapo	1
Chatuana	3
Chatuanin	4
Chaw	8
Chawimawi	1
Chawlhkâr	1
