Grapheme	Frequency	Codepoint	UnicodeName
 	316903	U+0020	SPACE
-	2	U+002D	HYPHEN-MINUS
—	28	U+2014	EM DASH
,	12722	U+002C	COMMA
;	92	U+003B	SEMICOLON
:	280	U+003A	COLON
!	318	U+0021	EXCLAMATION MARK
?	872	U+003F	QUESTION MARK
.	14553	U+002E	FULL STOP
'	844	U+0027	APOSTROPHE
‘	427	U+2018	LEFT SINGLE QUOTATION MARK
’	427	U+2019	RIGHT SINGLE QUOTATION MARK
“	2324	U+201C	LEFT DOUBLE QUOTATION MARK
”	1949	U+201D	RIGHT DOUBLE QUOTATION MARK
(	75	U+0028	LEFT PARENTHESIS
)	75	U+0029	RIGHT PARENTHESIS
0	146	U+0030	DIGIT ZERO
1	24	U+0031	DIGIT ONE
2	16	U+0032	DIGIT TWO
3	9	U+0033	DIGIT THREE
4	19	U+0034	DIGIT FOUR
5	15	U+0035	DIGIT FIVE
6	9	U+0036	DIGIT SIX
7	7	U+0037	DIGIT SEVEN
8	3	U+0038	DIGIT EIGHT
9	9	U+0039	DIGIT NINE
a	308415	U+0061	LATIN SMALL LETTER A
A	3342	U+0041	LATIN CAPITAL LETTER A
b	16455	U+0062	LATIN SMALL LETTER B
B	3856	U+0042	LATIN CAPITAL LETTER B
e	119539	U+0065	LATIN SMALL LETTER E
E	482	U+0045	LATIN CAPITAL LETTER E
g	85972	U+0067	LATIN SMALL LETTER G
G	264	U+0047	LATIN CAPITAL LETTER G
i	72606	U+0069	LATIN SMALL LETTER I
I	5309	U+0049	LATIN CAPITAL LETTER I
k	76478	U+006B	LATIN SMALL LETTER K
K	4953	U+004B	LATIN CAPITAL LETTER K
l	67930	U+006C	LATIN SMALL LETTER L
L	317	U+004C	LATIN CAPITAL LETTER L
m	56727	U+006D	LATIN SMALL LETTER M
M	2298	U+004D	LATIN CAPITAL LETTER M
n	128131	U+006E	LATIN SMALL LETTER N
N	8024	U+004E	LATIN CAPITAL LETTER N
o	60159	U+006F	LATIN SMALL LETTER O
O	435	U+004F	LATIN CAPITAL LETTER O
p	25800	U+0070	LATIN SMALL LETTER P
P	1204	U+0050	LATIN CAPITAL LETTER P
r	52681	U+0072	LATIN SMALL LETTER R
R	601	U+0052	LATIN CAPITAL LETTER R
s	21939	U+0073	LATIN SMALL LETTER S
S	891	U+0053	LATIN CAPITAL LETTER S
t	46317	U+0074	LATIN SMALL LETTER T
T	1171	U+0054	LATIN CAPITAL LETTER T
u	72737	U+0075	LATIN SMALL LETTER U
U	7	U+0055	LATIN CAPITAL LETTER U
v	8481	U+0076	LATIN SMALL LETTER V
