Grapheme	Frequency	Codepoint	UnicodeName
 	837352	U+0020	SPACE
 	6	U+00A0	NO-BREAK SPACE
-	13061	U+002D	HYPHEN-MINUS
,	74847	U+002C	COMMA
;	15668	U+003B	SEMICOLON
:	2965	U+003A	COLON
!	586	U+0021	EXCLAMATION MARK
?	3328	U+003F	QUESTION MARK
.	33482	U+002E	FULL STOP
'	60	U+0027	APOSTROPHE
‘	5	U+2018	LEFT SINGLE QUOTATION MARK
’	4	U+2019	RIGHT SINGLE QUOTATION MARK
“	1313	U+201C	LEFT DOUBLE QUOTATION MARK
”	1315	U+201D	RIGHT DOUBLE QUOTATION MARK
(	336	U+0028	LEFT PARENTHESIS
)	333	U+0029	RIGHT PARENTHESIS
0	139	U+0030	DIGIT ZERO
1	15	U+0031	DIGIT ONE
2	27	U+0032	DIGIT TWO
3	30	U+0033	DIGIT THREE
4	31	U+0034	DIGIT FOUR
5	46	U+0035	DIGIT FIVE
6	33	U+0036	DIGIT SIX
7	21	U+0037	DIGIT SEVEN
8	6	U+0038	DIGIT EIGHT
9	2	U+0039	DIGIT NINE
a	899586	U+0061	LATIN SMALL LETTER A
A	8456	U+0041	LATIN CAPITAL LETTER A
b	129921	U+0062	LATIN SMALL LETTER B
B	11324	U+0042	LATIN CAPITAL LETTER B
c	24	U+0063	LATIN SMALL LETTER C
C	4	U+0043	LATIN CAPITAL LETTER C
d	161264	U+0064	LATIN SMALL LETTER D
D	7918	U+0044	LATIN CAPITAL LETTER D
e	310711	U+0065	LATIN SMALL LETTER E
E	4717	U+0045	LATIN CAPITAL LETTER E
f	1669	U+0066	LATIN SMALL LETTER F
F	838	U+0046	LATIN CAPITAL LETTER F
g	43250	U+0067	LATIN SMALL LETTER G
G	1473	U+0047	LATIN CAPITAL LETTER G
ḡ	25768	U+1E21	LATIN SMALL LETTER G WITH MACRON
Ḡ	868	U+1E20	LATIN CAPITAL LETTER G WITH MACRON
h	126534	U+0068	LATIN SMALL LETTER H
H	4234	U+0048	LATIN CAPITAL LETTER H
i	386074	U+0069	LATIN SMALL LETTER I
I	20978	U+0049	LATIN CAPITAL LETTER I
J	2	U+004A	LATIN CAPITAL LETTER J
k	51829	U+006B	LATIN SMALL LETTER K
K	2704	U+004B	LATIN CAPITAL LETTER K
l	65918	U+006C	LATIN SMALL LETTER L
L	3520	U+004C	LATIN CAPITAL LETTER L
m	114154	U+006D	LATIN SMALL LETTER M
M	4014	U+004D	LATIN CAPITAL LETTER M
n	268708	U+006E	LATIN SMALL LETTER N
N	1819	U+004E	LATIN CAPITAL LETTER N
o	196138	U+006F	LATIN SMALL LETTER O
O	1166	U+004F	LATIN CAPITAL LETTER O
p	11389	U+0070	LATIN SMALL LETTER P
P	1091	U+0050	LATIN CAPITAL LETTER P
q	4	U+0071	LATIN SMALL LETTER Q
Q	22	U+0051	LATIN CAPITAL LETTER Q
r	121178	U+0072	LATIN SMALL LETTER R
R	972	U+0052	LATIN CAPITAL LETTER R
s	64632	U+0073	LATIN SMALL LETTER S
S	4497	U+0053	LATIN CAPITAL LETTER S
t	96725	U+0074	LATIN SMALL LETTER T
T	4270	U+0054	LATIN CAPITAL LETTER T
u	201768	U+0075	LATIN SMALL LETTER U
U	2340	U+0055	LATIN CAPITAL LETTER U
v	56089	U+0076	LATIN SMALL LETTER V
V	469	U+0056	LATIN CAPITAL LETTER V
w	6640	U+0077	LATIN SMALL LETTER W
W	3	U+0057	LATIN CAPITAL LETTER W
x	48	U+0078	LATIN SMALL LETTER X
y	1	U+0079	LATIN SMALL LETTER Y
z	7	U+007A	LATIN SMALL LETTER Z
