Grapheme	Frequency	Codepoint	UnicodeName
 	180350	U+0020	SPACE
-	3134	U+002D	HYPHEN-MINUS
–	1	U+2013	EN DASH
,	8129	U+002C	COMMA
;	55	U+003B	SEMICOLON
:	2471	U+003A	COLON
!	236	U+0021	EXCLAMATION MARK
?	755	U+003F	QUESTION MARK
.	10692	U+002E	FULL STOP
'	36006	U+0027	APOSTROPHE
‘	387	U+2018	LEFT SINGLE QUOTATION MARK
’	387	U+2019	RIGHT SINGLE QUOTATION MARK
“	1945	U+201C	LEFT DOUBLE QUOTATION MARK
”	1946	U+201D	RIGHT DOUBLE QUOTATION MARK
(	35	U+0028	LEFT PARENTHESIS
)	35	U+0029	RIGHT PARENTHESIS
[	23	U+005B	LEFT SQUARE BRACKET
]	24	U+005D	RIGHT SQUARE BRACKET
a	241863	U+0061	LATIN SMALL LETTER A
A	5725	U+0041	LATIN CAPITAL LETTER A
b	14382	U+0062	LATIN SMALL LETTER B
B	847	U+0042	LATIN CAPITAL LETTER B
c	49	U+0063	LATIN SMALL LETTER C
d	22791	U+0064	LATIN SMALL LETTER D
D	1364	U+0044	LATIN CAPITAL LETTER D
e	46358	U+0065	LATIN SMALL LETTER E
E	128	U+0045	LATIN CAPITAL LETTER E
f	170	U+0066	LATIN SMALL LETTER F
F	217	U+0046	LATIN CAPITAL LETTER F
g	36413	U+0067	LATIN SMALL LETTER G
G	139	U+0047	LATIN CAPITAL LETTER G
h	1126	U+0068	LATIN SMALL LETTER H
H	123	U+0048	LATIN CAPITAL LETTER H
i	54508	U+0069	LATIN SMALL LETTER I
I	1999	U+0049	LATIN CAPITAL LETTER I
j	8	U+006A	LATIN SMALL LETTER J
k	44117	U+006B	LATIN SMALL LETTER K
K	1989	U+004B	LATIN CAPITAL LETTER K
l	56497	U+006C	LATIN SMALL LETTER L
L	824	U+004C	LATIN CAPITAL LETTER L
m	51026	U+006D	LATIN SMALL LETTER M
M	2831	U+004D	LATIN CAPITAL LETTER M
n	122775	U+006E	LATIN SMALL LETTER N
N	1183	U+004E	LATIN CAPITAL LETTER N
o	51543	U+006F	LATIN SMALL LETTER O
O	443	U+004F	LATIN CAPITAL LETTER O
p	28985	U+0070	LATIN SMALL LETTER P
P	6374	U+0050	LATIN CAPITAL LETTER P
r	22041	U+0072	LATIN SMALL LETTER R
R	161	U+0052	LATIN CAPITAL LETTER R
s	38660	U+0073	LATIN SMALL LETTER S
S	2340	U+0053	LATIN CAPITAL LETTER S
t	41346	U+0074	LATIN SMALL LETTER T
T	1639	U+0054	LATIN CAPITAL LETTER T
u	63427	U+0075	LATIN SMALL LETTER U
U	617	U+0055	LATIN CAPITAL LETTER U
w	2860	U+0077	LATIN SMALL LETTER W
W	9	U+0057	LATIN CAPITAL LETTER W
y	2422	U+0079	LATIN SMALL LETTER Y
Y	3491	U+0059	LATIN CAPITAL LETTER Y
z	90	U+007A	LATIN SMALL LETTER Z
Z	64	U+005A	LATIN CAPITAL LETTER Z
