Grapheme	Frequency	Codepoint	UnicodeName
 	207591	U+0020	SPACE
-	410	U+002D	HYPHEN-MINUS
,	16738	U+002C	COMMA
;	299	U+003B	SEMICOLON
:	4863	U+003A	COLON
!	37	U+0021	EXCLAMATION MARK
?	1004	U+003F	QUESTION MARK
.	7191	U+002E	FULL STOP
'	3	U+0027	APOSTROPHE
‘	43092	U+2018	LEFT SINGLE QUOTATION MARK
’	138	U+2019	RIGHT SINGLE QUOTATION MARK
(	112	U+0028	LEFT PARENTHESIS
)	112	U+0029	RIGHT PARENTHESIS
`	1	U+0060	GRAVE ACCENT
2	5423	U+0032	DIGIT TWO
3	14	U+0033	DIGIT THREE
a	269965	U+0061	LATIN SMALL LETTER A
A	2839	U+0041	LATIN CAPITAL LETTER A
b	25098	U+0062	LATIN SMALL LETTER B
B	861	U+0042	LATIN CAPITAL LETTER B
c	711	U+0063	LATIN SMALL LETTER C
C	121	U+0043	LATIN CAPITAL LETTER C
d	58648	U+0064	LATIN SMALL LETTER D
D	1416	U+0044	LATIN CAPITAL LETTER D
e	50887	U+0065	LATIN SMALL LETTER E
E	703	U+0045	LATIN CAPITAL LETTER E
f	656	U+0066	LATIN SMALL LETTER F
F	234	U+0046	LATIN CAPITAL LETTER F
g	37513	U+0067	LATIN SMALL LETTER G
G	12	U+0047	LATIN CAPITAL LETTER G
h	46140	U+0068	LATIN SMALL LETTER H
H	587	U+0048	LATIN CAPITAL LETTER H
i	64389	U+0069	LATIN SMALL LETTER I
I	781	U+0049	LATIN CAPITAL LETTER I
j	51902	U+006A	LATIN SMALL LETTER J
J	1726	U+004A	LATIN CAPITAL LETTER J
k	51839	U+006B	LATIN SMALL LETTER K
K	1332	U+004B	LATIN CAPITAL LETTER K
l	36715	U+006C	LATIN SMALL LETTER L
L	152	U+004C	LATIN CAPITAL LETTER L
m	39309	U+006D	LATIN SMALL LETTER M
M	2619	U+004D	LATIN CAPITAL LETTER M
n	86517	U+006E	LATIN SMALL LETTER N
N	269	U+004E	LATIN CAPITAL LETTER N
o	11984	U+006F	LATIN SMALL LETTER O
O	7	U+004F	LATIN CAPITAL LETTER O
p	26040	U+0070	LATIN SMALL LETTER P
P	672	U+0050	LATIN CAPITAL LETTER P
r	42641	U+0072	LATIN SMALL LETTER R
R	509	U+0052	LATIN CAPITAL LETTER R
s	35936	U+0073	LATIN SMALL LETTER S
S	1586	U+0053	LATIN CAPITAL LETTER S
t	42894	U+0074	LATIN SMALL LETTER T
T	2134	U+0054	LATIN CAPITAL LETTER T
u	44675	U+0075	LATIN SMALL LETTER U
U	37	U+0055	LATIN CAPITAL LETTER U
w	20077	U+0077	LATIN SMALL LETTER W
W	38	U+0057	LATIN CAPITAL LETTER W
x	1934	U+0078	LATIN SMALL LETTER X
X	1030	U+0058	LATIN CAPITAL LETTER X
y	2	U+0079	LATIN SMALL LETTER Y
z	308	U+007A	LATIN SMALL LETTER Z
Z	55	U+005A	LATIN CAPITAL LETTER Z
