Grapheme	Frequency	Codepoint	UnicodeName
 	236761	U+0020	SPACE
-	3	U+002D	HYPHEN-MINUS
—	1257	U+2014	EM DASH
,	13718	U+002C	COMMA
;	1073	U+003B	SEMICOLON
:	2252	U+003A	COLON
!	430	U+0021	EXCLAMATION MARK
¡	430	U+00A1	INVERTED EXCLAMATION MARK
?	818	U+003F	QUESTION MARK
¿	818	U+00BF	INVERTED QUESTION MARK
.	8721	U+002E	FULL STOP
'	90670	U+0027	APOSTROPHE
‘	306	U+2018	LEFT SINGLE QUOTATION MARK
’	314	U+2019	RIGHT SINGLE QUOTATION MARK
“	823	U+201C	LEFT DOUBLE QUOTATION MARK
”	510	U+201D	RIGHT DOUBLE QUOTATION MARK
(	37	U+0028	LEFT PARENTHESIS
)	37	U+0029	RIGHT PARENTHESIS
[	31	U+005B	LEFT SQUARE BRACKET
]	31	U+005D	RIGHT SQUARE BRACKET
1	1	U+0031	DIGIT ONE
3	1	U+0033	DIGIT THREE
6	1	U+0036	DIGIT SIX
a	116669	U+0061	LATIN SMALL LETTER A
A	634	U+0041	LATIN CAPITAL LETTER A
á	1947	U+00E1	LATIN SMALL LETTER A WITH ACUTE
b	21598	U+0062	LATIN SMALL LETTER B
B	236	U+0042	LATIN CAPITAL LETTER B
c	20762	U+0063	LATIN SMALL LETTER C
C	2211	U+0043	LATIN CAPITAL LETTER C
d	35992	U+0064	LATIN SMALL LETTER D
D	4449	U+0044	LATIN CAPITAL LETTER D
e	17519	U+0065	LATIN SMALL LETTER E
E	437	U+0045	LATIN CAPITAL LETTER E
é	995	U+00E9	LATIN SMALL LETTER E WITH ACUTE
É	23	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
é̱	333	U+00E9, U+0331	LATIN SMALL LETTER E WITH ACUTE, COMBINING MACRON BELOW
e̱	69929	U+0065, U+0331	LATIN SMALL LETTER E, COMBINING MACRON BELOW
E̱	1	U+0045, U+0331	LATIN CAPITAL LETTER E, COMBINING MACRON BELOW
f	250	U+0066	LATIN SMALL LETTER F
F	104	U+0046	LATIN CAPITAL LETTER F
g	23227	U+0067	LATIN SMALL LETTER G
G	111	U+0047	LATIN CAPITAL LETTER G
h	21028	U+0068	LATIN SMALL LETTER H
H	87	U+0048	LATIN CAPITAL LETTER H
i	55076	U+0069	LATIN SMALL LETTER I
I	218	U+0049	LATIN CAPITAL LETTER I
í	2051	U+00ED	LATIN SMALL LETTER I WITH ACUTE
j	96444	U+006A	LATIN SMALL LETTER J
J	4879	U+004A	LATIN CAPITAL LETTER J
k	56153	U+006B	LATIN SMALL LETTER K
K	1391	U+004B	LATIN CAPITAL LETTER K
l	2415	U+006C	LATIN SMALL LETTER L
L	93	U+004C	LATIN CAPITAL LETTER L
m	51489	U+006D	LATIN SMALL LETTER M
M	1819	U+004D	LATIN CAPITAL LETTER M
n	56529	U+006E	LATIN SMALL LETTER N
N	1008	U+004E	LATIN CAPITAL LETTER N
ñ	22278	U+00F1	LATIN SMALL LETTER N WITH TILDE
Ñ	17	U+00D1	LATIN CAPITAL LETTER N WITH TILDE
o	40952	U+006F	LATIN SMALL LETTER O
O	165	U+004F	LATIN CAPITAL LETTER O
ó	1530	U+00F3	LATIN SMALL LETTER O WITH ACUTE
p	28287	U+0070	LATIN SMALL LETTER P
P	2134	U+0050	LATIN CAPITAL LETTER P
q	86	U+0071	LATIN SMALL LETTER Q
Q	1	U+0051	LATIN CAPITAL LETTER Q
r	5430	U+0072	LATIN SMALL LETTER R
R	51	U+0052	LATIN CAPITAL LETTER R
s	12527	U+0073	LATIN SMALL LETTER S
S	527	U+0053	LATIN CAPITAL LETTER S
t	46444	U+0074	LATIN SMALL LETTER T
T	914	U+0054	LATIN CAPITAL LETTER T
u	40765	U+0075	LATIN SMALL LETTER U
U	130	U+0055	LATIN CAPITAL LETTER U
ú	2805	U+00FA	LATIN SMALL LETTER U WITH ACUTE
ú̶	2370	U+00FA, U+0336	LATIN SMALL LETTER U WITH ACUTE, COMBINING LONG STROKE OVERLAY
u̶	151392	U+0075, U+0336	LATIN SMALL LETTER U, COMBINING LONG STROKE OVERLAY
U̶	379	U+0055, U+0336	LATIN CAPITAL LETTER U, COMBINING LONG STROKE OVERLAY
v	299	U+0076	LATIN SMALL LETTER V
w	11750	U+0077	LATIN SMALL LETTER W
W	929	U+0057	LATIN CAPITAL LETTER W
x	40806	U+0078	LATIN SMALL LETTER X
X	49	U+0058	LATIN CAPITAL LETTER X
y	124321	U+0079	LATIN SMALL LETTER Y
Y	1416	U+0059	LATIN CAPITAL LETTER Y
z	10057	U+007A	LATIN SMALL LETTER Z
Z	54	U+005A	LATIN CAPITAL LETTER Z
