!	600
(	14
)	14
-	104
.	7927
:	2043
[	29
]	29
«	2157
«‌	1
«‌”	43
»	1906
،	11199
؛	694
؟	997
آب	87
آبادیهای	1
آبرو	1
آبرومند	1
آبستن	11
آبستنی	1
آبم	1
آبها	5
آبهای	3
آبِ	11
آبْ	2
آبی	5
آبیاری	2
آبیاری‌کننده	1
آبیلینی	1
آتالیه	2
آتش	74
آتشدانِ	1
آتشِ	4
آتشْ	1
آتشی	11
آتشین	2
آتن	4
آتنی	1
آتنیان	1
آثار	1
آحاز	2
آخر	32
آخرِ	1
آخری	2
آخرین	6
آخرینها	3
آخرینی	1
آخور	1
آخوری	2
آداب	5
آدریاتیک	1
آدم	9
آدمِ	1
آدمکش	1
آدمکشان	3
آدمکُشیها	1
آدمی	17
آدمیان	32
آدم‌ربایان	1
آذرخش	4
آر	5
آراسته	11
آرام	12
آرامش	42
آرامگاه	1
آرامگاهشان	1
آرامی	2
آرایش	1
آرتِماس	1
آرتِمیس	2
آرتِمیسِ	3
آرخِلائوس	1
آرخیپوس	2
آرد	3
آرزو	9
آرزومند	1
آرزوی	7
آرزویش	1
آرزویم	2
آرمیدنم	1
آرمیده	1
آری	34
آرید	3
آریستارخوس	4
آریستارخوسِ	1
آریستوبولُس	1
آریوپاگوس	3
آز	1
آزاد	55
آزادانه	6
آزادت	1
آزادش	3
آزادشان	1
آزادم	2
آزادمان	1
آزادمردی	1
آزادِ	1
آزادگان	1
آزادگی	2
آزادی	12
آزادیم	1
آزادیهایی	1
آزادی‌اش	1
آزار	43
آزارتان	1
آزاردهندۀ	1
آزارشان	1
آزارم	1
آزارها	5
آزارهایی	2
آزارِ	1
آزاری	3
آزرده	2
آزرده‌خاطر	1
آزمایش	20
آزمایشها	3
آزمایشهای	3
آزمایشی	3
آزمود	1
آزمودم	1
آزمودن	2
آزموده	7
آزموده‌ای	1
آسا	2
آسان	3
آسانتر	12
آسانی	2
آسایش	17
آستانۀ	6
آسمان	266
آسمانند	1
آسمانها	10
آسمانی	33
آسمانیان	1
آسمانیم	1
آسمانیِ	1
آسوده	2
آسوده‌ای	1
آسودگی	1
آسوس	2
آسیا	21
آسیاب	1
آسیابْ‌سنگی	1
آسیابی	2
آسیایی	2
آسیب	7
آسیبی	5
آسینکْریتوس	1
آش	1
آشامیدنی	2
آشامیدیم	1
آشتی	18
آشتی‌دادنشان	1
آشفته	1
آشنا	2
آشنایان	3
آشنایانش	1
آشنایی	1
آشنایید	1
آشوب	6
آشوبها	1
آشوبی	3
آشکار	63
آشکارا	18
آشکارتر	2
آشکارش	1
آشیانه	3
آشیانه‌ها	2
آغاز	90
آغازِ	1
آغازْ	1
آغازین	2
آغشته	2
آغل	2
آغوش	1
آغوشش	3
آفتاب	9
آفرید	9
آفریده	13
آفریده‌های	1
آفریدگار	1
آفرین	3
