!	84
'	2
(	2
)	2
,	18492
.	11112
144,000	2
153	1
2,400	1
216	1
276	1
666	1
:	11
;	31
?	374
Abadon	1
Abia	3
Abiatar	1
Abihud	2
Abilene	1
Abraham	141
Adam	22
Adang	164
Adaria	1
Adi	2
Admin	2
Adramitium	1
Aduii'	1
Aeneas	2
Agaa'	1
Agabus	2
Agripa	16
Agustus	2
Ahas	2
Ainon	1
Akaikus	1
Akeldama	1
Akeu	3
Akeu'	1117
Akhaya	8
Akhim	2
Akwila	7
Aleksander	6
Aleksandria	4
Allah	2677
Alpeus	5
Alut	1
Amam	20
Amin	28
Aminadab	4
Amo	6
Amon	2
Amos	2
Ampipolis	1
Ampliatus	1
Améé	3
Améé'	49
Anah	1
Anak	336
Ananias	16
Anderias	14
Andronikus	1
Antiokia	25
Antipas	1
Antipatris	1
Anyuu'	1
Apasat	2
Apeles	1
Apius	1
Apolion	1
Apolonia	1
Apolos	13
Appia	1
Arab	3
Areopagus	3
Arimatia	4
Aristarkhus	5
Aristobulus	1
Arkelaus	1
Arkhipus	2
Arni	2
Aroi	1
Artemas	1
Artemis	6
Arétas	1
Asa	2
Asdod	1
Aseu'	1
Asher	1
Asia	21
Asinkritus	1
Asos	3
Asur	2
Asyer	1
Atalia	1
Atena	6
Ateng	11
Avéé'	39
Awa'	2
Awaa'	1
Ayah	3
Ayub	1
Baa'	9
Baal	1
Babel	25
Bahat	2
Bakéh	2
Balak	1
Balei'	3
Bang	733
Banget	26
Bar-Yésus	1
Bara'	4
Barabas	13
Barak	1
Barang	24
Barei'	100
Barei'-okoo'	5
Barei'sagam	1
Barnabas	42
Barsabas	2
Bartimeus	1
Bartolomeus	4
Barék	1
Bateu'	11
Batis	37
Bau	8
Bawang	2
Beelsebul	6
Belah	5
Beleka'	4
Belu'an	1
Benyamin	4
Beor	1
Berea	6
Berekia	1
Bernike	3
Beru'en	1
Berungan	5
Besau	5
Bet	1
Betania	13
Betpage	3
Betsaida	8
Betéé	1
Betéé'	18
Biau	1
Bika'-bika'	2
Bileam	6
Bitinia	2
Blastus	1
Boanerges	1
Boas	4
Boh	505
Bok	1
Boyo	1
Bu'un	1
Bu'un-bu'un	4
Butun	1
Bé'	438
Bétléhém	9
Béé	32
Da'in	2
Dahaa'	3
Dalem	24
Dalmanuta	1
Dalmatia	1
Damaris	1
Damsyik	18
Daniel	1
Danii'	5
Dau	159
Daud	81
Dawai	1
Dekapolis	3
Demas	3
Demetrius	5
Derbe	5
Dionisius	1
Diotrepes	1
Diva'	1
Dokoo'	5
