Grapheme	Frequency	Codepoint	UnicodeName
 	164471	U+0020	SPACE
–	22	U+2013	EN DASH
—	2907	U+2014	EM DASH
,	11861	U+002C	COMMA
;	1250	U+003B	SEMICOLON
:	2318	U+003A	COLON
!	487	U+0021	EXCLAMATION MARK
¡	487	U+00A1	INVERTED EXCLAMATION MARK
?	865	U+003F	QUESTION MARK
¿	865	U+00BF	INVERTED QUESTION MARK
.	9060	U+002E	FULL STOP
'	7990	U+0027	APOSTROPHE
‘	319	U+2018	LEFT SINGLE QUOTATION MARK
’	316	U+2019	RIGHT SINGLE QUOTATION MARK
“	862	U+201C	LEFT DOUBLE QUOTATION MARK
”	719	U+201D	RIGHT DOUBLE QUOTATION MARK
(	24	U+0028	LEFT PARENTHESIS
)	24	U+0029	RIGHT PARENTHESIS
a	285910	U+0061	LATIN SMALL LETTER A
A	1887	U+0041	LATIN CAPITAL LETTER A
á	93	U+00E1	LATIN SMALL LETTER A WITH ACUTE
Á	7	U+00C1	LATIN CAPITAL LETTER A WITH ACUTE
ä	125	U+00E4	LATIN SMALL LETTER A WITH DIAERESIS
b	651	U+0062	LATIN SMALL LETTER B
B	167	U+0042	LATIN CAPITAL LETTER B
c	50092	U+0063	LATIN SMALL LETTER C
C	3381	U+0043	LATIN CAPITAL LETTER C
d	1358	U+0064	LATIN SMALL LETTER D
D	2877	U+0044	LATIN CAPITAL LETTER D
e	4780	U+0065	LATIN SMALL LETTER E
E	144	U+0045	LATIN CAPITAL LETTER E
é	227	U+00E9	LATIN SMALL LETTER E WITH ACUTE
É	21	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
f	205	U+0066	LATIN SMALL LETTER F
F	123	U+0046	LATIN CAPITAL LETTER F
g	583	U+0067	LATIN SMALL LETTER G
G	123	U+0047	LATIN CAPITAL LETTER G
h	60808	U+0068	LATIN SMALL LETTER H
H	103	U+0048	LATIN CAPITAL LETTER H
i	94482	U+0069	LATIN SMALL LETTER I
I	1095	U+0049	LATIN CAPITAL LETTER I
í	284	U+00ED	LATIN SMALL LETTER I WITH ACUTE
ï	66	U+00EF	LATIN SMALL LETTER I WITH DIAERESIS
j	19548	U+006A	LATIN SMALL LETTER J
J	3198	U+004A	LATIN CAPITAL LETTER J
k	73720	U+006B	LATIN SMALL LETTER K
K	948	U+004B	LATIN CAPITAL LETTER K
l	22979	U+006C	LATIN SMALL LETTER L
L	133	U+004C	LATIN CAPITAL LETTER L
m	50978	U+006D	LATIN SMALL LETTER M
M	1026	U+004D	LATIN CAPITAL LETTER M
n	112014	U+006E	LATIN SMALL LETTER N
N	1086	U+004E	LATIN CAPITAL LETTER N
ñ	3676	U+00F1	LATIN SMALL LETTER N WITH TILDE
Ñ	108	U+00D1	LATIN CAPITAL LETTER N WITH TILDE
o	6210	U+006F	LATIN SMALL LETTER O
O	26	U+004F	LATIN CAPITAL LETTER O
ó	174	U+00F3	LATIN SMALL LETTER O WITH ACUTE
p	47977	U+0070	LATIN SMALL LETTER P
P	1566	U+0050	LATIN CAPITAL LETTER P
q	78499	U+0071	LATIN SMALL LETTER Q
Q	924	U+0051	LATIN CAPITAL LETTER Q
r	34999	U+0072	LATIN SMALL LETTER R
R	193	U+0052	LATIN CAPITAL LETTER R
s	50124	U+0073	LATIN SMALL LETTER S
S	645	U+0053	LATIN CAPITAL LETTER S
t	46573	U+0074	LATIN SMALL LETTER T
T	1438	U+0054	LATIN CAPITAL LETTER T
u	94812	U+0075	LATIN SMALL LETTER U
U	311	U+0055	LATIN CAPITAL LETTER U
ú	143	U+00FA	LATIN SMALL LETTER U WITH ACUTE
v	185	U+0076	LATIN SMALL LETTER V
V	1	U+0056	LATIN CAPITAL LETTER V
w	22072	U+0077	LATIN SMALL LETTER W
W	386	U+0057	LATIN CAPITAL LETTER W
x	14	U+0078	LATIN SMALL LETTER X
y	51151	U+0079	LATIN SMALL LETTER Y
Y	153	U+0059	LATIN CAPITAL LETTER Y
z	86	U+007A	LATIN SMALL LETTER Z
Z	43	U+005A	LATIN CAPITAL LETTER Z
