Grapheme	GraphFrequency	WordFrequency	Difference
!	898	898	0
(	49	49	0
)	49	49	0
,	19003	19003	0
.	8784	8784	0
3	2	2	0
:	2363	2363	0
;	105	105	0
?	933	933	0
[	27	27	0
]	27	27	0
«	1987	1987	0
»	1988	1988	0
–	14	14	0
—	666	666	0
”	395	395	0
„	396	396	0
Я	997	987	10
У	269	51	218
А	762	143	619
К	1008	21	987
В	1290	240	1050
С	1838	45	1793
О	2115	27	2088
И	4015	1312	2703
я	13031	779	12252
к	19241	1074	18167
у	20750	434	20316
в	32771	3302	29469
с	40751	1300	39451
и	56675	6870	49805
а	51890	836	51054
о	78694	589	78105
