Grapheme	Frequency	Codepoint	UnicodeName
 	180763	U+0020	SPACE
-	293	U+002D	HYPHEN-MINUS
–	14	U+2013	EN DASH
—	666	U+2014	EM DASH
,	19003	U+002C	COMMA
;	105	U+003B	SEMICOLON
:	2363	U+003A	COLON
!	898	U+0021	EXCLAMATION MARK
?	933	U+003F	QUESTION MARK
.	8784	U+002E	FULL STOP
”	395	U+201D	RIGHT DOUBLE QUOTATION MARK
„	396	U+201E	DOUBLE LOW-9 QUOTATION MARK
«	1987	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	1988	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	49	U+0028	LEFT PARENTHESIS
)	49	U+0029	RIGHT PARENTHESIS
[	27	U+005B	LEFT SQUARE BRACKET
]	27	U+005D	RIGHT SQUARE BRACKET
0	4	U+0030	DIGIT ZERO
1	3	U+0031	DIGIT ONE
2	1	U+0032	DIGIT TWO
3	2	U+0033	DIGIT THREE
4	2	U+0034	DIGIT FOUR
5	2	U+0035	DIGIT FIVE
C	1	U+0043	LATIN CAPITAL LETTER C
E	7	U+0045	LATIN CAPITAL LETTER E
O	1	U+004F	LATIN CAPITAL LETTER O
ó	1	U+00F3	LATIN SMALL LETTER O WITH ACUTE
T	1	U+0054	LATIN CAPITAL LETTER T
а	51890	U+0430	CYRILLIC SMALL LETTER A
А	762	U+0410	CYRILLIC CAPITAL LETTER A
а́	1	U+0430, U+0301	CYRILLIC SMALL LETTER A, COMBINING ACUTE ACCENT
б	12165	U+0431	CYRILLIC SMALL LETTER BE
Б	2319	U+0411	CYRILLIC CAPITAL LETTER BE
в	32771	U+0432	CYRILLIC SMALL LETTER VE
В	1290	U+0412	CYRILLIC CAPITAL LETTER VE
г	14397	U+0433	CYRILLIC SMALL LETTER GHE
Г	934	U+0413	CYRILLIC CAPITAL LETTER GHE
д	23636	U+0434	CYRILLIC SMALL LETTER DE
Д	699	U+0414	CYRILLIC CAPITAL LETTER DE
е	57508	U+0435	CYRILLIC SMALL LETTER IE
Е	1369	U+0415	CYRILLIC CAPITAL LETTER IE
ё	3921	U+0451	CYRILLIC SMALL LETTER IO
ж	7813	U+0436	CYRILLIC SMALL LETTER ZHE
Ж	75	U+0416	CYRILLIC CAPITAL LETTER ZHE
з	10709	U+0437	CYRILLIC SMALL LETTER ZE
З	446	U+0417	CYRILLIC CAPITAL LETTER ZE
и	56675	U+0438	CYRILLIC SMALL LETTER I
И	4015	U+0418	CYRILLIC CAPITAL LETTER I
и́	17	U+0438, U+0301	CYRILLIC SMALL LETTER I, COMBINING ACUTE ACCENT
и́́	2	U+0438, U+0301, U+0301	CYRILLIC SMALL LETTER I, COMBINING ACUTE ACCENT, COMBINING ACUTE ACCENT
и́́́	1	U+0438, U+0301, U+0301, U+0301	CYRILLIC SMALL LETTER I, COMBINING ACUTE ACCENT, COMBINING ACUTE ACCENT, COMBINING ACUTE ACCENT
