!	1007
,	10448
.	8346
666	1
:	2425
;	349
?	918
Abaddon	1
Abba	3
Abel	1
Abela	3
Abia	2
Abiai	1
Abihud	1
Abihudii	1
Abilenes	1
Abjatar	1
Abraham	31
Abrahama	36
Abrahamain	2
Abrahamas	3
Abrahamii	14
Addet	14
Addi	2
Addos	2
Addá	1
Admin	1
Adramyttiona	1
Adriamearas	1
Agabos	2
Agrippa	11
Agálaš	2
Ahte	1
Aiddo	18
Ain	3
Aineas	1
Aineas-nammasaš	1
Ainonis	1
Akaia	4
Akaiai	2
Akaias	3
Akaikos	1
Akas	1
Akasii	1
Akim	1
Akimii	1
Akvila	3
Akvilai	2
Akvilain	1
Albmi	5
Albmái	1
Ale	49
Aleksandria	1
Aleksandrias	1
Aleksandros	4
Aleksandrosa	2
Alfa	3
Alfeusa	5
Alimus	5
Alimusa	4
Alla	2
Allatvuođa	2
Allaárvosaš	1
Allet	104
Alli	4
Allos	7
Alloset	2
Allot	8
Almma	5
Almmatge	2
Almmi	5
Almmiriika	9
Almmis	6
Almmá	2
Almmálaš	1
Aman	1
Amas	1
Amen	28
Amfipolisa	1
Amminadab	2
Amminadabii	1
Amos	2
Amosii	1
Ampliatusii	1
Ananias	10
Ananias-nammasaš	1
Andronikosii	1
Ane	3
Anne	1
Antikristus	3
Antikristusa	1
Antiokia	2
Antiokiai	11
Antiokias	5
Antipas	1
Antipatrisii	1
Apellesii	1
Apoastalat	7
Apollonia	1
Apollos	7
Apollosa	5
Apollyon	1
Appiai	1
Appii	1
Arabiai	1
Arabias	1
Aram	1
Aramii	1
Areiopagosa	1
Areiopagosdikki	1
Areiopagosii	1
Aretasa	1
Arimateas	2
Aristarkos	4
Aristarkosa	1
Arkelaos	1
Arkipposii	2
Arni	1
Arona	4
Aronii	1
Arostobulos	1
Arpakšad	1
Artemasa	1
Artemis	2
Artemisa	3
Arvi	2
Asaf	1
Asafii	1
Asia	20
Assosii	1
Assosis	1
Asur	1
Asurii	1
Asynkritosii	1
Atenalaččat	1
Atenas	2
Atenii	2
Atnet	11
Atnoset	1
Attaliai	1
Atte	9
Attáldagat	1
Attášit	2
Augustusis	1
Ašdodas	1
Ašera	2
Baala	1
Babylon	4
Babylona	6
Babylonii	1
Badjel	1
Bahá	5
Bahás	2
Bahávuođa	1
Bajidehket	1
Bajimušbáhppa	6
Bajitbáhpat	14
Bajásčuožžil	1
Balakii	1
Ballet	4
Barabbas	4
Barabbasa	7
Baraka	1
Barakja	1
Bargi	2
Barjesus	1
Barnabas	15
Barnabasa	8
Barnabasain	6
Barnabassan	1
Barnabassii	1
Barsabbasa	1
Barsabbasin	1
Bartimeus	1
Bartolomeus	4
Basiid	4
Bassi	95
Bassojuvvon	1
Bastilislánjáid	1
Basuhivččet	1
Basuhuvvos	2
Beahtti	2
Beahtu	3
Beaivvi	2
Beaivvit	1
Beaivválaččat	3
Beaivváš	3
Beaivvážis	1
Bealdu	1
Bealkkihat	1
Beana	1
Beargalat	6
Beasan	1
Beassat	1
Beassážat	1
Beassážiid	1
Beassážiidda	1
Beasti	1
Beastte	3
Beastámet	1
Beelsebul	1
Beelsebula	5
Beelsebulan	1
Behtui	1
Beliar	1
Benjamina	4
Bereai	2
Bereas	1
Berenike	3
Bestojupmi	4
Betania	2
Betaniai	5
Betanias	6
Betesda	1
Betfagii	3
Betlehem	1
Betlehemas	4
Betlehemii	3
Betsaida	4
Betsaidai	1
Betsaidas	2
Biddjot	1
Bidjet	4
Biegga	2
Biehtár	126
Biehtára	29
Biehtárguovttos	1
Biehtárii	14
Biehtáriin	2
Biehtárin	7
Biehtáris	4
Biepma	2
Biigá	1
Bija	5
Bileam	1
Bileama	2
Bilkideaddji	1
Birrasiid	1
Birračuohpahus	2
Biso	1
Bissos	1
Bissot	10
Bissut	1
Bisuhehket	1
Bitynia	1
Bityniai	1
Bivdet	1
Bivdit	1
Blastosa	1
Boahtte	1
Boahtti	4
Boahtá	3
Boaldinoaffarat	1
Boanergesin	1
Boares	1
Boarraset	1
Boarráset	2
Boas	2
Boasii	1
Boatnját	2
Boađe	23
Bohtet	12
Bohtos	4
Boradeapmi	1
Borakeahttáivuođa	1
Borret	1
Bosora	1
Bottoža	2
Bođii	1
Buhtis	1
Buhtistehket	1
Buktet	8
Buktá	1
Buohcci	1
Buohkaide	1
Buohkat	40
Buolli	1
Buori	2
Buoridehket	1
Buorit	3
Buorre	10
Buot	82
Buotveagalačča	2
Buotveagalaš	8
Buozus	1
Bures	4
Buresivdniduvvon	1
Buressivdnidehket	1
Buressivdnidettiin	1
Buressivdniduvvon	7
Buriid	1
Buvtte	2
Báhcet	2
Báhkinat	1
Báhkiniid	1
Báhppa	1
Báhtar	1
Báitos	1
Bálkestehket	1
Bálkkašeapmin	1
Bálvaleaddji	5
Bálvaleaddjit	3
Bálvalehket	3
Bálvalusat	1
Bárdni	63
Bárdnin	4
Bárdnái	5
Bárdnán	3
Bártni	30
Bártniin	1
Bártnis	22
Bártnát	1
Bártnážan	1
Bávlos	118
Bávlosa	62
Bávlosii	9
Bávlosiin	4
Bávlosin	1
Bávlosis	15
Ceaggás	1
Cealkke	5
Ceggejehkot	2
Ceggejuvvui	1
Celket	22
Cogget	1
Cuiggodehket	1
Cuiggot	2
Cæsarea	2
Daddjojuvvo	3
Daddjojuvvui	1
Dadjet	1
Daga	7
Dagadettiinan	1
Dahje	17
Dahket	11
Dahkkot	1
Dahkos	1
Dahkot	1
Daid	14
Daidda	2
Dain	4
Dainna	5
Daja	3
Dajat	1
Dakkaviđe	12
Dakkár	9
Dakkára	1
Dakkáriid	2
Dalle	154
Dallánaga	11
Dalmanuta	1
Dalmatiai	1
Damaris	1
Damaskusa	3
Damaskusii	7
Damaskusis	5
Dammanaga	1
Dan	195
Danne	103
Das	54
Dasa	9
Dasgo	523
Dassážii	1
Dasto	56
Dat	267
Dattege	13
De	319
Dearvva	4
Dearvvahallet	4
Dearvvašmahttojuvvon	1
Dearvvuođaid	1
Dearvvuođat	22
Dego	1
Dekapolisa	2
Dekapolisas	1
Demas	3
Demetrios	2
Demetrios-nammasaš	1
Derbii	3
Devdet	1
Didjiide	7
Die	1
Diekkár	1
Diet	8
Dievva	2
Dieđát	1
Dihtet	2
Dii	192
Diibmu	4
Diibmá	1
Diktet	11
Din	12
Dionysios	1
Diotrefes	1
Dis	3
Divtte	4
Divššo	1
Doahttalehkos	1
Doai	1
Doala	2
Doalahehket	3
Doalvvo	2
Doama	5
Doapmal	3
Doapmaleahkki	1
Doddjon	1
Dohko	10
Dollet	2
Dollot	1
Don	111
Dopmet	1
Doppe	51
Dorkas	2
Dorkasa	1
Dovdameahttun	1
Dovddakeahttá	1
Dovdoset	1
Dovle	1
Drusillain	1
Du	31
Dubmejehket	1
Dubmekeahttái	1
Duo	2
Duohta	1
Duomás	10
Duopmobeaivvi	3
Duopmu	2
Duopmár	1
Duopmásii	1
Duostat	1
Duot	1
Duođa	1
Duođaid	96
Duođalaš	1
Duođašteaddjit	1
Dus	4
Dutnje	8
Dušše	4
Duššás	2
Dá	10
Dáhttubehtet	4
Dáhtut	1
Dáid	3
Dáiddát	2
Dáidet	1
Dáidit	1
Dáiguin	5
Dáinna	6
Dákko	1
Dákkár	6
Dákkárat	1
Dákkáriid	1
Dál	62
Dálkkasteaddji	1
Dállodoalli	3
Dán	99
Dánel	1
Dáppe	2
Dárbbašit	1
Dárkojehket	1
Dás	33
Dása	1
Dássážii	2
Dát	149
Dávda	1
Dávjá	1
Dávveda	42
Dávvedii	3
Dávvet	18
Eaba	1
Eadnis	2
Eahkedis	4
Eahpeoskkolaš	3
Eahppi	3
Eai	56
Eaiggát	1
Ealli	1
Ean	2
Eanadoalli	3
Eanan	2
Eananhearrá	3
Eanemusat	1
Eanet	3
Eará	4
Earáid	3
Earáide	1
Earáiguin	2
Earát	17
Easkka	4
Eat	19
Eatnagat	3
Eatnama	4
Eatnasat	1
Eber	1
Efesosa	3
Efesosas	5
Efesosii	7
Efesoslaččat	1
Effata	1
Efraim-nammasaš	1
Egypta	3
Egyptan	1
Egyptas	15
Egyptii	7
Ehpet	49
Einnos	2
Eleasar	1
Eleasarii	1
Eli	3
Elia	24
Eliai	3
Elian	3
Elieser	1
Elihud	1
Elihudii	1
Elisabet	9
Elisabeta	2
Eliša	1
Eljakim	2
Eljakimii	1
Ellet	4
Ellos	1
Elmadam	1
Eloi	2
Elymas	1
Emmaus-nammasaš	1
Enoš	1
Epafras	2
Epafrasas	1
Epafroditusa	2
Epainetosii	1
Er	1
Erastos	2
Erastosa	1
Erenoamážit	1
Eret	1
Esau	1
Esaua	2
Etiopia	1
Eubulos	1
Eufrateanu	1
Eufratetnui	1
Eunikes	1
Euodia	1
Eutykos	1
Eva	2
Evangeliuma	1
Eŋgel	10
Eŋgela	1
Eŋgelat	1
Eŋgelis	1
Fanas	1
Fanuela	1
Fargga	2
Farisealaččaid	1
Farisealaččat	12
Farisealaš	2
Fasttain	1
Fasttášehket	2
Febe	1
Feliks	7
Feliksa	3
Fenikia	2
Fenikiai	1
Feniksii	1
Festus	11
Festusa	2
Festusii	2
Fiikkonmuorra	1
Filadelfia	1
Filadelfiai	1
Filemonii	1
Filetos	1
Filip	21
Filipa	11
Filipii	5
Filippi	3
Filippii	1
Filippis	2
Filologosii	1
Flegonii	1
Fortunatus	1
Forum	1
Frygia	2
Frygias	1
Fuomášehket	1
Fuorá	1
Furrošeapmi	1
Fygelos	1
Fáhkka	4
Fáhkkestaga	4
Fákta	2
Fámolaš	1
Fámu	1
Fápmun	1
Fávttat	2
Fáŋga	1
Fáŋgafákta	3
Gabbata	1
Gabriel	1
Gabriela	1
Gada	1
Gadarena	1
Gahččan	2
Gahččet	2
Gaikkodehket	1
Gaius	2
Gaiusa	2
Gaiusii	1
Gal	2
Galatia	5
Galatiai	1
Galgabehtet	1
Galgat	2
Galilea	14
Galileai	19
Galileajávregáddái	1
Galileajávregátti	2
Galileajávregáttis	1
Galileajávrri	1
Galileajávrái	1
Galilealaččat	1
Galileas	22
Galle	3
Gallio	3
Gamaliel	1
Gamaliela	1
Garra	1
Garuhuvvon	2
Gasai	1
Gaskaija	1
Gasku	1
Gea	9
Geafit	3
Geahča	28
Geahčadettiinan	1
Geahččalan	1
Geahččalusain	1
Geahčči	1
Geaidda	3
Geaidnoguoras	2
Geainnu	7
Gean	13
Geanin	4
Gearpmaš	1
Gearpmaščivggat	2
Geas	20
Geasa	2
Geat	2
Geađgás	1
Geažos	1
Gehččet	32
Geidnui	1
Geige	5
Gennesareta	1
Gennesaretii	1
Gennesaretjávregáttis	1
Gerasa	2
Getsemane	1
Getsemane-nammasaš	1
Gideona	1
Gielahis	1
Gievrudehkos	1
Gieđas	1
Gieđastis	1
Gii	61
Giitet	3
Giitu	1
Giitá	1
Gillá	1
Gilvagat	1
Gilvalehket	1
Gilvi	5
Girjjit	1
Girku	1
Gitta	2
Go	549
Goabbá	5
Goalkkuhehket	2
Goalmmádas	2
Goalmmádassii	1
Goalmmát	4
Goappašagat	1
Goappá	5
Goas	3
Goađi	1
Goddet	1
Goddot	1
Goga	1
Gohccájehket	1
Gohcet	11
Gohčo	3
Gohččot	1
Gohččuma	1
Goivot	1
Golbma	8
Golbmii	1
Golgata	2
Golgatan	1
Golgá	1
Golmma	3
Golmmas	1
Gomorra	3
Gomorrain	1
Gonagas	8
Gonagasaid	1
Gonagasat	1
Gonagasbálvaleaddji	2
Gordneládju	1
Gos	26
Gosa	9
Guddet	1
Gudnejahttet	1
Gudnejahtton	1
Gudni	1
Guhkes	3
Guhkkin	1
Guhká	1
Guhte	7
Guhtemuš	6
Guhtta	4
Gula	3
Guladettiineattet	2
Gulat	1
Guldalehket	8
Gullet	8
Guokte	7
Guoktenuppelohkái	1
Guoktilaččat	2
Guoktilaš	1
Guorahala	2
Guorahallet	2
Guorahallos	1
Guoskkahehket	1
Guoská	1
Guovdi	4
Guovllugonagas	1
Guovtti	1
Guovttis	1
Guođoheaddjit	2
Guđat	4
Guđiid	1
Guđđot	1
Gáddibehtet	1
Gáhtet	1
Gáidet	3
Gárvodehket	2
Gásttain	1
Gásttašeaddji	3
Gávcci	1
Gávccát	2
Gávpoga	3
Gávpogis	2
Gávpot	3
Gávpotmuvrra	1
Gávppašehket	1
Hagar	2
Hakeldaman	1
Halleluja	4
Hamora	1
Hannas	3
Hannasa	1
Harmageddonin	1
Headjamállásat	1
Heagga	1
Heahpadis	1
Heahpankeahttá	1
Heaittihit	1
Heajos	1
Hearrá	511
Hearrái	40
Hearráid	1
Hearráin	2
Hearrámet	58
Hearrán	6
Hearrás	35
Hearráseamet	1
Hearrásteamet	5
Hearrástis	1
Hearvásin	1
Hearvásvuođa	1
Heitos	1
Heive	1
Hellasii	1
Henok	3
Hermasii	1
Hermesii	1
Hermesin	1
Hermogenes	1
Herodes	40
Herodesa	11
Herodesii	1
Herodias	1
Herodiasa	4
Herodiasain	1
Herodionii	1
Hesli	1
Hesron	2
Hesronii	1
Hierapolisas	1
Hilggo	1
Hilgot	1
Hiskia	1
Hiskiai	1
Hosea	1
Hosianna	6
Hui	1
Hymenaios	2
Háhket	2
Hálddahusolbmát	1
Hálidehpet	1
Hárjehala	1
Hárpačuojaheddjiid	1
Hávddit	1
Hávdi	1
Idja	3
Idumeas	1
Ieš	11
Ieža	5
Iežas	1
Ihkku	2
Ii	224
Ijatbeaivvi	3
Ikoniona	1
Ikonionas	3
Ikonionii	2
Ikte	1
Illudahte	1
Illudehket	10
Illudehkot	1
Illut	2
Illyria	1
Illá	3
Imaštallabehtet	1
Immanuelin	1
In	57
Ipmil	466
Ipmila	771
Ipmilan	12
Ipmilasamet	2
Ipmilasaset	1
Ipmilat	8
Ipmilbilkádusa	1
Ipmilbálvalus	1
Ipmileamet	9
Ipmileattet	1
Ipmilii	103
Ipmiliin	5
Ipmiliinnát	1
Ipmilin	7
Ipmilis	77
Ipmirdehpet	1
Irgi	2
Isai	1
Isaj	1
Isaja	2
Isajii	1
Isidat	2
Isit	6
Isitvuođain	1
Iskariot	8
Iskariota	3
Israel	5
Israela	43
Israelas	5
Israelii	5
Israeliin	1
Israelis	3
Israellaččat	5
Issáha	11
Issáhii	1
Issáhiin	3
Issát	5
It	35
Italiai	2
Italias	2
Itureas	1
Iđedis	3
Iđitguovssu	1
Ja	509
Jairos	2
Jalgejehket	1
Jallat	2
Jambres	1
Jannai	1
Jannes	1
Jason	2
Jasona	2
Jasonis	1
Jearat	1
Jefta	1
Jekonja	1
Jered	1
Jeremia	2
Jeremian	1
Jeriko	1
Jerikoi	4
Jerikos	1
Jerret	1
Jerusalem	7
Jerusalema	23
Jerusalemii	62
Jerusalemis	49
Jesabela	1
Jesaja	22
Jesus	881
Jesusa	287
Jesusii	42
Jesusiin	12
Jesusin	2
Jesusis	49
Jierpmehis	1
Jierpmálaččat	1
Jietna	4
Jissakara	1
Jo	1
Joba	1
Joda	1
Joel	1
Jogo	2
Johanan	1
Johanas	75
Johanasa	57
Johanasain	1
Johanasas	5
Johanassan	4
Johanassii	5
Johka	1
Johtet	1
Johtilis	1
Johánná	2
Jojakinii	1
Jona	10
Jonam	1
Joppe	4
Joppes	2
Joppii	5
Joram	1
Joramii	1
Jordana	10
Jordaneanus	3
Jordangáddái	1
Jordanis	1
Jorgal	4
Jorgalehket	4
Jorim	1
Jos	331
Josek	1
Josva	3
Jotam	1
Jotamii	1
Jotket	1
Jotkot	1
Jovsseha	9
Jovssehii	4
Jovssehiin	2
Jovssesa	3
Jovsset	24
Jovsset-nammasaš	1
Jošafat	1
Jošafatii	1
Jošia	1
Jošiai	1
Juda	9
Judai	1
Judas	29
Judasa	8
Judasii	1
Judasis	1
Judea	16
Judeai	6
Judeas	24
Juhket	1
Juliasii	1
Julius	1
Julius-nammasaš	1
Jumešipmiliid	1
Jumežin	3
Juniasii	1
Juo	5
Juoga	1
Juohke	26
Juohkehaččas	2
