Grapheme	Frequency	Codepoint	UnicodeName
⁠	7	U+2060	WORD JOINER
‏	1	U+200F	RIGHT-TO-LEFT MARK
 	217206	U+0020	SPACE
،	6763	U+060C	ARABIC COMMA
:	20	U+003A	COLON
!	631	U+0021	EXCLAMATION MARK
؟	950	U+061F	ARABIC QUESTION MARK
.	9617	U+002E	FULL STOP
‘	427	U+2018	LEFT SINGLE QUOTATION MARK
’	427	U+2019	RIGHT SINGLE QUOTATION MARK
“	2088	U+201C	LEFT DOUBLE QUOTATION MARK
”	2089	U+201D	RIGHT DOUBLE QUOTATION MARK
(	5	U+0028	LEFT PARENTHESIS
)	5	U+0029	RIGHT PARENTHESIS
۱	1	U+06F1	EXTENDED ARABIC-INDIC DIGIT ONE
۲	1	U+06F2	EXTENDED ARABIC-INDIC DIGIT TWO
۳	1	U+06F3	EXTENDED ARABIC-INDIC DIGIT THREE
۵	1	U+06F5	EXTENDED ARABIC-INDIC DIGIT FIVE
ء	6	U+0621	ARABIC LETTER HAMZA
ءٌ	1392	U+0621, U+064C	ARABIC LETTER HAMZA, ARABIC DAMMATAN
ءَ	4032	U+0621, U+064E	ARABIC LETTER HAMZA, ARABIC FATHA
ءُ	704	U+0621, U+064F	ARABIC LETTER HAMZA, ARABIC DAMMA
ءِ	3671	U+0621, U+0650	ARABIC LETTER HAMZA, ARABIC KASRA
۽	5580	U+06FD	ARABIC SIGN SINDHI AMPERSAND
آ	9033	U+0622	ARABIC LETTER ALEF WITH MADDA ABOVE
ؤ	90	U+0648, U+0654	ARABIC LETTER WAW, ARABIC HAMZA ABOVE
ئ	11260	U+0626	ARABIC LETTER YEH WITH HAMZA ABOVE
ئُ	13	U+0626, U+064F	ARABIC LETTER YEH WITH HAMZA ABOVE, ARABIC DAMMA
ئِ	1	U+0626, U+0650	ARABIC LETTER YEH WITH HAMZA ABOVE, ARABIC KASRA
ا	75937	U+0627	ARABIC LETTER ALEF
اً	5	U+0627, U+064B	ARABIC LETTER ALEF, ARABIC FATHATAN
اَ	10	U+0627, U+064E	ARABIC LETTER ALEF, ARABIC FATHA
اُ	327	U+0627, U+064F	ARABIC LETTER ALEF, ARABIC DAMMA
اِ	81	U+0627, U+0650	ARABIC LETTER ALEF, ARABIC KASRA
ب	10205	U+0628	ARABIC LETTER BEH
بُ	3	U+0628, U+064F	ARABIC LETTER BEH, ARABIC DAMMA
بِ	4	U+0628, U+0650	ARABIC LETTER BEH, ARABIC KASRA
ٻ	2876	U+067B	ARABIC LETTER BEEH
ٻَ	2	U+067B, U+064E	ARABIC LETTER BEEH, ARABIC FATHA
ٻُ	3	U+067B, U+064F	ARABIC LETTER BEEH, ARABIC DAMMA
پ	11723	U+067E	ARABIC LETTER PEH
پَ	1	U+067E, U+064E	ARABIC LETTER PEH, ARABIC FATHA
پُ	14	U+067E, U+064F	ARABIC LETTER PEH, ARABIC DAMMA
پِ	2	U+067E, U+0650	ARABIC LETTER PEH, ARABIC KASRA
ڀ	2226	U+0680	ARABIC LETTER BEHEH
ت	22216	U+062A	ARABIC LETTER TEH
تُ	8	U+062A, U+064F	ARABIC LETTER TEH, ARABIC DAMMA
تِ	1	U+062A, U+0650	ARABIC LETTER TEH, ARABIC KASRA
ث	314	U+062B	ARABIC LETTER THEH
ٺ	1730	U+067A	ARABIC LETTER TTEHEH
ٺُ	2	U+067A, U+064F	ARABIC LETTER TTEHEH, ARABIC DAMMA
ٽ	2250	U+067D	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
ٽُ	7	U+067D, U+064F	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS, ARABIC DAMMA
ٽِ	1	U+067D, U+0650	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS, ARABIC KASRA
ٿ	7683	U+067F	ARABIC LETTER TEHEH
ج	24468	U+062C	ARABIC LETTER JEEM
جَ	2	U+062C, U+064E	ARABIC LETTER JEEM, ARABIC FATHA
جِ	7	U+062C, U+0650	ARABIC LETTER JEEM, ARABIC KASRA
ڃ	1234	U+0683	ARABIC LETTER NYEH
ڄ	951	U+0684	ARABIC LETTER DYEH
چ	4851	U+0686	ARABIC LETTER TCHEH
چُ	6	U+0686, U+064F	ARABIC LETTER TCHEH, ARABIC DAMMA
چِ	2	U+0686, U+0650	ARABIC LETTER TCHEH, ARABIC KASRA
ڇ	3250	U+0687	ARABIC LETTER TCHEHEH
ڇُ	3	U+0687, U+064F	ARABIC LETTER TCHEHEH, ARABIC DAMMA
ح	3460	U+062D	ARABIC LETTER HAH
خ	5198	U+062E	ARABIC LETTER KHAH
خِ	5	U+062E, U+0650	ARABIC LETTER KHAH, ARABIC KASRA
د	15785	U+062F	ARABIC LETTER DAL
ذ	317	U+0630	ARABIC LETTER THAL
ڊ	541	U+068A	ARABIC LETTER DAL WITH DOT BELOW
ڌ	2077	U+068C	ARABIC LETTER DAHAL
ڌُ	1	U+068C, U+064F	ARABIC LETTER DAHAL, ARABIC DAMMA
ڌِ	1	U+068C, U+0650	ARABIC LETTER DAHAL, ARABIC KASRA
ڍ	642	U+068D	ARABIC LETTER DDAHAL
ڍُ	1	U+068D, U+064F	ARABIC LETTER DDAHAL, ARABIC DAMMA
ڏ	8342	U+068F	ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
ر	28140	U+0631	ARABIC LETTER REH
رَ	4	U+0631, U+064E	ARABIC LETTER REH, ARABIC FATHA
رُ	4	U+0631, U+064F	ARABIC LETTER REH, ARABIC DAMMA
رِ	15	U+0631, U+0650	ARABIC LETTER REH, ARABIC KASRA
ز	2382	U+0632	ARABIC LETTER ZAIN
