	34
!	617
(	5
)	5
.	9475
:	15
،	6495
؟	939
آ	1
آءٌ	1361
آئي	58
آئي.شائول	1
آئيندہ	4
آئيني	3
آب	1
آباد	3
آبرو	1
آبِ	4
آتا	2
آجا	1
آجو	1
آجيان	4
آحز	2
آخر	21
آخرت	23
آخري	13
آخرين	2
آخرڪار	11
آدم	100
آدمشماري	2
آرام	40
آرزو	2
آزاد	57
آزادن	2
آزادي	10
آزاديءَ	5
آزار	2
آزماءِ	2
آزمائجي	1
آزمائش	30
آزمائشن	4
آزمائي	8
آزمائيندو	1
آزمائڻ	12
آزمايا	1
آزمايان	2
آزمايو	8
آزمودو	2
آزمودي	2
آزيون	2
آس	5
آسا	2
آسان	1
آسانيءَ	2
آسرو	4
آسس	3
آسمان	257
آسمانن	4
آسمانو	1
آسماني	28
آسودا	1
آسودو	1
آسودگي	1
آشر	2
آفت	3
آفتن	5
آفتون	9
آفيسر	6
آقا	1
آلا	1
آمون	2
آمين	29
آمھون	1
آندا	5
آندائون	4
آندائين	3
آندو	111
آندي	2
آنڊا	1
آواز	121
آواز.راخل	1
آوازن	1
آيا	214
آيا،حاڪم	1
آياسين	7
آيس	25
آيل	7
آيم	1
آين	4
آيو	329
آيو.عيد	1
آيو،ڏاڍي	1
آيون	15
آٿس	2
آچر	7
آڇ	1
آڇي	1
آڇيائين	1
آڌرڀاءُ	12
آڏو	35
آڏومٿن	1
آڙ	3
آکاڻين	5
آکيرا	2
آکيرو	1
آگاھہ	1
آڱر	5
آڱريون	1
آڳاٽن	2
آڳاٽي	1
آڳيل	3
آڻ	2
آڻجو	2
آڻي	72
آڻيان	5
آڻين	29
آڻيندا	15
آڻينداسون	1
آڻينداسين	1
آڻيندو	12
آڻيندو،سو	2
آڻيندي	1
آڻيندينءَ	1
آڻيندڙ	12
آڻيندڙن	7
آڻيو	32
آڻيون	11
آڻڻ	35
آڻڻو	1
آھر	13
آھستي	4
آھن	863
آھن.آءٌ	1
آھن.انھن	2
آھن.انھيءَ	1
آھن.اوھان	1
آھن.اي	1
آھن.شل	1
آھن.پر	1
آھن.ڇاڪاڻ	1
آھن.ڪوبہ	1
آھن.ھُن	1
آھن،تن	1
آھن،تہ	1
آھن،سا	1
آھن،سو	1
آھن،يعني	1
آھن،ڇالاءِ	5
آھنتن	1
آھي	3718
آھي.آءٌ	1
آھي.انھيءَ	1
آھي.اي	3
آھي.جيڪو	1
آھي.دنيا	1
آھي.سو	2
آھي.شل	3
آھي.ڇالاءِ	1
آھي.گاھہ	1
آھي.ھن	1
آھي.ھو	2
آھي.ھي	3
آھي.“”چڱو	1
آھي،آءٌ	2
آھي،انھيءَ	2
آھي،اُھي	1
آھي،تان	1
آھي،تنھن	2
آھي،تھڙيءَ	1
آھي،تہ	5
آھي،جنھن	3
آھي،جو	2
آھي،جيڪو	2
آھي،جڏھن	1
آھي،سا	1
آھي،سو	2
آھي،سڀيئي	1
آھي،محبت	1
آھي،پنھنجي	1
آھي،ڇالاءِ	1
آھي،ڇوتہ	1
آھي،ڪنھن	1
آھي،ڪوبہ	1
آھي،ھن	2
آھي؟ڪير	1
آھي؟’جنھن	1
آھي؟“پوءِ	1
آھيان	364
آھيان.آءٌ	2
آھيان،انھيءَ	1
آھين	138
آھين.سڀيئي	1
آھين.ڇالاءِ	2
آھين،اڄ	2
آھين،شل	1
آھين،ڇالاءِ	1
آھيو	261
آھيو،ڇالاءِ	4
آھيو،‘انھيءَ	1
آھيون	160
آھيون.اسان	1
آھہ	1
آہ	2
ئي	1146
ئياھي	1
ئيوڏي	1
ائين	289
ابا	6
اباڻي	2
ابتدائي	6
ابتر	1
ابتي	1
ابتيون	1
ابتڙ	1
ابدون	1
ابدي	7
ابراھيم	99
ابليس	3
ابلينيءَ	1
ابن	130
ابي	2
ابيئود	2
ابياتر	1
ابياہ	3
اتان	60
اتانھين	1
اتر	3
اتفاق	1
اتم	1
اتي	208
اثر	21
اثرائتو	1
اثرائتي	1
اجائي	16
اجازت	22
اجايا	4
