Grapheme	Frequency	Codepoint	UnicodeName
 	773418	U+0020	SPACE
-	77	U+002D	HYPHEN-MINUS
—	5674	U+2014	EM DASH
,	51102	U+002C	COMMA
;	6138	U+003B	SEMICOLON
:	8714	U+003A	COLON
!	1872	U+0021	EXCLAMATION MARK
¡	1872	U+00A1	INVERTED EXCLAMATION MARK
?	2768	U+003F	QUESTION MARK
¿	2769	U+00BF	INVERTED QUESTION MARK
.	30644	U+002E	FULL STOP
…	6	U+2026	HORIZONTAL ELLIPSIS
“	12	U+201C	LEFT DOUBLE QUOTATION MARK
”	12	U+201D	RIGHT DOUBLE QUOTATION MARK
«	1553	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	1553	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	154	U+0028	LEFT PARENTHESIS
)	154	U+0029	RIGHT PARENTHESIS
[	220	U+005B	LEFT SQUARE BRACKET
]	220	U+005D	RIGHT SQUARE BRACKET
*	1	U+002A	ASTERISK
a	339904	U+0061	LATIN SMALL LETTER A
A	7353	U+0041	LATIN CAPITAL LETTER A
á	21724	U+00E1	LATIN SMALL LETTER A WITH ACUTE
Á	39	U+00C1	LATIN CAPITAL LETTER A WITH ACUTE
b	41532	U+0062	LATIN SMALL LETTER B
B	1920	U+0042	LATIN CAPITAL LETTER B
c	103125	U+0063	LATIN SMALL LETTER C
C	3447	U+0043	LATIN CAPITAL LETTER C
d	150489	U+0064	LATIN SMALL LETTER D
D	8136	U+0044	LATIN CAPITAL LETTER D
e	395307	U+0065	LATIN SMALL LETTER E
E	9142	U+0045	LATIN CAPITAL LETTER E
é	14966	U+00E9	LATIN SMALL LETTER E WITH ACUTE
É	383	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
f	16947	U+0066	LATIN SMALL LETTER F
F	387	U+0046	LATIN CAPITAL LETTER F
g	29492	U+0067	LATIN SMALL LETTER G
G	1063	U+0047	LATIN CAPITAL LETTER G
h	31770	U+0068	LATIN SMALL LETTER H
H	1746	U+0048	LATIN CAPITAL LETTER H
i	154366	U+0069	LATIN SMALL LETTER I
I	2423	U+0049	LATIN CAPITAL LETTER I
í	21723	U+00ED	LATIN SMALL LETTER I WITH ACUTE
Í	3	U+00CD	LATIN CAPITAL LETTER I WITH ACUTE
j	17723	U+006A	LATIN SMALL LETTER J
J	7370	U+004A	LATIN CAPITAL LETTER J
k	80	U+006B	LATIN SMALL LETTER K
K	19	U+004B	LATIN CAPITAL LETTER K
l	166428	U+006C	LATIN SMALL LETTER L
L	3750	U+004C	LATIN CAPITAL LETTER L
m	74061	U+006D	LATIN SMALL LETTER M
M	3820	U+004D	LATIN CAPITAL LETTER M
n	194085	U+006E	LATIN SMALL LETTER N
N	2644	U+004E	LATIN CAPITAL LETTER N
ñ	11891	U+00F1	LATIN SMALL LETTER N WITH TILDE
o	274495	U+006F	LATIN SMALL LETTER O
O	673	U+004F	LATIN CAPITAL LETTER O
ó	20130	U+00F3	LATIN SMALL LETTER O WITH ACUTE
Ó	6	U+00D3	LATIN CAPITAL LETTER O WITH ACUTE
p	65144	U+0070	LATIN SMALL LETTER P
P	5661	U+0050	LATIN CAPITAL LETTER P
q	31694	U+0071	LATIN SMALL LETTER Q
Q	1640	U+0051	LATIN CAPITAL LETTER Q
r	202582	U+0072	LATIN SMALL LETTER R
R	1071	U+0052	LATIN CAPITAL LETTER R
s	245105	U+0073	LATIN SMALL LETTER S
S	13505	U+0053	LATIN CAPITAL LETTER S
t	124462	U+0074	LATIN SMALL LETTER T
T	3442	U+0054	LATIN CAPITAL LETTER T
u	125686	U+0075	LATIN SMALL LETTER U
U	593	U+0055	LATIN CAPITAL LETTER U
ú	5194	U+00FA	LATIN SMALL LETTER U WITH ACUTE
Ú	9	U+00DA	LATIN CAPITAL LETTER U WITH ACUTE
ü	115	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS
v	28259	U+0076	LATIN SMALL LETTER V
V	778	U+0056	LATIN CAPITAL LETTER V
w	1	U+0077	LATIN SMALL LETTER W
W	1	U+0057	LATIN CAPITAL LETTER W
x	2203	U+0078	LATIN SMALL LETTER X
y	36022	U+0079	LATIN SMALL LETTER Y
Y	2830	U+0059	LATIN CAPITAL LETTER Y
z	10518	U+007A	LATIN SMALL LETTER Z
Z	361	U+005A	LATIN CAPITAL LETTER Z
