Grapheme	Frequency	Codepoint	UnicodeName
 	482429	U+0020	SPACE
-	181	U+002D	HYPHEN-MINUS
,	26626	U+002C	COMMA
;	12	U+003B	SEMICOLON
:	139	U+003A	COLON
!	610	U+0021	EXCLAMATION MARK
?	903	U+003F	QUESTION MARK
.	14208	U+002E	FULL STOP
‘	387	U+2018	LEFT SINGLE QUOTATION MARK
’	385	U+2019	RIGHT SINGLE QUOTATION MARK
“	1990	U+201C	LEFT DOUBLE QUOTATION MARK
”	1990	U+201D	RIGHT DOUBLE QUOTATION MARK
(	53	U+0028	LEFT PARENTHESIS
)	53	U+0029	RIGHT PARENTHESIS
[	32	U+005B	LEFT SQUARE BRACKET
]	32	U+005D	RIGHT SQUARE BRACKET
0	146	U+0030	DIGIT ZERO
1	25	U+0031	DIGIT ONE
2	21	U+0032	DIGIT TWO
3	5	U+0033	DIGIT THREE
4	15	U+0034	DIGIT FOUR
5	14	U+0035	DIGIT FIVE
6	5	U+0036	DIGIT SIX
7	6	U+0037	DIGIT SEVEN
8	2	U+0038	DIGIT EIGHT
a	211156	U+0061	LATIN SMALL LETTER A
A	1542	U+0041	LATIN CAPITAL LETTER A
b	843	U+0062	LATIN SMALL LETTER B
B	186	U+0042	LATIN CAPITAL LETTER B
d	13247	U+0064	LATIN SMALL LETTER D
D	234	U+0044	LATIN CAPITAL LETTER D
e	129427	U+0065	LATIN SMALL LETTER E
E	9778	U+0045	LATIN CAPITAL LETTER E
g	96435	U+0067	LATIN SMALL LETTER G
G	252	U+0047	LATIN CAPITAL LETTER G
h	37062	U+0068	LATIN SMALL LETTER H
H	1904	U+0048	LATIN CAPITAL LETTER H
i	62727	U+0069	LATIN SMALL LETTER I
I	2710	U+0049	LATIN CAPITAL LETTER I
k	170233	U+006B	LATIN SMALL LETTER K
K	2993	U+004B	LATIN CAPITAL LETTER K
l	46486	U+006C	LATIN SMALL LETTER L
L	282	U+004C	LATIN CAPITAL LETTER L
m	128138	U+006D	LATIN SMALL LETTER M
M	2304	U+004D	LATIN CAPITAL LETTER M
n	140001	U+006E	LATIN SMALL LETTER N
N	9557	U+004E	LATIN CAPITAL LETTER N
o	142548	U+006F	LATIN SMALL LETTER O
O	960	U+004F	LATIN CAPITAL LETTER O
p	27362	U+0070	LATIN SMALL LETTER P
P	1281	U+0050	LATIN CAPITAL LETTER P
r	94326	U+0072	LATIN SMALL LETTER R
R	279	U+0052	LATIN CAPITAL LETTER R
s	30723	U+0073	LATIN SMALL LETTER S
S	1019	U+0053	LATIN CAPITAL LETTER S
t	94540	U+0074	LATIN SMALL LETTER T
T	4193	U+0054	LATIN CAPITAL LETTER T
u	70669	U+0075	LATIN SMALL LETTER U
U	7	U+0055	LATIN CAPITAL LETTER U
v	27804	U+0076	LATIN SMALL LETTER V
V	4053	U+0056	LATIN CAPITAL LETTER V
y	5055	U+0079	LATIN SMALL LETTER Y
Y	5127	U+0059	LATIN CAPITAL LETTER Y
