Grapheme	Frequency	Codepoint	UnicodeName
 	286689	U+0020	SPACE
-	237	U+002D	HYPHEN-MINUS
‐	3051	U+2010	HYPHEN
—	58	U+2014	EM DASH
―	2	U+2015	HORIZONTAL BAR
,	28149	U+002C	COMMA
;	2113	U+003B	SEMICOLON
:	1694	U+003A	COLON
!	484	U+0021	EXCLAMATION MARK
?	1314	U+003F	QUESTION MARK
.	10562	U+002E	FULL STOP
‘	465	U+2018	LEFT SINGLE QUOTATION MARK
’	1659	U+2019	RIGHT SINGLE QUOTATION MARK
“	2746	U+201C	LEFT DOUBLE QUOTATION MARK
”	2520	U+201D	RIGHT DOUBLE QUOTATION MARK
(	114	U+0028	LEFT PARENTHESIS
)	114	U+0029	RIGHT PARENTHESIS
0	8	U+0030	DIGIT ZERO
3	2	U+0033	DIGIT THREE
4	1	U+0034	DIGIT FOUR
5	4	U+0035	DIGIT FIVE
6	1	U+0036	DIGIT SIX
8	1	U+0038	DIGIT EIGHT
a	269841	U+0061	LATIN SMALL LETTER A
A	4147	U+0041	LATIN CAPITAL LETTER A
b	41156	U+0062	LATIN SMALL LETTER B
B	490	U+0042	LATIN CAPITAL LETTER B
c	2	U+0063	LATIN SMALL LETTER C
d	36393	U+0064	LATIN SMALL LETTER D
D	409	U+0044	LATIN CAPITAL LETTER D
e	122616	U+0065	LATIN SMALL LETTER E
E	4755	U+0045	LATIN CAPITAL LETTER E
f	94	U+0066	LATIN SMALL LETTER F
F	8	U+0046	LATIN CAPITAL LETTER F
g	33002	U+0067	LATIN SMALL LETTER G
G	2230	U+0047	LATIN CAPITAL LETTER G
h	26387	U+0068	LATIN SMALL LETTER H
H	858	U+0048	LATIN CAPITAL LETTER H
i	159290	U+0069	LATIN SMALL LETTER I
I	6112	U+0049	LATIN CAPITAL LETTER I
k	2764	U+006B	LATIN SMALL LETTER K
K	1031	U+004B	LATIN CAPITAL LETTER K
l	24940	U+006C	LATIN SMALL LETTER L
L	385	U+004C	LATIN CAPITAL LETTER L
m	37034	U+006D	LATIN SMALL LETTER M
M	1382	U+004D	LATIN CAPITAL LETTER M
n	66089	U+006E	LATIN SMALL LETTER N
N	1550	U+004E	LATIN CAPITAL LETTER N
o	69296	U+006F	LATIN SMALL LETTER O
O	518	U+004F	LATIN CAPITAL LETTER O
p	6575	U+0070	LATIN SMALL LETTER P
P	1422	U+0050	LATIN CAPITAL LETTER P
r	36631	U+0072	LATIN SMALL LETTER R
R	296	U+0052	LATIN CAPITAL LETTER R
s	40030	U+0073	LATIN SMALL LETTER S
S	1205	U+0053	LATIN CAPITAL LETTER S
t	40155	U+0074	LATIN SMALL LETTER T
T	2365	U+0054	LATIN CAPITAL LETTER T
u	76881	U+0075	LATIN SMALL LETTER U
U	1837	U+0055	LATIN CAPITAL LETTER U
v	1082	U+0076	LATIN SMALL LETTER V
V	126	U+0056	LATIN CAPITAL LETTER V
w	9816	U+0077	LATIN SMALL LETTER W
W	175	U+0057	LATIN CAPITAL LETTER W
x	2	U+0078	LATIN SMALL LETTER X
y	3303	U+0079	LATIN SMALL LETTER Y
Y	1	U+0059	LATIN CAPITAL LETTER Y
z	2	U+007A	LATIN SMALL LETTER Z
