Grapheme	Frequency	Codepoint	UnicodeName
​	83	U+200B	ZERO WIDTH SPACE
 	258351	U+0020	SPACE
,	12	U+002C	COMMA
.	20682	U+002E	FULL STOP
‘	395	U+2018	LEFT SINGLE QUOTATION MARK
’	395	U+2019	RIGHT SINGLE QUOTATION MARK
“	1926	U+201C	LEFT DOUBLE QUOTATION MARK
”	1926	U+201D	RIGHT DOUBLE QUOTATION MARK
(	119	U+0028	LEFT PARENTHESIS
)	119	U+0029	RIGHT PARENTHESIS
ๆ	1311	U+0E46	THAI CHARACTER MAIYAMOK
0	36	U+0030	DIGIT ZERO
1	12	U+0031	DIGIT ONE
2	12	U+0032	DIGIT TWO
ก	24010	U+0E01	THAI CHARACTER KO KAI
ก็	4267	U+0E01, U+0E47	THAI CHARACTER KO KAI, THAI CHARACTER MAITAIKHU
ก่	496	U+0E01, U+0E48	THAI CHARACTER KO KAI, THAI CHARACTER MAI EK
ก้	205	U+0E01, U+0E49	THAI CHARACTER KO KAI, THAI CHARACTER MAI THO
ก์	71	U+0E01, U+0E4C	THAI CHARACTER KO KAI, THAI CHARACTER THANTHAKHAT
กั	4431	U+0E01, U+0E31	THAI CHARACTER KO KAI, THAI CHARACTER MAI HAN-AKAT
กั้	2	U+0E01, U+0E31, U+0E49	THAI CHARACTER KO KAI, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO
กำ	562	U+0E01, U+0E33	THAI CHARACTER KO KAI, THAI CHARACTER SARA AM
กิ	804	U+0E01, U+0E34	THAI CHARACTER KO KAI, THAI CHARACTER SARA I
กิ่	32	U+0E01, U+0E34, U+0E48	THAI CHARACTER KO KAI, THAI CHARACTER SARA I, THAI CHARACTER MAI EK
กี	238	U+0E01, U+0E35	THAI CHARACTER KO KAI, THAI CHARACTER SARA II
กี่	219	U+0E01, U+0E35, U+0E48	THAI CHARACTER KO KAI, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
กึ	6	U+0E01, U+0E36	THAI CHARACTER KO KAI, THAI CHARACTER SARA UE
กื	19	U+0E01, U+0E37	THAI CHARACTER KO KAI, THAI CHARACTER SARA UEE
กุ	37	U+0E01, U+0E38	THAI CHARACTER KO KAI, THAI CHARACTER SARA U
กู	9	U+0E01, U+0E39	THAI CHARACTER KO KAI, THAI CHARACTER SARA UU
กู้	6	U+0E01, U+0E39, U+0E49	THAI CHARACTER KO KAI, THAI CHARACTER SARA UU, THAI CHARACTER MAI THO
ข	10474	U+0E02	THAI CHARACTER KHO KHAI
ข็	61	U+0E02, U+0E47	THAI CHARACTER KHO KHAI, THAI CHARACTER MAITAIKHU
ข่	305	U+0E02, U+0E48	THAI CHARACTER KHO KHAI, THAI CHARACTER MAI EK
ข้	1188	U+0E02, U+0E49	THAI CHARACTER KHO KHAI, THAI CHARACTER MAI THO
ข์	159	U+0E02, U+0E4C	THAI CHARACTER KHO KHAI, THAI CHARACTER THANTHAKHAT
ขั	180	U+0E02, U+0E31	THAI CHARACTER KHO KHAI, THAI CHARACTER MAI HAN-AKAT
ขั้	5	U+0E02, U+0E31, U+0E49	THAI CHARACTER KHO KHAI, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO
ขิ	1	U+0E02, U+0E34	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA I
ขี	250	U+0E02, U+0E35	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA II
ขี่	35	U+0E02, U+0E35, U+0E48	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
ขี้	57	U+0E02, U+0E35, U+0E49	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA II, THAI CHARACTER MAI THO
ขึ	1	U+0E02, U+0E36	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA UE
ขึ้	1068	U+0E02, U+0E36, U+0E49	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA UE, THAI CHARACTER MAI THO
ขื	7	U+0E02, U+0E37	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA UEE
ขื่	6	U+0E02, U+0E37, U+0E48	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK
ขุ	12	U+0E02, U+0E38	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA U
ขุ่	2	U+0E02, U+0E38, U+0E48	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA U, THAI CHARACTER MAI EK
ขู่	9	U+0E02, U+0E39, U+0E48	THAI CHARACTER KHO KHAI, THAI CHARACTER SARA UU, THAI CHARACTER MAI EK
ค	11413	U+0E04	THAI CHARACTER KHO KHWAI
ค็	8	U+0E04, U+0E47	THAI CHARACTER KHO KHWAI, THAI CHARACTER MAITAIKHU
ค่	251	U+0E04, U+0E48	THAI CHARACTER KHO KHWAI, THAI CHARACTER MAI EK
ค้	68	U+0E04, U+0E49	THAI CHARACTER KHO KHWAI, THAI CHARACTER MAI THO
ค์	3741	U+0E04, U+0E4C	THAI CHARACTER KHO KHWAI, THAI CHARACTER THANTHAKHAT
คั	289	U+0E04, U+0E31	THAI CHARACTER KHO KHWAI, THAI CHARACTER MAI HAN-AKAT
คั่	10	U+0E04, U+0E31, U+0E48	THAI CHARACTER KHO KHWAI, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI EK
คั้	2	U+0E04, U+0E31, U+0E49	THAI CHARACTER KHO KHWAI, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO
คำ	633	U+0E04, U+0E33	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA AM
ค่ำ	2	U+0E04, U+0E48, U+0E33	THAI CHARACTER KHO KHWAI, THAI CHARACTER MAI EK, THAI CHARACTER SARA AM
ค้ำ	1	U+0E04, U+0E49, U+0E33	THAI CHARACTER KHO KHWAI, THAI CHARACTER MAI THO, THAI CHARACTER SARA AM
คิ	330	U+0E04, U+0E34	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA I
คี	40	U+0E04, U+0E35	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA II
คี่	1	U+0E04, U+0E35, U+0E48	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
