(	119
)	119
.	20682
12,000	12
กก	7
กค	4
กคนชั่	1
กจ	7
กช	1
กฎ	375
กฎหมาย	4
กฎเกณฑ์	2
กฏ	1
กด	3
กดขี่	10
กดดัน	1
กตัญญู	2
กติกา	1
กธุ	1
กนก	1
กบ	1
กบฏ	6
กฝู	1
กพ	1
กย	2
กยิ่	1
กร	6
กรณี	2
กรบ	2
กรม	1
กรรม	4
กรวม	1
กรอ	2
กรอง	1
กระ	4
กระจก	3
กระจอก	5
กระจัด	10
กระจาย	22
กระฉ่อน	1
กระชาก	2
กระซิบ	2
กระดาน	2
กระดาษ	1
กระดูก	5
กระด้าง	6
กระตือรือร้น	4
กระตุก	2
กระตุ้น	6
กระถาง	3
กระทบ	2
กระทั่ง	13
กระทำ	52
กระทุ้ง	1
กระบอง	7
กระพือ	1
กระสอบ	4
กระหน่ำ	2
กระหาย	12
กระเจิง	2
กระเจิดกระเจิง	4
กระเช้า	1
กระเดื่อง	2
กระเป๋า	3
กระเพื่อม	1
กระแทก	2
กระแสน้ำ	2
กระแสลม	5
กระโจน	1
กระโดด	8
กรับ	14
กราก	1
กราบ	78
กราว	1
กริบ	7
กรี	1
กรีก	32
กรีด	5
กรุง	8
กรุณา	108
กรู	6
กร่าง	17
กฤษณา	1
กล	7
กลบเกลื่อน	1
กลม	1
กลมเกลียว	1
กลอง	3
กลอน	3
กลับ	524
กลัว	129
กลา	1
กลาง	18
กลางคืน	23
กลางวัน	14
กลาย	75
กลิ่น	8
กลิ้ง	8
กลืน	3
กลุ่	5
กลุ่ม	54
กลุ้ม	9
กล่อง	7
กล่าว	3
กล่าวหา	39
กล่าวโทษ	6
กล้า	64
กวดขัน	1
กวน	1
กวาด	5
กวี	1
กว่า	582
กว้าง	15
กษัตริย์	226
กส	3
กส์	3
กส์ก็	2
กส์จะ	1
กส์จา	1
กส์ทิ้ง	1
กส์มา	1
กส์ว่า	1
กส์อยาก	1
กส์อย่าง	1
กส์เป็น	1
กอ	1
กอก	2
กอง	27
กองทัพ	11
กองร้อย	1
กอด	3
กอบ	45
กะ	4
กะโหลก	2
กั	26
กังวล	22
กัด	9
กัดฟัน	1
กัน	1099
กันดาร	5
กันลง	1
กันเอง	18
กับ	3044
กับดัก	6
กัปตัน	2
กัล	2
กัส	19
