Grapheme	Frequency	Codepoint	UnicodeName
 	859502	U+0020	SPACE
-	788	U+002D	HYPHEN-MINUS
,	71792	U+002C	COMMA
;	9841	U+003B	SEMICOLON
:	4629	U+003A	COLON
!	1218	U+0021	EXCLAMATION MARK
?	3240	U+003F	QUESTION MARK
.	32316	U+002E	FULL STOP
'	203158	U+0027	APOSTROPHE
(	256	U+0028	LEFT PARENTHESIS
)	256	U+0029	RIGHT PARENTHESIS
a	390284	U+0061	LATIN SMALL LETTER A
A	5088	U+0041	LATIN CAPITAL LETTER A
b	40391	U+0062	LATIN SMALL LETTER B
B	2147	U+0042	LATIN CAPITAL LETTER B
c	96859	U+0063	LATIN SMALL LETTER C
C	1385	U+0043	LATIN CAPITAL LETTER C
d	38698	U+0064	LATIN SMALL LETTER D
D	127065	U+0044	LATIN CAPITAL LETTER D
e	281820	U+0065	LATIN SMALL LETTER E
E	2410	U+0045	LATIN CAPITAL LETTER E
f	12962	U+0066	LATIN SMALL LETTER F
F	133	U+0046	LATIN CAPITAL LETTER F
g	111535	U+0067	LATIN SMALL LETTER G
G	1351	U+0047	LATIN CAPITAL LETTER G
h	274001	U+0068	LATIN SMALL LETTER H
H	155855	U+0048	LATIN CAPITAL LETTER H
i	69881	U+0069	LATIN SMALL LETTER I
I	68891	U+0049	LATIN CAPITAL LETTER I
j	145712	U+006A	LATIN SMALL LETTER J
J	6365	U+004A	LATIN CAPITAL LETTER J
k	7742	U+006B	LATIN SMALL LETTER K
K	530	U+004B	LATIN CAPITAL LETTER K
l	104245	U+006C	LATIN SMALL LETTER L
L	937	U+004C	LATIN CAPITAL LETTER L
m	68856	U+006D	LATIN SMALL LETTER M
M	2781	U+004D	LATIN CAPITAL LETTER M
n	91870	U+006E	LATIN SMALL LETTER N
N	1017	U+004E	LATIN CAPITAL LETTER N
o	202265	U+006F	LATIN SMALL LETTER O
O	367	U+004F	LATIN CAPITAL LETTER O
p	66334	U+0070	LATIN SMALL LETTER P
P	1856	U+0050	LATIN CAPITAL LETTER P
q	89316	U+0071	LATIN SMALL LETTER Q
Q	11172	U+0051	LATIN CAPITAL LETTER Q
r	81484	U+0072	LATIN SMALL LETTER R
R	752	U+0052	LATIN CAPITAL LETTER R
s	81893	U+0073	LATIN SMALL LETTER S
S	42127	U+0053	LATIN CAPITAL LETTER S
t	204726	U+0074	LATIN SMALL LETTER T
T	4574	U+0054	LATIN CAPITAL LETTER T
u	91914	U+0075	LATIN SMALL LETTER U
U	225	U+0055	LATIN CAPITAL LETTER U
v	101433	U+0076	LATIN SMALL LETTER V
V	39	U+0056	LATIN CAPITAL LETTER V
w	31326	U+0077	LATIN SMALL LETTER W
W	336	U+0057	LATIN CAPITAL LETTER W
x	1255	U+0078	LATIN SMALL LETTER X
y	36748	U+0079	LATIN SMALL LETTER Y
Y	315	U+0059	LATIN CAPITAL LETTER Y
z	2271	U+007A	LATIN SMALL LETTER Z
Z	899	U+005A	LATIN CAPITAL LETTER Z
