Grapheme	Frequency	Codepoint	UnicodeName
 	388833	U+0020	SPACE
,	25763	U+002C	COMMA
!	241	U+0021	EXCLAMATION MARK
?	819	U+003F	QUESTION MARK
.	14649	U+002E	FULL STOP
‘	402	U+2018	LEFT SINGLE QUOTATION MARK
’	375	U+2019	RIGHT SINGLE QUOTATION MARK
“	2234	U+201C	LEFT DOUBLE QUOTATION MARK
”	2055	U+201D	RIGHT DOUBLE QUOTATION MARK
0	369	U+0030	DIGIT ZERO
1	73	U+0031	DIGIT ONE
2	56	U+0032	DIGIT TWO
3	28	U+0033	DIGIT THREE
4	50	U+0034	DIGIT FOUR
5	30	U+0035	DIGIT FIVE
6	17	U+0036	DIGIT SIX
7	9	U+0037	DIGIT SEVEN
8	6	U+0038	DIGIT EIGHT
9	16	U+0039	DIGIT NINE
a	163694	U+0061	LATIN SMALL LETTER A
A	3250	U+0041	LATIN CAPITAL LETTER A
b	357	U+0062	LATIN SMALL LETTER B
B	178	U+0042	LATIN CAPITAL LETTER B
d	240	U+0064	LATIN SMALL LETTER D
D	135	U+0044	LATIN CAPITAL LETTER D
e	128355	U+0065	LATIN SMALL LETTER E
E	6479	U+0045	LATIN CAPITAL LETTER E
ë	29927	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS
Ë	121	U+00CB	LATIN CAPITAL LETTER E WITH DIAERESIS
f	97	U+0066	LATIN SMALL LETTER F
F	104	U+0046	LATIN CAPITAL LETTER F
g	105	U+0067	LATIN SMALL LETTER G
G	171	U+0047	LATIN CAPITAL LETTER G
h	62064	U+0068	LATIN SMALL LETTER H
H	380	U+0048	LATIN CAPITAL LETTER H
i	41321	U+0069	LATIN SMALL LETTER I
I	5747	U+0049	LATIN CAPITAL LETTER I
j	42	U+006A	LATIN SMALL LETTER J
J	1379	U+004A	LATIN CAPITAL LETTER J
k	48469	U+006B	LATIN SMALL LETTER K
K	5002	U+004B	LATIN CAPITAL LETTER K
l	1778	U+006C	LATIN SMALL LETTER L
L	139	U+004C	LATIN CAPITAL LETTER L
m	53439	U+006D	LATIN SMALL LETTER M
M	1382	U+004D	LATIN CAPITAL LETTER M
n	111913	U+006E	LATIN SMALL LETTER N
N	271	U+004E	LATIN CAPITAL LETTER N
o	104354	U+006F	LATIN SMALL LETTER O
O	858	U+004F	LATIN CAPITAL LETTER O
ö	30216	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
Ö	25	U+00D6	LATIN CAPITAL LETTER O WITH DIAERESIS
p	63881	U+0070	LATIN SMALL LETTER P
P	2134	U+0050	LATIN CAPITAL LETTER P
q	1	U+0071	LATIN SMALL LETTER Q
r	23335	U+0072	LATIN SMALL LETTER R
R	92	U+0052	LATIN CAPITAL LETTER R
s	42151	U+0073	LATIN SMALL LETTER S
S	5645	U+0053	LATIN CAPITAL LETTER S
ß	52152	U+00DF	LATIN SMALL LETTER SHARP S
t	68683	U+0074	LATIN SMALL LETTER T
T	1480	U+0054	LATIN CAPITAL LETTER T
u	32435	U+0075	LATIN SMALL LETTER U
U	19	U+0055	LATIN CAPITAL LETTER U
v	47907	U+0076	LATIN SMALL LETTER V
V	1454	U+0056	LATIN CAPITAL LETTER V
w	3	U+0077	LATIN SMALL LETTER W
W	1	U+0057	LATIN CAPITAL LETTER W
y	1	U+0079	LATIN SMALL LETTER Y
Y	1	U+0059	LATIN CAPITAL LETTER Y
ꞌ	27	U+A78C	LATIN SMALL LETTER SALTILLO
