Grapheme	Frequency	Codepoint	UnicodeName
 	672482	U+0020	SPACE
-	49337	U+002D	HYPHEN-MINUS
–	15	U+2013	EN DASH
—	10045	U+2014	EM DASH
,	55610	U+002C	COMMA
;	2477	U+003B	SEMICOLON
:	8588	U+003A	COLON
!	4073	U+0021	EXCLAMATION MARK
?	3138	U+003F	QUESTION MARK
.	37278	U+002E	FULL STOP
‘	57	U+2018	LEFT SINGLE QUOTATION MARK
’	57	U+2019	RIGHT SINGLE QUOTATION MARK
“	1425	U+201C	LEFT DOUBLE QUOTATION MARK
„	1425	U+201E	DOUBLE LOW-9 QUOTATION MARK
«	6285	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	6283	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	494	U+0028	LEFT PARENTHESIS
)	494	U+0029	RIGHT PARENTHESIS
[	5	U+005B	LEFT SQUARE BRACKET
]	5	U+005D	RIGHT SQUARE BRACKET
{	25	U+007B	LEFT CURLY BRACKET
}	25	U+007D	RIGHT CURLY BRACKET
°	169	U+00B0	DEGREE SIGN
0	1630	U+0030	DIGIT ZERO
1	291	U+0031	DIGIT ONE
2	314	U+0032	DIGIT TWO
3	192	U+0033	DIGIT THREE
4	163	U+0034	DIGIT FOUR
5	195	U+0035	DIGIT FIVE
6	133	U+0036	DIGIT SIX
7	139	U+0037	DIGIT SEVEN
8	72	U+0038	DIGIT EIGHT
9	38	U+0039	DIGIT NINE
а	455733	U+0430	CYRILLIC SMALL LETTER A
А	8819	U+0410	CYRILLIC CAPITAL LETTER A
б	87996	U+0431	CYRILLIC SMALL LETTER BE
Б	12540	U+0411	CYRILLIC CAPITAL LETTER BE
в	23532	U+0432	CYRILLIC SMALL LETTER VE
В	1414	U+0412	CYRILLIC CAPITAL LETTER VE
г	160458	U+0433	CYRILLIC SMALL LETTER GHE
Г	1235	U+0413	CYRILLIC CAPITAL LETTER GHE
д	149773	U+0434	CYRILLIC SMALL LETTER DE
Д	10733	U+0414	CYRILLIC CAPITAL LETTER DE
е	210601	U+0435	CYRILLIC SMALL LETTER IE
Е	723	U+0415	CYRILLIC CAPITAL LETTER IE
ё	977	U+0451	CYRILLIC SMALL LETTER IO
Ё	4	U+0401	CYRILLIC CAPITAL LETTER IO
ж	30727	U+0436	CYRILLIC SMALL LETTER ZHE
з	48608	U+0437	CYRILLIC SMALL LETTER ZE
З	369	U+0417	CYRILLIC CAPITAL LETTER ZE
и	170620	U+0438	CYRILLIC SMALL LETTER I
И	9920	U+0418	CYRILLIC CAPITAL LETTER I
й	32908	U+0439	CYRILLIC SMALL LETTER SHORT I
Й	2	U+0419	CYRILLIC CAPITAL LETTER SHORT I
к	121806	U+043A	CYRILLIC SMALL LETTER KA
К	3087	U+041A	CYRILLIC CAPITAL LETTER KA
л	180301	U+043B	CYRILLIC SMALL LETTER EL
Л	598	U+041B	CYRILLIC CAPITAL LETTER EL
м	58892	U+043C	CYRILLIC SMALL LETTER EM
М	8957	U+041C	CYRILLIC CAPITAL LETTER EM
н	254656	U+043D	CYRILLIC SMALL LETTER EN
Н	951	U+041D	CYRILLIC CAPITAL LETTER EN
ң	79882	U+04A3	CYRILLIC SMALL LETTER EN WITH DESCENDER
о	111472	U+043E	CYRILLIC SMALL LETTER O
О	11992	U+041E	CYRILLIC CAPITAL LETTER O
ө	37341	U+04E9	CYRILLIC SMALL LETTER BARRED O
Ө	660	U+04E8	CYRILLIC CAPITAL LETTER BARRED O
п	69934	U+043F	CYRILLIC SMALL LETTER PE
П	750	U+041F	CYRILLIC CAPITAL LETTER PE
р	267672	U+0440	CYRILLIC SMALL LETTER ER
Р	651	U+0420	CYRILLIC CAPITAL LETTER ER
с	69262	U+0441	CYRILLIC SMALL LETTER ES
С	7313	U+0421	CYRILLIC CAPITAL LETTER ES
т	104743	U+0442	CYRILLIC SMALL LETTER TE
Т	924	U+0422	CYRILLIC CAPITAL LETTER TE
у	143716	U+0443	CYRILLIC SMALL LETTER U
У	736	U+0423	CYRILLIC CAPITAL LETTER U
ү	81805	U+04AF	CYRILLIC SMALL LETTER STRAIGHT U
Ү	207	U+04AE	CYRILLIC CAPITAL LETTER STRAIGHT U
ф	3251	U+0444	CYRILLIC SMALL LETTER EF
Ф	603	U+0424	CYRILLIC CAPITAL LETTER EF
х	32338	U+0445	CYRILLIC SMALL LETTER HA
Х	3377	U+0425	CYRILLIC CAPITAL LETTER HA
ц	394	U+0446	CYRILLIC SMALL LETTER TSE
Ц	167	U+0426	CYRILLIC CAPITAL LETTER TSE
ч	91407	U+0447	CYRILLIC SMALL LETTER CHE
Ч	9870	U+0427	CYRILLIC CAPITAL LETTER CHE
ш	49339	U+0448	CYRILLIC SMALL LETTER SHA
Ш	1119	U+0428	CYRILLIC CAPITAL LETTER SHA
ъ	1207	U+044A	CYRILLIC SMALL LETTER HARD SIGN
ы	201407	U+044B	CYRILLIC SMALL LETTER YERU
Ы	3440	U+042B	CYRILLIC CAPITAL LETTER YERU
ь	3199	U+044C	CYRILLIC SMALL LETTER SOFT SIGN
э	112640	U+044D	CYRILLIC SMALL LETTER E
Э	2082	U+042D	CYRILLIC CAPITAL LETTER E
ю	287	U+044E	CYRILLIC SMALL LETTER YU
Ю	7	U+042E	CYRILLIC CAPITAL LETTER YU
я	14260	U+044F	CYRILLIC SMALL LETTER YA
Я	116	U+042F	CYRILLIC CAPITAL LETTER YA
