Grapheme	Frequency	Codepoint	UnicodeName
 	223287	U+0020	SPACE
-	2621	U+002D	HYPHEN-MINUS
—	3924	U+2014	EM DASH
,	16352	U+002C	COMMA
;	33	U+003B	SEMICOLON
:	2683	U+003A	COLON
!	1509	U+0021	EXCLAMATION MARK
?	1187	U+003F	QUESTION MARK
.	15070	U+002E	FULL STOP
‹	48	U+2039	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
›	48	U+203A	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
«	1370	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	1368	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	67	U+0028	LEFT PARENTHESIS
)	67	U+0029	RIGHT PARENTHESIS
{	9	U+007B	LEFT CURLY BRACKET
}	9	U+007D	RIGHT CURLY BRACKET
0	47	U+0030	DIGIT ZERO
1	17	U+0031	DIGIT ONE
2	16	U+0032	DIGIT TWO
4	8	U+0034	DIGIT FOUR
6	5	U+0036	DIGIT SIX
а	105455	U+0430	CYRILLIC SMALL LETTER A
А	1413	U+0410	CYRILLIC CAPITAL LETTER A
ә	85210	U+04D9	CYRILLIC SMALL LETTER SCHWA
Ә	3759	U+04D8	CYRILLIC CAPITAL LETTER SCHWA
б	27196	U+0431	CYRILLIC SMALL LETTER BE
Б	3166	U+0411	CYRILLIC CAPITAL LETTER BE
в	11015	U+0432	CYRILLIC SMALL LETTER VE
В	29	U+0412	CYRILLIC CAPITAL LETTER VE
г	13179	U+0433	CYRILLIC SMALL LETTER GHE
Г	191	U+0413	CYRILLIC CAPITAL LETTER GHE
ғ	21558	U+0493	CYRILLIC SMALL LETTER GHE WITH STROKE
Ғ	86	U+0492	CYRILLIC CAPITAL LETTER GHE WITH STROKE
д	48855	U+0434	CYRILLIC SMALL LETTER DE
Д	388	U+0414	CYRILLIC CAPITAL LETTER DE
е	21874	U+0435	CYRILLIC SMALL LETTER IE
Е	203	U+0415	CYRILLIC CAPITAL LETTER IE
ё	1	U+0451	CYRILLIC SMALL LETTER IO
ж	1249	U+0436	CYRILLIC SMALL LETTER ZHE
Ж	40	U+0416	CYRILLIC CAPITAL LETTER ZHE
җ	3369	U+0497	CYRILLIC SMALL LETTER ZHE WITH DESCENDER
Җ	170	U+0496	CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
з	17513	U+0437	CYRILLIC SMALL LETTER ZE
З	149	U+0417	CYRILLIC CAPITAL LETTER ZE
и	187675	U+0438	CYRILLIC SMALL LETTER I
И	1107	U+0418	CYRILLIC CAPITAL LETTER I
й	24936	U+0439	CYRILLIC SMALL LETTER SHORT I
Й	1129	U+0419	CYRILLIC CAPITAL LETTER SHORT I
к	28376	U+043A	CYRILLIC SMALL LETTER KA
К	714	U+041A	CYRILLIC CAPITAL LETTER KA
қ	37523	U+049B	CYRILLIC SMALL LETTER KA WITH DESCENDER
Қ	857	U+049A	CYRILLIC CAPITAL LETTER KA WITH DESCENDER
л	78041	U+043B	CYRILLIC SMALL LETTER EL
Л	790	U+041B	CYRILLIC CAPITAL LETTER EL
м	35798	U+043C	CYRILLIC SMALL LETTER EM
М	4443	U+041C	CYRILLIC CAPITAL LETTER EM
н	82036	U+043D	CYRILLIC SMALL LETTER EN
Н	342	U+041D	CYRILLIC CAPITAL LETTER EN
ң	22602	U+04A3	CYRILLIC SMALL LETTER EN WITH DESCENDER
о	17671	U+043E	CYRILLIC SMALL LETTER O
О	373	U+041E	CYRILLIC CAPITAL LETTER O
ө	8674	U+04E9	CYRILLIC SMALL LETTER BARRED O
Ө	755	U+04E8	CYRILLIC CAPITAL LETTER BARRED O
п	21237	U+043F	CYRILLIC SMALL LETTER PE
П	1813	U+041F	CYRILLIC CAPITAL LETTER PE
р	66881	U+0440	CYRILLIC SMALL LETTER ER
Р	1057	U+0420	CYRILLIC CAPITAL LETTER ER
с	30114	U+0441	CYRILLIC SMALL LETTER ES
С	1757	U+0421	CYRILLIC CAPITAL LETTER ES
т	41846	U+0442	CYRILLIC SMALL LETTER TE
Т	827	U+0422	CYRILLIC CAPITAL LETTER TE
у	47734	U+0443	CYRILLIC SMALL LETTER U
У	3430	U+0423	CYRILLIC CAPITAL LETTER U
ү	17339	U+04AF	CYRILLIC SMALL LETTER STRAIGHT U
Ү	61	U+04AE	CYRILLIC CAPITAL LETTER STRAIGHT U
ф	217	U+0444	CYRILLIC SMALL LETTER EF
Ф	99	U+0424	CYRILLIC CAPITAL LETTER EF
х	5333	U+0445	CYRILLIC SMALL LETTER HA
Х	3760	U+0425	CYRILLIC CAPITAL LETTER HA
һ	12361	U+04BB	CYRILLIC SMALL LETTER SHHA
Һ	1596	U+04BA	CYRILLIC CAPITAL LETTER SHHA
ц	34	U+0446	CYRILLIC SMALL LETTER TSE
ч	12964	U+0447	CYRILLIC SMALL LETTER CHE
Ч	785	U+0427	CYRILLIC CAPITAL LETTER CHE
ш	20464	U+0448	CYRILLIC SMALL LETTER SHA
Ш	1418	U+0428	CYRILLIC CAPITAL LETTER SHA
ъ	89	U+044A	CYRILLIC SMALL LETTER HARD SIGN
ы	3	U+044B	CYRILLIC SMALL LETTER YERU
ь	6	U+044C	CYRILLIC SMALL LETTER SOFT SIGN
ю	654	U+044E	CYRILLIC SMALL LETTER YU
Ю	93	U+042E	CYRILLIC CAPITAL LETTER YU
я	5404	U+044F	CYRILLIC SMALL LETTER YA
Я	713	U+042F	CYRILLIC CAPITAL LETTER YA
