Grapheme	Frequency	Codepoint	UnicodeName
 	256116	U+0020	SPACE
-	3572	U+002D	HYPHEN-MINUS
,	15611	U+002C	COMMA
;	643	U+003B	SEMICOLON
:	334	U+003A	COLON
!	483	U+0021	EXCLAMATION MARK
?	929	U+003F	QUESTION MARK
.	12387	U+002E	FULL STOP
‘	641	U+2018	LEFT SINGLE QUOTATION MARK
’	623	U+2019	RIGHT SINGLE QUOTATION MARK
“	2016	U+201C	LEFT DOUBLE QUOTATION MARK
”	1792	U+201D	RIGHT DOUBLE QUOTATION MARK
(	173	U+0028	LEFT PARENTHESIS
)	173	U+0029	RIGHT PARENTHESIS
[	15	U+005B	LEFT SQUARE BRACKET
]	15	U+005D	RIGHT SQUARE BRACKET
0	213	U+0030	DIGIT ZERO
1	58	U+0031	DIGIT ONE
2	30	U+0032	DIGIT TWO
3	15	U+0033	DIGIT THREE
4	42	U+0034	DIGIT FOUR
5	25	U+0035	DIGIT FIVE
6	15	U+0036	DIGIT SIX
7	8	U+0037	DIGIT SEVEN
8	4	U+0038	DIGIT EIGHT
9	5	U+0039	DIGIT NINE
a	92423	U+0061	LATIN SMALL LETTER A
A	3461	U+0041	LATIN CAPITAL LETTER A
b	16544	U+0062	LATIN SMALL LETTER B
B	298	U+0042	LATIN CAPITAL LETTER B
b̃	585	U+0062, U+0303	LATIN SMALL LETTER B, COMBINING TILDE
B̃	32	U+0042, U+0303	LATIN CAPITAL LETTER B, COMBINING TILDE
d	3508	U+0064	LATIN SMALL LETTER D
D	506	U+0044	LATIN CAPITAL LETTER D
e	119297	U+0065	LATIN SMALL LETTER E
E	1039	U+0045	LATIN CAPITAL LETTER E
g	37073	U+0067	LATIN SMALL LETTER G
G	150	U+0047	LATIN CAPITAL LETTER G
i	108687	U+0069	LATIN SMALL LETTER I
I	2739	U+0049	LATIN CAPITAL LETTER I
j	18264	U+006A	LATIN SMALL LETTER J
J	1075	U+004A	LATIN CAPITAL LETTER J
k	43249	U+006B	LATIN SMALL LETTER K
K	8910	U+004B	LATIN CAPITAL LETTER K
l	43580	U+006C	LATIN SMALL LETTER L
L	170	U+004C	LATIN CAPITAL LETTER L
m	35278	U+006D	LATIN SMALL LETTER M
M	1068	U+004D	LATIN CAPITAL LETTER M
m̃	4406	U+006D, U+0303	LATIN SMALL LETTER M, COMBINING TILDE
M̃	185	U+004D, U+0303	LATIN CAPITAL LETTER M, COMBINING TILDE
n	116538	U+006E	LATIN SMALL LETTER N
N	3410	U+004E	LATIN CAPITAL LETTER N
o	72947	U+006F	LATIN SMALL LETTER O
O	867	U+004F	LATIN CAPITAL LETTER O
ö	1232	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
p	24679	U+0070	LATIN SMALL LETTER P
P	1274	U+0050	LATIN CAPITAL LETTER P
p̃	3628	U+0070, U+0303	LATIN SMALL LETTER P, COMBINING TILDE
P̃	5	U+0050, U+0303	LATIN CAPITAL LETTER P, COMBINING TILDE
r	95685	U+0072	LATIN SMALL LETTER R
R	543	U+0052	LATIN CAPITAL LETTER R
s	45412	U+0073	LATIN SMALL LETTER S
S	1799	U+0053	LATIN CAPITAL LETTER S
t	34712	U+0074	LATIN SMALL LETTER T
T	535	U+0054	LATIN CAPITAL LETTER T
u	41949	U+0075	LATIN SMALL LETTER U
U	5	U+0055	LATIN CAPITAL LETTER U
v	21413	U+0076	LATIN SMALL LETTER V
V	77	U+0056	LATIN CAPITAL LETTER V
w	18251	U+0077	LATIN SMALL LETTER W
W	91	U+0057	LATIN CAPITAL LETTER W
