Grapheme	Frequency	Codepoint	UnicodeName
 	235242	U+0020	SPACE
—	13	U+2014	EM DASH
,	54	U+002C	COMMA
،	6391	U+060C	ARABIC COMMA
:	55	U+003A	COLON
!	415	U+0021	EXCLAMATION MARK
؟	1000	U+061F	ARABIC QUESTION MARK
۔	11405	U+06D4	ARABIC FULL STOP
‘	390	U+2018	LEFT SINGLE QUOTATION MARK
’	392	U+2019	RIGHT SINGLE QUOTATION MARK
“	1838	U+201C	LEFT DOUBLE QUOTATION MARK
”	1837	U+201D	RIGHT DOUBLE QUOTATION MARK
(	87	U+0028	LEFT PARENTHESIS
)	87	U+0029	RIGHT PARENTHESIS
[	21	U+005B	LEFT SQUARE BRACKET
]	21	U+005D	RIGHT SQUARE BRACKET
0	182	U+0030	DIGIT ZERO
1	32	U+0031	DIGIT ONE
۱	1	U+06F1	EXTENDED ARABIC-INDIC DIGIT ONE
2	39	U+0032	DIGIT TWO
3	13	U+0033	DIGIT THREE
4	30	U+0034	DIGIT FOUR
5	19	U+0035	DIGIT FIVE
6	9	U+0036	DIGIT SIX
7	10	U+0037	DIGIT SEVEN
8	5	U+0038	DIGIT EIGHT
9	10	U+0039	DIGIT NINE
آ	5878	U+0622	ARABIC LETTER ALEF WITH MADDA ABOVE
ٲ	20	U+0672	ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE
ؤ	663	U+0624	ARABIC LETTER WAW WITH HAMZA ABOVE
ئ	7370	U+0626	ARABIC LETTER YEH WITH HAMZA ABOVE
ا	75416	U+0627	ARABIC LETTER ALEF
اً	121	U+0627, U+064B	ARABIC LETTER ALEF, ARABIC FATHATAN
اَ	211	U+0627, U+064E	ARABIC LETTER ALEF, ARABIC FATHA
اُ	8435	U+0627, U+064F	ARABIC LETTER ALEF, ARABIC DAMMA
اِ	2499	U+0627, U+0650	ARABIC LETTER ALEF, ARABIC KASRA
ب	18483	U+0628	ARABIC LETTER BEH
بَ	15	U+0628, U+064E	ARABIC LETTER BEH, ARABIC FATHA
بُ	280	U+0628, U+064F	ARABIC LETTER BEH, ARABIC DAMMA
بِ	24	U+0628, U+0650	ARABIC LETTER BEH, ARABIC KASRA
