	1
(	454
)	454
,	2296
.	14945
1	2
1,000	12
1,000,000	1
10	19
10,000	2
100	13
1000	1
11	7
12	62
12,000	12
120	1
1260	2
14	7
144	1
144,000	3
15	2
153	1
18	4
2	2
2,000	7
2,400	2
20	6
200	7
23,000	1
24	7
276	1
3	9
3,000	1
30	10
300	3
38	1
39	1
4	3
4,000	5
40	16
400	2
42	2
430	1
450	1
46	1
5	25
5,000	14
50	8
50,000	1
500	2
6	15
60	3
666	1
7	88
7,000	2
7,000,000	1
70	1
72	2
75	2
8	9
800	1
84	1
9	10
90	1
99	3
A	40
Aana	1
Aasa	1
Abadone	1
Abaia	2
Abaisa	1
Abaisane	1
Abe	1
Abele-pala	1
Abelietasi	1
Abiasa	1
Abilini	1
Abipolise	1
Abiude	1
Abiudene	1
Ada	2
Adam	11
Adame	1
Adameke	2
Adamene	2
Adameyo	3
Ademine	1
Ademinene	1
Aderamitiame	1
Aderonikasi	1
Aderu	7
Aderuta	2
Aderutame	2
Aderutane	1
Aderuyo	1
Adioke	27
Adipasi	1
Adipaterise	1
Adono-mikiti	2
Adu	1
Ae	132
Agabasi	1
Agabasiyo	2
Agale	15
Agaledo	1
Agaleke	1
Agalepa	3
Agaleyo	2
Agaleyo-kama	1
Ageripa	10
Ageripa-pala	3
Ageripayo	4
Agetai	44
Agetai-pala	6
Agetaika	7
Agetaike	3
Agetaine	9
Agetainele	1
Agetaipa	1
Agetaita	2
Agetaiyo	40
Agetaiyopa	3
Agono	1
Agopa	5
Aida	2
Aikoniame	6
Aikoniameta	1
Aimeniasi	2
Aisaia	1
Aisaiayo	41
Aisaiayoka	1
Aisake	16
Aisake-loe	2
Aisakene	3
Aisaketa	5
Aisakeyoka	1
Akaikasi	1
Ake	1
Akeleasi	1
Akeledama	2
Akipaisi-pala	1
Akipasi	1
Ako	32
Akokalinele	1
Akokaliyo	1
Akolali	514
Akolali-kama	2
Akolali-pala	130
Akolali-palaka	1
Akolali-palapa	2
Akolalika	4
Akolalike	270
Akolalike-kama	9
Akolalikedo	1
Akolaline	825
Akolalineke	1
Akolalinekemo	1
Akolalinele	140
Akolalinele-kama	5
Akolalinele-pala	2
Akolalineledo	1
Akolalinemo	51
Akolalinemo-kama	1
Akolalinemopa	2
Akolalineya	7
Akolalineya-kama	1
Akolalino	2
Akolalipa	4
Akolalita	1
Akolalita-pala	2
Akolalitake	1
Akolalitame	2
Akolaliyo	1577
Akolaliyo-kama	9
Akolaliyodo	4
Akolaliyoka	6
Akolaliyopa	80
Akolono	2
Akuwila	7
Akuwilata	2
Akuwilata-pala	1
Alekesada	1
Alekesadata	1
Alekesadayo	1
Alepiasine	5
Alesada	1
Alesadataka	1
Alesadayo	1
Alesaderia	4
Ali	868
Ali-kitame	2
Ali-kiti	2
Alime	1
Alimeka	1
Amagedono	1
Ame	1
Ame-loe	2
Aminadape	2
Aminadapene	2
Ana	2
Anado	1
Anai	1
Anaine	1
Aname	1
Ananaiasi	5
Ananaiasiyo	3
Anasi	2
Anasi-pala	1
Anasika	1
Anasiyo	1
Anu	279
Anuka	1
Anukule	6
Anukule-kama	1
Anukumo	4
Anukuya	1
Anukuya-kama	1
Anukuya-kiti	1
Anukuyapa	1
Anume	14
Anumepa	1
Apakesade	1
Apakesadene	1
Apelisi	1
Apia	1
Apiase	1
Apolione	2
Apolonia	1
Apolosi	11
Apolosike	3
Apolosita	1
Apolosiyo	1
Aposelo	107
Aposelo-kitame	1
Arane	2
Arebia	4
Aretasi	1
Arimasia	4
Ariopagase	3
Arisakasi	4
Arisakasita	1
Arisobulasi	1
Asaiayo	1
Ase	1
Asedose	1
Asinekitasi	1
Asose	4
Atai	77
Ataine	1
Atalia	1
Ate	3
Atemasi	1
Atemisi	4
Atemisika	1
Atemisikepa	1
Atemisine	1
Atena	6
Atepea	1
Atiki	1
Atoa	19
Atoa-kiti	1
Atoa-pala	1
Atoame	1
Atoame-kiti	1
Atoameka	1
Atu	7
Atua	1
Atue	2
Atukademe	1
Atume	2
Aua	9
Auane	1
Auapeano	1
Auapekene	1
Auna	1
Aunake	1
Awinome	3
Ba-Yesu	1
Babilone	16
Bage	2
Bali	1
Banabaseyoka	1
Banabasi	17
Banabasi-pala	2
Banabasine	1
Banabasita	6
Banabasita-pala	1
Banabasitaka	1
Banabasitame	4
Banabasitane	1
Banabasiyo	5
Barabasi	13
Barabasi-pe	1
Barake	1
Basabasi	2
Batete	1
Batimiasi	1
Batolomiu	2
Batolomiuta	2
Beale	1
Bedamine	4
Bedamineyo	1
Beita	15
Belake	1
Belame	2
Belameyo	3
Belesebule	3
Belesebulene	5
Benaisi-pala	1
Benaisita	2
Bera-peteka	1
Berekaia	1
Berekaiane	1
Beria	6
Besaida	8
Besaide	2
Besani	17
Beseleme	10
Besepase	2
Beta	1
Betepase	1
Beteseda	1
Bia	2
Bilasasiyo	1
Biono	1
Bisinia	2
Boanesisi	2
Boasi	3
Boasine	2
Boku	1
Bu	2
Daioterepisiyo	1
Dairasi	2
Dalamanusa	1
Dalemesia	1
Damarisi	1
Damasikase	24
Danieleyo	1
Dayonisiasi	1
De	2
Debi	5
Dedeyameke	1
Dee	2
Dekale	3
Dekapolise	2
Dekapolisi	1
Dekoa	2
Dekolo	1
Demiteriasi	2
Demiteriasiyo	2
Demiteriasiyoka	1
Depidi	16
Depidi-laweke	2
Depidi-loe	3
Depidi-loeke	23
Depidi-loeme	1
Depidi-pala	2
Depidike	6
Depidine	3
Depidipa	1
Depidiyo	25
Depidiyoka	2
Depidiyopa	2
Derusila-pala	1
Didimasi	3
Dika	2
Dikakagopa	1
Dikaki	5
Dikaki-kitikepa	1
Dikakilekepa	1
Dikako	4
Dikakoi	1
Dikama	1
Dikane	53
Dikane-pete	1
Dikanele	1
Dikoa	3
Dikou	2
Dimasi	1
Dimasita	1
Dimasiyo	1
Dokasi	1
Dokosago	1
Doo	1
Dopa	12
Duliasi	1
Duliasine	1
Duliasiyo	1
E	43
Easi	1
Easine	1
Ebanasi	1
Ebe	1
Ebele	5
Ebele-pala	1
Ebelene	1
Ebene	1
Eberame	47
Eberame-koli	1
Eberame-laweke	1
Eberame-loe	2
Eberame-loeke	2
Eberame-pala	23
Eberame-pala-kiti	1
Eberame-palaka	1
Eberameka	2
Eberameke	22
Eberamene	13
Eberameneke	2
Eberamepa	3
Eberameyo	21
Eberameyoka	1
Edai	1
Edaine	1
Edane	2
Edea	1
Edekale	1
Edekolo	3
Edelagome	1
Edele	2
Edelo	19
Edemo	1
Ederia	1
Ederu	1
Edeya	2
Edikakenepa	1
Edikaketepa	4
Edikaki	4
Edikakilekepa	2
Edikakilepa	6
Edikakipa	1
Edikako	1
Edikakoi	1
Edikakoikedo	1
Edikakolipa	1
Edikakomepa	1
Edikama	2
Edikane	1
Edikanelekepa	1
Edikoa	17
Edikoapa	9
Edoa	3
Eeka	2
Eekane	1
Eekayo	2
Ege	3
Egeme	3
Egetini	1
Eida	40
Eida-kama	1
Eidaka	1
Eidapa	32
Eina	129
Eina-pete	1
Eina-pete-mene	1
Eina-petepa	2
Einagale	2
Einagalepa	1
Einago	97
Einago-mename	1
Einago-mene	1
Einago-pala	1
Einagodo	1
Einagoka	1
Einagoke	1
Einagokedo	1
Einagokeka	1
Einagokepa	2
Einagome	44
Einagomedo	1
Einagomeka	2
Einagomepa	11
Einagono	12
Einagopa	59
Einagota	8
Einagotake	1
Einagotame	6
Einagotameka	1
Einagotane	1
Einagotapa	4
Einaka	3
Einakagopa	3
Einakale	3
Einakamo	1
Einakamopa	4
Einakeya	1
Einali	1
Einali-kiti	2
Einali-mene	1
Einali-mene-pala	1
Einali-meneke	1
Einapa	15
Einapete	15
Einapete-mene	1
Einapetepa	16
Einata	26
Einatoa	14
Einatoa-kitipa	1
Einatoa-menepa	1
Einatoake	1
Einatoame	6
Einatoameka	1
Einatoamepa	1
Einatoane	2
Einatoapa	12
Einatoata	1
Eingoke	1
Eka	5
Ekee	2
Ekime	1
Ekimene	1
Eko	18
Ekolo	1
Ela	1
Elaiakeme	1
Elaiakemene	1
Elaiakime	1
Elaiakimene	1
Ele	34
Eleasa	1
Eleasane	1
Elemadame	1
Elemadamene	1
Eli	2
Eliesa	1
Eliesane	1
Elimasi	2
Elisabesi	5
Elisabesi-pala	1
Elisabesika	1
Elisabesike	1
Elisabesine	2
Elisabesiyo	6
Eliude	1
Eliudene	1
Eloi	2
Emasi	1
Emease	3
Emesi	2
Emisi	1
Emo	4
Emono	1
Emosenisitameka	1
Emosi	2
Emosine	2
Ena	2
Enakale	5
Enamua	1
Enekakoli	1
Enekale	2
Enekile	1
Enekolo	1
Enekolu	2
Enekome	4
Enemoteketepa	1
Enetekoa	2
Eni	414
Enido	2
Enika	56
Enikepa	10
Enile	24
Enile-kala	1
Eniledo	8
Enilekepa	27
Enilepa	29
Eniletapa	1
Enimo	8
Enimopa	8
Enipa	164
Enipete	3
Enipete-mene	2
Enipete-menepa	2
Enipetepa	20
Eniya	11
Eniya-kiti	1
Eniya-kitipa	1
Eniya-mene	1
Eniyakedo	2
Eniyapa	3
Eniyatapa	2
Enoa	2
Enoane	1
Epaperasi	1
Epaperasiyo	1
Epaperasiyoka	1
Epaperodaisi	2
Epasa	3
Epene	1
Epereime	1
Epesase	24
Epetane	261
Epetanele	7
Epetanele-kama	5
Epetaneya	2
Epikuriane	1
Epinitasi	1
Erasasi	1
Erasetasi	2
Ere	1
Erene	1
Erode	21
Erode-pala	2
Erodeke	3
Erodepa	1
Erodeta	1
Erodeyo	22
Erodeyoka	6
Erodeyopa	8
Erodiasi	3
Erodiasine	4
Erodiasiyo	1
Erodiono	1
Erone	3
Erone-pala	1
Eroneke	1
Eronoke	1
Esa	1
Esane	1
Esekaia	1
Esekaiane	1
Eselai	1
Eselaine	1
Eserone	1
Eseronene	1
Eserono	2
Esia	22
Eso	1
Esone	1
Ete	56
Ete-kitame	27
Ete-kitamepa	2
Ete-kitanele	1
Ete-kiti	1
Ete-kitike	1
Ete-kitipa	1
Etena-kiti	1
Etename	4
Etename-kiti	6
Etenane	2
Etene	29
Etene-mikiti	2
Eteneya	1
Etepea	1
Eteya	1
Eya	171
Eyado	1
Eyago	3
Eyago-mene	1
Eyagotame	1
Eyaka	7
Eyakeka	1
E̱'e	34
E̱e	33
E̱eno	2
Gabasa	1
Gadara	1
Gade	1
Gaiasi	2
Gaiasiyo	1
Galesia	9
Galili	91
Galio	2
Galioyo	2
Gamaliele	1
Gamelielene	1
Gamelieleyo	2
Gasa	1
Gayasi	2
Gayasita	1
Geberiele	2
Geberieleyo	1
Gegesa	2
Genesarese	2
Genesarete	1
Gerasa	1
Gerepi	8
Geriki	43
Gesemani	2
Gidione	1
Gita	1
Gode	2
Goko	1
Golo	4
Gologosa	6
Gomora	4
I	149
Iberu	14
Ibini	5
Idipi	49
Idumea	1
Ika	1
Ikaka	1
Ilai	1
Ilaida	21
Ilaida-pala	1
Ilaida-pe-koli	1
Ilaidata	4
Ilaidayo	5
Ilaine	1
Ilame	1
Ile	5
Ilirikume	1
Imanuele	2
Imo	3
Imopa	4
Ina	35
Inakago	3
Inakagopa	1
Inakeyapa	2
Inapa	4
Ini	2
Iniasi	2
Inoke	4
Inokene	1
Inokeyo	1
Inone	1
Inoso	1
Inosono	1
Ipa	19
Ipe	15
Ipe-kiti	1
Ipete	5
Ipi	2
Ipiyopa	1
Iponameka	1
Ipono	6
Ipono-kitika	1
Iponodo	1
Iponole	1
Irapolise	1
Isaka	1
Isekariose	9
Isekarioseke	2
Iserele	140
Isereleke	1
Iserelene	1
Isiopia	4
Iso	2
Isota	1
Isoyo	2
Ita	2
Itali	4
Itono	32
Itono-pala	1
Itonoka	3
Itonoke	22
Itonokeka	4
Itonokepa	7
Itonole	3
Itonopa	3
Ituria	1
Ka	4
Ka-kitika	1
Kadesike	1
Kago	9
Kago-kitika	1
Kagono	1
Kai	37
Kaiapasika	1
Kako	1
Kalabe	1
Kalabo	1
Kale	2
Kaledia	1
Kalipe	2
Kaluga	1
Kamate	4
Kamate-pala	1
Kamateka	1
Kamelo	3
Kamo	20
Kamoa	3
Kamoane	1
Kamoya-kiti	1
Kanosolo	84
Kapa	3
Kapadosia	2
Kapaneame	20
Kapasi	1
Kapene	8
Kapomane	5
Kasetome	1
Kasito	1
Kati	10
Kautoa	1
Kawa	1
Kawata	1
Kawikoa	1
Kaya	1
Kayapase	1
Kayapasene	2
Kayapasi	4
Kayapasike	1
